Row Labels,Count of item_description_raw
Reinforced Concrete Pad,1
Shoring,1
Signal Modification,1
Site Preparation,1
Soffit and Vertical Crack Repair,1
Soffit and Vertical Face Delamination and Spall Repair,1
Soffit and Vertical Face Delamination and Spall Repair with Anodes,1
Stabilized Construction Entrance,1
Storm Culvert,1
Subdrains,1
Subgrade Preparation,1
Tack Coat,1
Trenchless Installation,1
Trestle Cross - Brace Rehabilitation,1
Two 6-Inch Conduits by Directional Drilling Method,1
Utility Adjustments to Grade,1
Valley Gutter,1
Vault (Comm),1
Vault (Comm) - 444-LA (Traffic Rated),1
Vault (Power),1
Vault (Power) - 575-TRANS - PCORP,1
Vault (Power) - 712-SWITCH - PCORP,1
Vault (Power) - 776-TRANS - PCORP,1
Vault (Power) - 776-TRANS - PCORP (Traffic Rated),1
Vehicle Detection Loops,1
Water Meter,1
Water Well Decommission,1
XHHW Conductor - #10 AWG (Power),1
XHHW Conductor - #12 AWG (Power),1
XHHW Conductor - #3 AWG (Power),1
XHHW Conductor - #6 AWG (Power),1
XHHW Conductor - #8 AWG (Power),1
LANDSCAPE_ENVIRONMENTAL,51
LANDSCAPING_REVEGETATION,51
Seeding (Item T-901),7
Area Seeding,6
"Temporary Erosion, Sediment, and Pollution Control",5
Clearing and Grubbing,3
Inlet Protection,3
Dewatering,2
One - Year Landscape Maintenance,2
Topsoil (Item T-905),2
Topsoil (Obtained on Site or Removed from Stockpile) (Item T-905),2
Topsoiling (Item T-905),2
Boulders (Section 354000),1
Clearing and Seeding,1
Ditch Protection,1
"Fill Material, Topsoil",1
Grade Control Structures (Section 354000),1
Ground Cover Planting (Section 329300),1
Irrigation Replacement,1
Irrigation Replacement (Section 328400),1
Landscape Restoration,1
"Loose Riprap, Class 50",1
RiprapOutfall (Section 354000),1
Sediment Fence,1
StreambedCobble (Section 354000),1
StreambedSediment (Section 354000),1
Temporary Erosion and Sediment Control,1
Topsoil (Furnished from Off the Site) (Item T-905),1
Tree and Plant Protection,1
DEMOLITION_REMEDIATION,39
DEMOLITION_REMEDIATION,39
Contaminated Material Excavation and Disposal (Section 026100),7
Remove Bollard - Embedded (Section 024113),3
Building Demolition (Section 024113),2
Building Slab and Foundation Removal (Section 024113),2
Site Demolition,2
Aggregate Removal and Disposal,1
Building Removal and Backfill,1
Concrete Pad Demolition and Repair,1
Concrete Removal and Backfill,1
Concrete Wall Removal,1
Concrete Winch House Removal and Backfill,1
Contaminated Material Excavation and Disposal - Wasco Landfill (Section 026100),1
Contaminated Material Excavationand Disposal (Section 026100),1
Existing Landscape Removal (Section 024113),1
Fence Fabric Removal,1
General Demolition,1
Guard Rail Removal and Replacement,1
Lead Paint Chip Removal,1
Relocate Storage Shelter (Section 024113),1
Removal of Existing or Temporary Fence (Section 024113),1
Removal of Miscellaneous Site Structures (Section 024113),1
Remove Bollard - Bolt Down (Section 024113),1
Remove Electrical Chargers (Section 024113),1
Remove and Reinstall Chain Link Fence,1
Remove and Replace Compression Seal,1
Remove and Replace Embedded Anodes,1
Surfacings Removal,1
"Utility Removal, Relocation, and Backfill",1
SITEWORK_MISC,22
FENCING_GUARDRAIL_BOLLARDS,22
Cable Retrievers (Section 111100),5
Guard Rail (Section 347115),5
Precast Concrete Wheel Stop (Section 347115),5
Bollard - Bolt Down (Section 347115),4
Chain Link Fance with Barbed Wire (Section 323113),1
Chain Link Fence with Slats and Barbed Wire (Section 323113),1
Pipe Bollards (Section 347113),1
