Row Labels,Count of item_description_raw
Trench Stabilization (Section 012200),1
Unsuitable Excavation and Disposal (Section 012200),1
"Wildlife Access Road, Asphalt Grindings (Section 012200)",1
Work Zone Traffic Control (Section 012200),1
Work Zoneand Traffic Control (Section 012200),1
ELECTRICAL,311
AIRFIELD_LIGHTING,171
Counterpoise Ground Rod (Item L-108),6
Adjust Existing Taxiway Centerline Light to New Finish Elevation (Section 344301),5
"No. 8 AWG, 5kV, L-824, Type C Cable, Installed in Trench, Duct Bank or Conduit (Item L-108)",4
PVC Conduit (Power),4
Ground Rod for Counterpoise (Item L-108),3
Install Elevated Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300),3
No. 6 AWG Solid Wire for Counterpoise (Item L-108),3
"No. 6 AWG, Solid, Bare Counterpoise Wire (Item L-108)",3
Adjust Existing Base Can to New Finish Elevation (Section 344301),2
Adjust Existing In-Pavement Runway Edge Light (Section 344301),2
GRSC (Item L-110),2
GRSC Encased in P-610 in Existing AC (Item L-110),2
Heat Shrink for 5kV L-823 Primary Connector (Item L-108),2
IMC in Existing AC (Item L-110),2
Install PF Cover Plate on Existing Light Base (Section 344300),2
Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),2
"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)",2
"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",2
"Install Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",2
"No. 6 AWG, Solid, Bare Counterpoise Wire, Installed in Trench, Above the Duct Bank or Conduit, Including Connections/Terminations (Item L-108)",2
No. 8 AWG 5kV Cable (Item L-108),2
"No. 8 AWG, 5 kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit (Item L-108)",2
PVC Direct Buried (Item L-110),2
PVC Direct Buried in Grass (Item L-110),2
PVC Encased in Concrete in New Structural AC (Item L-110),2
PVC Encased in P-610 in Existing AC (Item L-110),2
PVC in Existing AC (Item L-110),2
PVC in Existing Structural AC (Item L-110),2
"#6 AWG, 5kV Cable (Item L-108)",1
1 1/2-Inch GRSC (Item L-110),1
Adjust Existing Elevated Runway Threshold Light (Section 344301),1
Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),1
Adjust Existing In-Pavement Runway Guard/Stop Bar Light to New Finish Elevation (Section 344301),1
Adjust Existing In-Pavement Stop Bar Light (Section 344301),1
Adjust Existing Runway Edge Light to New Finish Elevation (Section 344301),1
Adjust Existing Runway/Taxiway Elevated Edge Lightwith CFTransformer (Section 344301),1
Adjust Existing Taxiway Centerline Light (Section 344301),1
Adjust Existing Taxiway Edge Light to New Finish Elevation (Section 344301),1
"Demarcation Panel with Receptacles, Heater, and T-Stat",1
Fender Panel Rehabilitation,1
Ground Rodfor Counterpoise (Item L-108),1
Hollow Core Deck Panel Replacement,1
IMC under New AC Shoulder (Item L-110),1
InchPVCinGrassorinNewACshoulder (Item L-110),1
InchPVCinNewACStructuralPavement (Item L-110),1
Install CF 150-Watt (Section 344300),1
