specification,smart_clean_description,row_count,raw_variants_collapsed,representative_raw,sample_project
312300,Connection to Existing Storm Drainage System,48,1,Connection to Existing Storm Drainage System (Section 312300),2018D029
P-152,Unsuitable Excavation,48,1,Unsuitable Excavation (Item P-152),2018D029
026100,Contaminated Material Excavation and Disposal,46,1,Contaminated Material Excavation and Disposal (Section 026100),2022D028
D-751,Catch Basins,46,1,Catch Basins (Item D-751),2022D028
UNCLASSIFIED,Aggregate Base Course,45,1,Aggregate Base Course,2021D001
UNCLASSIFIED,"Mobilization, Surveying, Cleanup, and Demobilization",45,1,"Mobilization, Surveying, Cleanup, and Demobilization",2021D001
012200,Traffic Control,44,1,Traffic Control (Section 012200),2015D147
P-154,Subbase Course,40,1,Subbase Course (Item P-154),2015D147
P-620,Temporary Runway and Taxiway Marking,40,1,Temporary Runway and Taxiway Marking (Item P-620),2023D018
P-603,Bituminous Tack Coat,37,1,Bituminous Tack Coat (Item P-603),2015D147
UNCLASSIFIED,Construction Survey (Item GP-50),37,1,Construction Survey (Item GP-50),2015D147
P-620,Surface Preparation - Remove Existing Markings,36,1,Surface Preparation - Remove Existing Markings (Item P-620),2023D018
UNCLASSIFIED,Area Seeding,36,1,Area Seeding,2021D001
P-608,Asphalt Surface Treatment,34,1,Asphalt Surface Treatment (Item P-608),2023D018
UNCLASSIFIED,"Temporary Erosion, Sediment, and Pollution Control",32,1,"Temporary Erosion, Sediment, and Pollution Control",2021D001
P-620,Phasing Pavement Marking,31,1,Phasing Pavement Marking (Item P-620),2015D147
P-101,Removal of Pipe and Other Buried Structures,29,1,Removal of Pipe and Other Buried Structures (Item P-101),2022D028
344301,Adjust Existing Taxiway Centerline Light to New Finish Elevation,28,1,Adjust Existing Taxiway Centerline Light to New Finish Elevation (Section 344301),2022D028
P-101,Joint and Crack Repair,28,1,Joint and Crack Repair (Item P-101),2015D147
P-610,Steel Reinforcement,28,1,Steel Reinforcement (Item P-610),2015D147
012200,"Mobilization, Surveying, Cleanup, and Demobilization",27,1,"Mobilization, Surveying, Cleanup, and Demobilization (Section 012200)",2023D025
P-403,Asphalt Mixture Base Course,26,1,Asphalt Mixture Base Course (Item P-403),2018D029
UNCLASSIFIED,Common Excavation,26,1,Common Excavation,2016D015
UNCLASSIFIED,Sweeper,26,1,Sweeper,2021D001
UNCLASSIFIED,Trench Stabilization,26,1,Trench Stabilization,2021D001
260553,Diameter Brass Marker,25,1,3-Inch Diameter Brass Marker (Section 260553),2015D147
P-604,Compression Joint Seals for Concrete Pavements,25,1,Compression Joint Seals for Concrete Pavements (Item P-604),2018D029
P-153,Controlled Low - Strength Material (CLSM),24,1,Controlled Low-Strength Material (CLSM) (Item P-153),2022D028
P-620,Preformed Markings,23,1,Preformed Markings (Item P-620),2022D028
UNCLASSIFIED,Contaminated Soil Excavation and Disposal,23,1,Contaminated Soil Excavation and Disposal,2021D001
312300,"Removal of Existing Storm Pipe, Manholes, and Inlets",22,1,"Removal of Existing Storm Pipe, Manholes, and Inlets (Section 312300)",2015D147
L-108,"No. 6 AWG, Solid, Bare Counterpoise Wire",22,1,"No. 6 AWG, Solid, Bare Counterpoise Wire (Item L-108)",2017D013
P-152,Geotextile,22,1,Geotextile (Item P-152),2015D147
P-153,Controlled Low - Strength Material,21,1,Controlled Low-Strength Material (Item P-153),2017D013
015713,Trench Drain Protection,20,1,Trench Drain Protection (Section 015713),2018D029
312300,Existing Manhole/Inlet Adjustment to Grade,20,1,Existing Manhole/Inlet Adjustment to Grade (Section 312300),2018D029
UNCLASSIFIED,Work Zone Traffic Control,20,1,Work Zone Traffic Control,2015D006
L-108,Ground Rod for Counterpoise,19,1,Ground Rod for Counterpoise (Item L-108),2015D147
L-108,No. 6 AWG Solid Wire for Counterpoise,19,1,No. 6 AWG Solid Wire for Counterpoise (Item L-108),2015D147
P-156,Silt Fence,19,1,Silt Fence (Item P-156),2015D147
P-610,Structural Portland Cement Concrete (PCC),19,1,Structural Portland Cement Concrete (PCC) (Item P-610),2015D147
UNCLASSIFIED,Dewatering,19,1,Dewatering,2015D006
UNCLASSIFIED,Pavement Removal,19,1,Pavement Removal,2016D015
UNCLASSIFIED,Site Demolition,19,1,Site Demolition,2015D006
344300,Install Elevated Taxiway Edge Light on Existing Base Can with PF Transformer,18,1,Install Elevated Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300),2023D011
L-108,"No. 8 AWG, 5kV, L-824, Type C Cable, Installed in Trench, Duct Bank or Conduit",18,1,"No. 8 AWG, 5kV, L-824, Type C Cable, Installed in Trench, Duct Bank or Conduit (Item L-108)",2023D011
P-154,Separation Geotextile,18,1,Separation Geotextile (Item P-154),2023D011
P-401,Bituminous Surface Course,18,1,Bituminous Surface Course (Item P-401),2017D013
P-620,Runway and Taxiway Marking,18,1,Runway and Taxiway Marking (Item P-620),2017D013
P-620,Surface Preparation,18,1,Surface Preparation (Item P-620),2023D011
UNCLASSIFIED,Clearing and Grubbing,18,1,Clearing and Grubbing,2021D001
UNCLASSIFIED,Pavement Marking,18,1,Pavement Marking,2021D001
P-602,Bituminous Prime Coat,16,1,Bituminous Prime Coat (Item P-602),2015D147
T-905,Topsoiling,16,1,Topsoiling (Item T-905),2015D147
UNCLASSIFIED,Geotextile,16,1,Geotextile,2016D015
UNCLASSIFIED,Inlet Protection,16,1,Inlet Protection,2016D015
UNCLASSIFIED,Unsuitable Excavation and Disposal,16,1,Unsuitable Excavation and Disposal,2016D015
111100,Cable Retrievers,15,1,Cable Retrievers (Section 111100),2023D003
260500,"Electrical Feeds to Enclosed Circuit Breakers (2.5"" Conduit)",15,1,"Electrical Feeds to Enclosed Circuit Breakers (2.5"" Conduit) (Section 260500)",2023D003
260500,"Electrical Feeds to Enclosed Circuit Breakers (3/4"" Conduit)",15,1,"Electrical Feeds to Enclosed Circuit Breakers (3/4"" Conduit) (Section 260500)",2023D003
263343,Electrical Charging Units (Primary Units),15,1,Electrical Charging Units (Primary Units) (Section 263343),2023D003
263343,Electrical Charging Units (Secondary Units),15,1,Electrical Charging Units (Secondary Units) (Section 263343),2023D003
271000,Data Drop to Each Enclosure and Chargers,15,1,Data Drop to Each Enclosure and Chargers (Section 271000),2023D003
271000,"Data Equipment Rack & Data Connections 1"" Conduit",15,1,"Data Equipment Rack & Data Connections 1"" Conduit (Section 271000)",2023D003
271000,Network Termination Enclosure,15,1,Network Termination Enclosure (Section 271000),2023D003
347115,Guard Rail,15,1,Guard Rail (Section 347115),2023D003
347115,Precast Concrete Wheel Stop,15,1,Precast Concrete Wheel Stop (Section 347115),2023D003
