specification,smart_clean_description,row_count,raw_variants_collapsed,representative_raw,sample_project
UNCLASSIFIED,Corrugated Metal Riser,8,1,72-Inch Corrugated Metal Riser,2016D015
UNCLASSIFIED,Electrical Modifications,8,1,Electrical Modifications,2016D015
UNCLASSIFIED,Escort,8,1,Escort,2016D015
UNCLASSIFIED,Hand Rail,8,1,Hand Rail,2016D015
UNCLASSIFIED,Modifications to Existing Wet Well,8,1,Modifications to Existing Wet Well,2016D015
UNCLASSIFIED,Removal of Existing Lid from Stormwater Treatment Vault,8,1,Removal of Existing Lid from Stormwater Treatment Vault,2016D015
UNCLASSIFIED,"Removal of Existing Storm Pipe, Manholes, Pumps, Valves, Hangers, Vaults, and Brackets",8,1,"Removal of Existing Storm Pipe, Manholes, Pumps, Valves, Hangers, Vaults, and Brackets",2016D015
UNCLASSIFIED,Security Control Monitoring,8,1,Security Control Monitoring,2016D015
UNCLASSIFIED,Sediment Fence,8,1,Sediment Fence,2016D015
UNCLASSIFIED,Stabilized Construction Entrance,8,1,Stabilized Construction Entrance,2016D015
UNCLASSIFIED,Storm Sewer (Force Main) Pipe,8,1,24-Inch Storm Sewer (Force Main) Pipe,2016D015
UNCLASSIFIED,Storm Sewer Pipe (RCP),8,1,21-Inch Storm Sewer Pipe (RCP),2016D015
UNCLASSIFIED,Stormwater Pump Station,8,1,Stormwater Pump Station,2016D015
UNCLASSIFIED,Stormwater Treatment Vault Cover,8,1,Stormwater Treatment Vault Cover,2016D015
UNCLASSIFIED,Stormwater Treatment Vaults,8,1,Stormwater Treatment Vaults,2016D015
012200,"Wildlife Access Road, Asphalt Grindings",7,1,"Wildlife Access Road, Asphalt Grindings (Section 012200)",2015D147
334213,"Stormwater Pump Station, Electrical Equipment Installation",7,1,"Stormwater Pump Station, Electrical Equipment Installation (Section 334213)",2015D147
334213,Stormwater Valve Vault,7,1,Stormwater Valve Vault (Section 334213),2015D147
344300,"Reinstall Taxiway Centerline Light on CF Base Can, CF Extenstion, CF Flange Ring, and CF Transformer",7,1,"Reinstall Taxiway Centerline Light on CF Base Can, CF Extenstion, CF Flange Ring, and CF Transformer (Section 344300)",2020D022
344300,Reinstall Taxiway Centerline Light on Existing Base Can with CF Transformer,7,1,Reinstall Taxiway Centerline Light on Existing Base Can with CF Transformer (Section 344300),2020D022
344300,Reinstall Taxiway Edge Light on Existing Base Can with Existing Transformer,7,1,Reinstall Taxiway Edge Light on Existing Base Can with Existing Transformer (Section 344300),2020D022
344301,Adjust Existing Elevated Runway Threshold Light,7,1,Adjust Existing Elevated Runway Threshold Light (Section 344301),2015D147
344301,Adjust Existing In-Pavement Stop Bar Light,7,1,Adjust Existing In-Pavement Stop Bar Light (Section 344301),2015D147
D-705,Perforated Pipe Underdrains,7,1,6-Inch Perforated Pipe Underdrains (Item D-705),2015D147
L-108,"No. 8 AWG, 5kV, L-824, Type C Cable",7,1,"No. 8 AWG, 5kV, L-824, Type C Cable (Item L-108)",2020D022
L-110,PVC encased in P-610 in Existing AC,7,1,2-Inch PVC encased in P-610 in Existing AC (Item L-110),2020D022
P-101,Cold Millling,7,1,Cold Millling - 3-Inch Depth (Item P-101),2020D022
P-401,Hot Mix Asphalt (HMA) Pavement,7,1,Hot Mix Asphalt (HMA) Pavement (Item P-401),2015D147
P-501,Portland Cement Concrete (PCC) Pavement,7,1,Portland Cement Concrete (PCC) Pavement (Item P-501),2015D147
P-604,Compression Joint Sealant,7,1,Compression Joint Sealant (Item P-604),2015D147
P-605,Joint Sealant,7,1,Joint Sealant (Item P-605),2015D147
P-620,Pavement Marking,7,1,Pavement Marking (Item P-620),2015D147
P-620,Surface Preparation - Remarking,7,1,Surface Preparation - Remarking (Item P-620),2020D022
P-620,Surface Preparation - Remove Existing Marking,7,1,Surface Preparation - Remove Existing Marking (Item P-620),2020D022
P-620,Temporary Runway and Taxiway Makrings,7,1,Temporary Runway and Taxiway Makrings (Item P-620),2020D022
P-621,Saw - Cut Grooving,7,1,Saw-Cut Grooving (Item P-621),2015D147
UNCLASSIFIED,Aircraft - Rated Electrical Vaults,7,1,Aircraft-Rated Electrical Vaults,2020D008
UNCLASSIFIED,Asphalt Concrerte Surface Course,7,1,Asphalt Concrerte Surface Course,2018D015
UNCLASSIFIED,Clearing and Seeding,7,1,Clearing and Seeding,2023D028
UNCLASSIFIED,Cold Plane Pavement Removal and Disposal,7,1,"Cold Plane Pavement Removal and Disposal, 3-Inch Depth",2023D028
UNCLASSIFIED,Compacted Bedding Material,7,1,Compacted Bedding Material,2018D015
UNCLASSIFIED,Concrete Curb,7,1,Concrete Curb,2023D028
UNCLASSIFIED,Concrete Walks,7,1,Concrete Walks,2023D028
UNCLASSIFIED,Contaminated Soil Excavation and Placement,7,1,Contaminated Soil Excavation and Placement,2018D015
UNCLASSIFIED,Electrical Feeder Conductor Assembly,7,1,Electrical Feeder Conductor Assembly,2020D008
UNCLASSIFIED,Electrical Feeder Conductor Termination and Testing,7,1,Electrical Feeder Conductor Termination and Testing,2020D008
UNCLASSIFIED,Electrical Feeder Installation in Vaults,7,1,Electrical Feeder Installation in Vaults,2020D008
UNCLASSIFIED,"Fill Material, Topsoil",7,1,"Fill Material, Topsoil",2018D015
UNCLASSIFIED,General Demolition,7,1,General Demolition,2023D028
UNCLASSIFIED,Geotextile Fabric,7,1,Geotextile Fabric,2023D028
UNCLASSIFIED,H-20 Traffic - Rated Electrical Vaults,7,1,H-20 Traffic-Rated Electrical Vaults,2020D008
UNCLASSIFIED,Kennedy Feeder Pad - Mount Switch,7,1,Kennedy Feeder Pad-Mount Switch,2020D008
UNCLASSIFIED,Kennedy Feeder Point-of-Service Access Pad,7,1,Kennedy Feeder Point-of-Service Access Pad,2020D008
UNCLASSIFIED,Lighting,7,1,Lighting,2023D028
UNCLASSIFIED,Pavement Removal and Disposal,7,1,"Pavement Removal and Disposal, 9-Inch Depth",2023D028
UNCLASSIFIED,Remove and Reinstall Catch Basin,7,1,Remove and Reinstall Catch Basin,2018D015
UNCLASSIFIED,Remove and Reinstall Chain Link Fence,7,1,Remove and Reinstall Chain Link Fence,2018D015
UNCLASSIFIED,Signal Modification,7,1,Signal Modification,2023D028
UNCLASSIFIED,Site Preparation,7,1,Site Preparation,2023D028
UNCLASSIFIED,Storm Culvert,7,1,Storm Culvert,2023D028
UNCLASSIFIED,Subgrade Preparation,7,1,Subgrade Preparation,2023D028
UNCLASSIFIED,Tack Coat,7,1,Tack Coat,2023D028
UNCLASSIFIED,Temporary Erosion and Sediment Control,7,1,Temporary Erosion and Sediment Control,2020D008
UNCLASSIFIED,Temporary Traffic Control,7,1,Temporary Traffic Control,2018D015
UNCLASSIFIED,Two 6-Inch Conduits by Directional Drilling Method,7,1,Two 6-Inch Conduits by Directional Drilling Method,2020D008
UNCLASSIFIED,Unclassified Excavation (P-152),7,1,Unclassified Excavation (P-152),2015D147
UNCLASSIFIED,Valley Gutter,7,1,Valley Gutter,2023D028
012200,Delineators,6,1,Delineators (Section 012200),2015D142
012200,Work Zone Traffic Control,6,1,Work Zone Traffic Control (Section 012200),2023D011
026100,Contaminated Material Excavation and Disposal - Wasco Landfill,6,1,Contaminated Material Excavation and Disposal - Wasco Landfill (Section 026100),2023D016
260500,Electrical Equipment Rack - Load Share Connected,6,1,Electrical Equipment Rack - Load Share Connected (Section 260500),2023D003
260500,"Electrical Feeds to Panels (Existing 3.5"" Conduit)",6,1,"Electrical Feeds to Panels (Existing 3.5"" Conduit) (Section 260500)",2023D003
260500,Install Handholes for Power,6,1,Install Handholes for Power (Section 260500),2022D027
260500,New Electrical Panels,6,1,"New Electrical Panels, 800A (Section 260500)",2023D003
265000,General Electrical Removal,6,1,General Electrical Removal (Section 265000),2023D011
265000,Temporary Circuit Connection,6,1,Temporary Circuit Connection (Section 265000),2023D011
312300,Adjustment of Existing Structures (229 Kip Rated Vaults),6,1,Adjustment of Existing Structures (229 Kip Rated Vaults) (Section 312300),2015D142
312300,Adjustment of Existing Structures (H-20 Rated Vaults),6,1,Adjustment of Existing Structures (H-20 Rated Vaults) (Section 312300),2015D142
312300,Remove Existing Manhole Flat Top and Upgrade to Aircraft Rated Structure,6,1,Remove Existing Manhole Flat Top and Upgrade to Aircraft Rated Structure (Section 312300),2018D027
312300,Replace Existing Manhole Lid with Open Grated Lid,6,1,Replace Existing Manhole Lid with Open Grated Lid (Section 312300),2018D027
334213,Pump Station,6,1,Pump Station (Section 334213),2015D142
334213,Pump Station Electrical Equipment Installation,6,1,Pump Station Electrical Equipment Installation (Section 334213),2015D142
344300,Install Elevated Red Stop Bar Light on Existing Base Can with CF Transformer,6,1,Install Elevated Red Stop Bar Light on Existing Base Can with CF Transformer (Section 344300),2023D016
344300,Install Elevated Red Stop Bar Light on Existing Base Can with PF Transformer,6,1,Install Elevated Red Stop Bar Light on Existing Base Can with PF Transformer (Section 344300),2023D011
344300,"Install Elevated Red Stop Bar Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer",6,1,"Install Elevated Red Stop Bar Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",2023D011
344300,Install Elevated Runway Guard Light on Existing Base Can with CF Transformer,6,1,Install Elevated Runway Guard Light on Existing Base Can with CF Transformer (Section 344300),2023D016
344300,Install Elevated Runway Guard Light on Existing Base Can with PF Transformer,6,1,Install Elevated Runway Guard Light on Existing Base Can with PF Transformer (Section 344300),2023D011
344300,"Install Elevated Runway Guard Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer",6,1,"Install Elevated Runway Guard Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",2023D011
344300,Install In-Pavement Runway Guard Light on Existing Base Can with CF Transformer,6,1,Install In-Pavement Runway Guard Light on Existing Base Can with CF Transformer (Section 344300),2023D016
344300,Install In-Pavement Runway Guard/Stop Bar Light on Existing Base Can with CF Transformer,6,1,Install In-Pavement Runway Guard/Stop Bar Light on Existing Base Can with CF Transformer (Section 344300),2023D016
344300,"Install In-Pavement Runway Guard/Stop Bar Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer",6,1,"Install In-Pavement Runway Guard/Stop Bar Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",2023D011
344300,"Install PF Base Can, PF Extension, PF Flange Ring and PF Cover Plate",6,1,"Install PF Base Can, PF Extension, PF Flange Ring and PF Cover Plate (Section 344300)",2023D011
344300,"Install PF Elevated Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer in Existing AC",6,1,"Install PF Elevated Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer in Existing AC (Section 344300)",2023D016
344300,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer",6,1,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",2018D027
344300,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC",6,1,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)",2015D142
344300,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC",6,1,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC (Section 344300)",2015D142
344300,"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer",6,1,"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",2023D016
344300,"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer",6,1,"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",2023D011
344300,"Install Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer",6,1,"Install Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",2023D016
344300,"Install Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer",6,1,"Install Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",2023D011
344300,"Reinstall Elevated LED Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer",6,1,"Reinstall Elevated LED Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",2018D027
344300,"Reinstall LED Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer",6,1,"Reinstall LED Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",2018D027
344301,Adjust Existing Elevated Runway Threshold/Edge Light,6,1,Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),2015D142
344301,Adjust Existing In-Pavement Runway Guard/Stop Bar Light to New Finish Elevation,6,1,Adjust Existing In-Pavement Runway Guard/Stop Bar Light to New Finish Elevation (Section 344301),2023D011
344301,Adjust Existing Taxiway Centerline Light,6,1,Adjust Existing Taxiway Centerline Light (Section 344301),2018D027
344302,Sign A5-1,6,1,Sign A5-1 (Section 344302),2023D011
344302,Sign A5-6,6,1,Sign A5-6 (Section 344302),2023D011
344302,Sign A5-7,6,1,Sign A5-7 (Section 344302),2023D011
344302,Sign A5-8,6,1,Sign A5-8 (Section 344302),2023D011
344302,Sign A5-9,6,1,Sign A5-9 (Section 344302),2023D011
344302,Sign A6-10,6,1,Sign A6-10 (Section 344302),2023D011
344302,Sign A6-11,6,1,Sign A6-11 (Section 344302),2023D011
344302,Sign A6-12,6,1,Sign A6-12 (Section 344302),2023D011
344302,Sign A6-2,6,1,Sign A6-2 (Section 344302),2023D011
344302,Sign A6-3,6,1,Sign A6-3 (Section 344302),2023D011
344302,Sign A6-7,6,1,Sign A6-7 (Section 344302),2023D016
344302,Sign A6-9,6,1,Sign A6-9 (Section 344302),2023D011
344302,Sign B6-11,6,1,Sign B6-11 (Section 344302),2018D027
344302,Sign EA-15,6,1,Sign EA-15 (Section 344302),2023D016
344302,Sign T-5,6,1,Sign T-5 (Section 344302),2023D016
C-102,Inlet Protection,6,1,Inlet Protection (Item C-102),2023D011
C-102,Installation and Removal of Silt Fence,6,1,Installation and Removal of Silt Fence (Item C-102),2018D027
D-705,Non - Perforated Pipe,6,1,6-Inch Non-Perforated Pipe (Item D-705),2023D016
D-705,Non - Perforated Underdrain Pipe,6,1,Non-Perforated Underdrain Pipe (6-inch) (Item D-705),2023D011
D-705,Perforated Storm Sewer Pipe,6,1,6-Inch Perforated Storm Sewer Pipe (Item D-705),2023D016
D-705,Perforated Underdrain Pipe,6,1,Perforated Underdrain Pipe (6-inch) (Item D-705),2023D011
D-751,Manhole Catch Basin,6,1,60-Inch Manhole Catch Basin (Item D-751),2023D011
D-751,"Manhole, Ditch Inlet",6,1,"48-Inch Manhole, Ditch Inlet (Item D-751)",2015D142
L-108,"No. 12 AWG, 600V, Cable, Installed in Conduit",6,1,"No. 12 AWG, 600V, Cable, Installed in Conduit (Item L-108)",2023D011
L-108,No. 2/0 AWG,6,1,"No. 2/0 AWG, 600-Volt Conductor (Item L-108)",2018D027
L-108,No. 4 GND Conductor,6,1,No. 4 GND Conductor (Item L-108),2018D027
L-110,IMC under New AC Shoulder,6,1,1.5-Inch IMC under New AC Shoulder (Item L-110),2023D011
L-110,PVC Direct Buried in Grass or under New AC Shoulder,6,1,2-Inch PVC Direct Buried in Grass or under New AC Shoulder (Item L-110),2023D016
L-110,PVC Encased in Concrete in New Structural AC,6,1,2-Inch PVC Encased in Concrete in New Structural AC (Item L-110),2023D016
L-110,PVC Encased in Concrete in new Structural AC,6,1,2-Inch PVC Encased in Concrete in new Structural AC (Item L-110),2023D011
L-110,PVC in CLSM,6,1,2-Inch PVC in CLSM (Item L-110),2018D027
L-110,PVC in New Shoulder and Direct Buried,6,1,2-Inch PVC in New Shoulder and Direct Buried (Item L-110),2018D027
L-110,PVC under New AC Shoulder,6,1,2-Inch PVC under New AC Shoulder (Item L-110),2023D011
P-101,Cold Milling Surface Preparation,6,1,Cold Milling Surface Preparation (Item P-101),2023D016
P-101,Cold Milling Variable to 10-Inch Depth,6,1,Cold Milling Variable to 10-Inch Depth (Item P-101),2023D016
P-101,Full - Depth Asphalt Pavement Removal,6,1,Full-Depth Asphalt Pavement Removal - 10 to 19 Inches) (Item P-101),2023D016
P-101,Pavement Removal,6,1,"Pavement Removal (Full Depth Asphalt Concrete, 4-17.5 Inches) (Item P-101)",2023D011
P-401,Hot Mix Asphalt (HMA) Bituminous Surface Course,6,1,Hot Mix Asphalt (HMA) Bituminous Surface Course (Item P-401),2015D142
P-403,Hot Mix Asphalt (HMA) Base Course,6,1,Hot Mix Asphalt (HMA) Base Course (Item P-403),2015D142
P-501,- Thick Concrete Pavement,6,1,19-Inch-Thick Concrete Pavement (Item P-501),2022D027
P-602,Emulsified Asphalt Prime Coat,6,1,Emulsified Asphalt Prime Coat (Item P-602),2018D027
P-608,Runway Friction Testing,6,1,Runway Friction Testing (Item P-608),2015D142
T-905,Topsoil (Furnished from Off the Site),6,1,Topsoil (Furnished from Off the Site) (Item T-905),2023D016
UNCLASSIFIED,Borrow Excavation (P-152),6,1,Borrow Excavation (P-152),2015D142
UNCLASSIFIED,One - Year Landscape Maintenance,6,1,One-Year Landscape Maintenance,2021D001
312300,Existing Manhole Adjustment,5,1,Existing Manhole Adjustment - Cleanout (Section 312300),2022D028
344300,Reinstall Elevated Runway End Light on Existing Base Can with PF Transformer,5,1,Reinstall Elevated Runway End Light on Existing Base Can with PF Transformer (Section 344300),2022D028
344300,Reinstall Elevated Taxiway Edge Light on Existing Base Can with PF Transformer,5,1,Reinstall Elevated Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300),2022D028
344300,Reinstall In-Pavement Stop Bar Light on Existing Base Can with Existing Transformer,5,1,Reinstall In-Pavement Stop Bar Light on Existing Base Can with Existing Transformer (Section 344300),2022D028
344300,Reinstall In-Pavement Taxiway Centerline Light on Existing Base Can with Existing Transformer,5,1,Reinstall In-Pavement Taxiway Centerline Light on Existing Base Can with Existing Transformer (Section 344300),2022D028
344300,Reinstall In-Pavement Taxiway Edge Light on Existing Base Can with PF Transformer,5,1,Reinstall In-Pavement Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300),2022D028
344300,Reinstall Taxiway Centerline Light on Existing Base Can with PF Transformer,5,1,Reinstall Taxiway Centerline Light on Existing Base Can with PF Transformer (Section 344300),2022D028
344300,"Reinstall Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and PF Transformer",5,1,"Reinstall Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and PF Transformer (Section 344300)",2022D028
344301,Adjust Existing Runway Edge Light to New Finish Elevation,5,1,Adjust Existing Runway Edge Light to New Finish Elevation (Section 344301),2022D028
344301,Adjust Existing Taxiway Edge Light to New Finish Elevation,5,1,Adjust Existing Taxiway Edge Light to New Finish Elevation (Section 344301),2022D028
344302,Sign CE-10,5,1,Sign CE-10 (Section 344302),2022D028
L-108,"No. 10 AWG, 600V, Cable Installed in Conduit",5,1,"No. 10 AWG, 600V, Cable Installed in Conduit (Item L-108)",2022D028
L-108,"No. 6 AWG, Solid, Bare Copper Counterpoise Wire, Installed above the Duct Bank or Conduit, Including Connections/Terminations",5,1,"No. 6 AWG, Solid, Bare Copper Counterpoise Wire, Installed above the Duct Bank or Conduit, Including Connections/Terminations (Item L-108)",2022D028
L-108,"No. 8 AWG, 5kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit",5,1,"No. 8 AWG, 5kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit (Item L-108)",2022D028
L-110,PVC Encased in CLSM in New AC,5,1,2-Inch PVC Encased in CLSM in New AC (Item L-110),2022D028
L-110,PVC Encased in P-610 in Existing AC,5,1,2-Inch PVC Encased in P-610 in Existing AC (Item L-110),2022D028
P-403,Asphalt Mixture Base and Surface Course,5,1,Asphalt Mixture Base and Surface Course (Item P-403),2022D028
P-605,Concrete to Asphalt Joint Seal,5,1,Concrete to Asphalt Joint Seal (Item P-605),2024D045
P-605,Concrete to Concrete Joint Seal,5,1,Concrete to Concrete Joint Seal (Silicone) (Item P-605),2024D045
P-620,Surface Preparation - Existing Pavement Surface,5,1,Surface Preparation - Existing Pavement Surface (Item P-620),2022D028
P-620,Surface Preparation - Marking Removal,5,1,Surface Preparation - Marking Removal (Item P-620),2022D028
UNCLASSIFIED,"Pavement Marking, Painted",5,1,"Pavement Marking, Painted",2016D18
UNCLASSIFIED,"Pavement Marking, Temporary",5,1,"Pavement Marking, Temporary",2016D18
UNCLASSIFIED,"Pavement Marking, Thermoplastic",5,1,"Pavement Marking, Thermoplastic",2016D18
UNCLASSIFIED,Utility Adjustments to Grade,5,1,Utility Adjustments to Grade,2016D18
UNCLASSIFIED,Vehicle Detection Loops,5,1,Vehicle Detection Loops,2016D18
012200,Contaminated Soil Handling and Management,4,1,Contaminated Soil Handling and Management (Section 012200),2023D025
012200,Dewatering,4,1,Dewatering (Section 012200),2023D025
012200,Erosion and Sediment Control,4,1,Erosion and Sediment Control (Section 012200),2023D025
012200,HighBlueReflectiveMarkers,4,1,3'HighBlueReflectiveMarkers (Section012200),2019D031
012200,"Removal, Haul, and Disposal of Demolition Debris",4,1,"Removal, Haul, and Disposal of Demolition Debris (Section 012200)",2023D025
012200,SettlementPlates,4,1,SettlementPlates (Section012200),2019D031
012200,Temporary Sewage Bypassing,4,1,Temporary Sewage Bypassing (Section 012200),2023D025
012200,Temporary Stream Bypass,4,1,TemporaryStreamBypass(Section012200),2019D031
012200,Work Zoneand Traffic Control,4,1,WorkZoneandTrafficControl (Section012200),2019D031
015713,ConstructionEntrance,4,1,ConstructionEntrance (Section015713),2019D031
015713,InletProtection,4,1,InletProtection (Section015713),2019D031
015713,JuteMatting,4,1,JuteMatting (Section015713),2019D031
015713,Plastic Mesh Fence,4,1,PlasticMeshFence (Section015713),2019D031
026100,Contaminated Material Excavationand Disposal,4,1,ContaminatedMaterialExcavationandDisposal(Section026100),2019D031
260500,FAAMALSRand Threshold Bar Lights,4,1,FAAMALSRandThresholdBarLights(Section260500),2019D031
260500,Install PFConstant Current Regulator,4,1,InstallPFConstantCurrentRegulator (Section260500),2019D031
260500,Temporary Threshold Set Upand Circuit Connection,4,1,TemporaryThresholdSetUpandCircuitConnection (Section260500),2019D031
330516,CleanoutStructures,4,1,CleanoutStructures (Section330516),2019D031
344300,Install PFElevated Taxiway Edge Lighton Existing Base Canwith CFTransformer,4,1,InstallPFElevatedTaxiwayEdgeLightonExistingBaseCanwithCFTransformer (Section344300),2019D031
344300,Install PFLEDElevated Runway End/Threshold Lightwith PFBase Can,4,1,"InstallPFLEDElevatedRunwayEnd/ThresholdLightwithPFBaseCan,CFTransformerinNewACPShoulder (Section344300)",2019D031
344300,Install PFLEDElevated Runway Guard Lightwith PFBase Can,4,1,"InstallPFLEDElevatedRunwayGuardLightwithPFBaseCan,CFTransformerinNewACPShoulder(Section344300)",2019D031
344300,Install PFLEDRunway Edge Lightwith PFBase Can,4,1,"InstallPFLEDRunwayEdgeLightwithPFBaseCan,CFTransformerinNewACPShoulder (Section344300)",2019D031
344300,Install PFTaxiway Edge Lightwith PFBase Can,4,1,"InstallPFTaxiwayEdgeLightwithPFBaseCan,CFTransformerinNewACPShoulder(Section344300)",2019D031
344300,InstallPF,4,1,"InstallPF12""Diameter,24""DeepBaseCanwithPFCoverinNewACPShoulder (Section344300)",2019D031
344301,Adjust Existing Runway/Taxiway Elevated Edge Lightwith CFTransformer,4,1,AdjustExistingRunway/TaxiwayElevatedEdgeLightwithCFTransformer (Section344301),2019D031
344302,Sign,4,1,Sign13R-1 (Section344302),2019D031
344302,SignA,4,1,SignA-1 (Section344302),2019D031
354000,Boulders,4,1,Boulders (Section354000),2019D031
354000,Grade Control Structures,4,1,GradeControlStructures (Section354000),2019D031
354000,RiprapOutfall,4,1,RiprapOutfall (Section354000),2019D031
354000,StreambedCobble,4,1,StreambedCobble (Section354000),2019D031
354000,StreambedSediment,4,1,StreambedSediment (Section354000),2019D031
C-102,Installationand Removalof Silt Fence,4,1,InstallationandRemovalofSiltFence (ItemC-102),2019D031
D-701,12-inchSTS,4,1,12-inchSTS (ItemD-701),2019D031
D-701,14-inch Class50Ductile Iron Pipe Culvert,4,1,14-inchClass50DuctileIronPipeCulvert(ItemD-701),2019D031
D-701,18-inch Class50Ductile Iron Pipe Culvert,4,1,18-inchClass50DuctileIronPipeCulvert (ItemD-701),2019D031
D-701,24-inchSTS,4,1,24-inchSTS (ItemD-701),2019D031
D-701,6-inchSTS,4,1,6-inchSTS (ItemD-701),2019D031
D-701,Culvert,4,1,8'HX14'WCulvert (ItemD-701),2019D031
D-705,InchPipeUnderdrains,4,1,6-InchPipeUnderdrains (ItemD-705),2019D031
D-751,CatchBasins,4,1,CatchBasins (ItemD-751),2019D031
D-752,ReinforcingSteel,4,1,ReinforcingSteel (ItemD-752),2019D031
D-752,StructuralConcrete,4,1,StructuralConcrete (ItemD-752),2019D031
D-752,Unclassified Excavationfor Structures,4,1,UnclassifiedExcavationforStructures (ItemD-752),2019D031
L-108,Ground Rodfor Counterpoise,4,1,GroundRodforCounterpoise (ItemL-108),2019D031
L-108,"No.6AWG,Solid,Bare Counterpoise Wire,Installed Abovethe Duct Bankor Conduit",4,1,"No.6AWG,Solid,BareCounterpoiseWire,InstalledAbovetheDuctBankorConduit,IncludingConnections/Terminations(ItemL-108)",2019D031
L-108,"No.8AWG,5k V,L-824,Type CCable Installedin Trench,Duct Bank",4,1,"No.8AWG,5kV,L-824,TypeCCableInstalledinTrench,DuctBank,orConduit(ItemL-108)",2019D031
L-110,InchPVCinGrassorinNewACshoulder,4,1,2-InchPVCinGrassorinNewACshoulder(ItemL-110),2019D031
L-110,InchPVCinNewACStructuralPavement,4,1,2-InchPVCinNewACStructuralPavement(ItemL-110),2019D031
P-101,Asphalt Pavement Removal - 2.5-InchDepth,4,1,AsphaltPavementRemoval-2.5-InchDepth (ItemP-101),2019D031
P-101,ColdMilling - 0.5InchDepth,4,1,ColdMilling-0.5InchDepth (ItemP-101),2019D031
P-101,ColdMilling - VariableDepth(Transitional),4,1,ColdMilling-VariableDepth(Transitional)(ItemP-101),2019D031
P-101,Removalof Pipeand Other Buried Structures,4,1,RemovalofPipeandOtherBuriedStructures (ItemP-101),2019D031
P-152,EmbankmentinPlace,4,1,EmbankmentinPlace (ItemP-152),2019D031
P-152,MechanicalStabilization,4,1,MechanicalStabilization (ItemP-152),2019D031
P-152,Subgrade Stabilzation,4,1,Subgrade Stabilzation (Item P-152),2023D025
P-152,UnsuitableExcavation,4,1,UnsuitableExcavation (ItemP-152),2019D031
P-153,ControlledLow - StrengthMaterial(CLSM),4,1,ControlledLow-StrengthMaterial(CLSM) (ItemP-153),2019D031
P-154,SubbaseCourse,4,1,SubbaseCourse (ItemP-154),2019D031
P-209,SeparationGeotextile,4,1,SeparationGeotextile (ItemP-209),2019D031
P-403,Asphalt Mixture Baseand Surface Course,4,1,AsphaltMixtureBaseandSurfaceCourse(ItemP-403),2019D031
P-606,AdhesiveCompound,4,1,AdhesiveCompound (ItemP-606),2019D031
P-608,Runway and High Speed Exit Taxiway Friction Testing,4,1,Runway and High Speed Exit Taxiway Friction Testing (Item P-608),2023D018
P-620,ReflectiveMedia,4,1,ReflectiveMedia (ItemP-620),2019D031
P-620,Temporary Runwayand Taxiway Marking,4,1,TemporaryRunwayandTaxiwayMarking (ItemP-620),2019D031
024113,Relocate Storage Shelter,3,1,Relocate Storage Shelter (Section 024113),2023D003
024113,Remove Bollard - Bolt Down,3,1,Remove Bollard - Bolt Down (Section 024113),2023D003
