Estimate Item,Bid Tab Count,Project EAN,Raw Bid Tab Item Description
"330516 48-Inch Manhole, Type A",1,2016D015,72-Inch Manhole
"330516 Catch Basin, Type A",1,2020D009,Catch Basin
331116 Fire Hydrant,1,2021D001,Fire Hydrant Assembly
331116 Fire Hydrant,1,2018D029,Underground Fire Hydrant (Section 331116)
331116 Valve,1,2021D001,16-Inch Butterfly Valve
331116 Valve,1,2021D001,2-Inch Air Release Valve Assembly
331116 Valve,1,2018D015,2-Inch Gate Valve
331116 Valve,1,2021D001,3-Inch Gate Valve
331116 Valve,2,2018D015; 2021D001,4-Inch Gate Valve
331116 Valve,1,2018D015,6-Inch Gate Valve
331116 Valve,1,2021D001,8-Inch Gate Valve
331116 Valve,1,2018D029,8-Inch Gate Valve (Section 331116)
331116 Water Meter,1,2021D001,2-Inch Water Meter
331116 Water Meter,1,2018D029,8-Inch Fire Water Line (Section 331116)
331116 Water Meter,1,2021D001,Central Water Meter Vault and Manifold
510101 Asphalt Concrete Pavement Milling,2,2023D011,3-5 Inch Cold Milling (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2023D003,Asphalt Pavement Removal (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2018D027,Asphalt Pavement Removal - 11-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 12"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 12"" Depth Asphalt Grindings (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2017D013,Asphalt Pavement Removal - 12-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2018D027,Asphalt Pavement Removal - 13.5-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 14"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,1,2017D013,Asphalt Pavement Removal - 15-Inch Depth (Item P-101)
510101 Asphalt Concrete Pavement Milling,1,2015D147,"Asphalt Pavement Removal - 16"" Depth (Item P-101)"
510101 Asphalt Concrete Pavement Milling,2,2018D027; 2022D028,Asphalt Pavement Removal - 16-Inch Depth (Item P-101)
