Estimate Item,Bid Tab Count,Project EAN,Raw Bid Tab Item Description
580701 XX-inch XX Pipe,1,2019D031,6-inchSTS (ItemD-701)
580701 XX-inch XX Pipe,1,2019D031,8'HX14'WCulvert (ItemD-701)
580701 XX-inch XX Pipe,3,2018D027; 2018D029; 2022D027,8-Inch STS (Item D-701)
580701 XX-inch XX Pipe,1,2015D142,8-Inch STS Pipe (Item D-701)
580701 XX-inch XX Pipe,1,2023D011,STS Drain Pipe (18-inch) (Item D-701)
580701 XX-inch XX Pipe,1,2023D011,STS Drain Pipe (24-inch) (Item D-701)
580705 12-Inch Perforated HDPE Pipe (Underdrains),1,2023D016,6-Inch Non-Perforated Pipe (Item D-705)
580705 12-Inch Perforated HDPE Pipe (Underdrains),1,2017D013,6-Inch Perforated Pipe (Item D-705)
580705 12-Inch Perforated HDPE Pipe (Underdrains),1,2015D147,6-Inch Perforated Pipe Underdrains (Item D-705)
580705 12-Inch Perforated HDPE Pipe (Underdrains),1,2023D016,6-Inch Perforated Storm Sewer Pipe (Item D-705)
580705 12-Inch Perforated HDPE Pipe (Underdrains),1,2023D011,Non-Perforated Underdrain Pipe (6-inch) (Item D-705)
580705 12-Inch Perforated HDPE Pipe (Underdrains),1,2023D011,Perforated Underdrain Pipe (6-inch) (Item D-705)
580705 6-Inch Solid HDPE Pipe (Underdrains),1,2019D031,6-InchPipeUnderdrains (ItemD-705)
"580751 48-Inch Manhole, Type A",1,2018D029,48-Inch Diameter Manhole (Item D-751)
"580751 48-Inch Manhole, Type A",1,2017D013,"48-Inch Diameter Manhole, Type A (Item D-751)"
"580751 48-Inch Manhole, Type A",1,2018D027,48-Inch Manhole (Item D-751)
"580751 48-Inch Manhole, Type A",1,2015D147,"48-Inch Manhole, Type A (Item D-751)"
"580751 48-Inch Manhole, Type A",2,2018D027,60-Inch Manhole (Item D-751)
"580751 48-Inch Manhole, Type A",1,2017D013,"72-Inch Diameter Manhole, Type A (Item D-751)"
"580751 48-Inch Manhole, Type A",1,2018D027,72-Inch Manhole (Item D-751)
"580751 48-Inch Manhole, Type A",2,2015D142; 2015D147,"72-Inch Manhole, Type A (Item D-751)"
"580751 48-Inch Manhole, Type A",1,2018D029,84-Inch Diameter Manhole (Item D-751)
"580751 48-Inch Manhole, Type A",1,2017D013,"84-Inch Diameter Manhole, Type A (Item D-751)"
"580751 48-Inch Manhole, Type A",2,2015D142; 2015D147,"84-Inch Manhole, Type A (Item D-751)"
"580751 48-Inch Manhole, Type A",1,2017D013,"96-Inch Diameter Manhole, Type A (Item D-751)"
"580751 48-Inch Manhole, Type B (Aircraft Rated)",2,2015D142; 2015D147,"48-Inch Manhole, Type B (Item D-751)"
"580751 48-Inch Manhole, Type B (Aircraft Rated)",1,2015D147,"60-Inch Manhole, Type B (Item D-751)"
"580751 48-Inch Manhole, Type B (Aircraft Rated)",1,2015D147,"72-Inch Manhole, Type B (Item D-751)"
"580751 48-Inch Manhole, Type B (Aircraft Rated)",1,2015D147,"84-Inch Manhole, Type B (Item D-751)"
"580751 Catch Basin, Type A",1,2023D016,48-Inch Manholes (Item D-751)
"580751 Catch Basin, Type A",1,2023D011,60-Inch Manhole Catch Basin (Item D-751)
"580751 Catch Basin, Type A",2,2023D011; 2023D016,60-Inch Manholes (Item D-751)
"580751 Catch Basin, Type A",2,2015D142; 2015D147,Catch Basin (Item D-751)
"580751 Catch Basin, Type A",7,2017D013; 2018D027; 2018D029; 2022D028; 2023D011; 2023D016,Catch Basins (Item D-751)
"580751 Catch Basin, Type A",1,2019D031,CatchBasins (ItemD-751)
"580751 Catch Basin, Type A",2,2023D011; 2023D016,Connect to Existing Catch Basin/Manhole (Item D-751)
"580751 Catch Basin, Type A",1,2022D028,Manholes (Item D-751)
"580751 Catch Basin, Type A",1,2019D031,Manholes (ItemD-751)
"580751 Catch Basin, Type A",2,2018D029; 2022D027,Trench Drain (Item D-751)
"580751 Catch Basin, Type A",2,2023D011; 2023D016,Underdrain Cleanout (Item D-751)
580751 Connection to Existing Manhole or Inlet,1,2015D142,"48-Inch Manhole, Ditch Inlet (Item D-751)"
590901 Hydroseeding,6,2015D142; 2015D147; 2017D013; 2018D027; 2023D011; 2023D016,Seeding (Item T-901)
590901 Hydroseeding,1,2019D031,Seeding(ItemT-901)
590905 Topsoil,1,2023D016,Topsoil (Furnished from Off the Site) (Item T-905)
590905 Topsoil,1,2023D011,"Topsoil (Obtained on Site or Removed from Stockpile) (3"") (Item T-905)"
590905 Topsoil,1,2018D027,Topsoil (Obtained on Site or Removed from Stockpile) (Item T-905)
590905 Topsoil,1,2019D031,Topsoil(FurnishedfromOfftheSite) (ItemT-905)
590905 Topsoil,1,2019D031,Topsoil(ObtainedOnStieorRemovedfromStockpile) (ItemT-905)
590905 Topsoil,2,2015D147; 2017D013,Topsoiling (Item T-905)
nan Construction Survey,2,2016D015; 2016D18,Construction Survey
nan Construction Survey,5,2015D142; 2015D147; 2017D013,Construction Survey (Item GP-50)
