rule_id,item_group,item_subgroup,rule_kind,rule_values,rule_order
spec_airfield_lighting,ELECTRICAL,AIRFIELD_LIGHTING,spec_in,L-108|L-110|344300|344301,1
spec_airfield_signage,ELECTRICAL,AIRFIELD_SIGNAGE,spec_in,344302,2
spec_power_distribution,ELECTRICAL,POWER_DISTRIBUTION,spec_in,260500|260526|260543|260553|262200|262400|265000|265623,3
spec_telecom_it,ELECTRICAL,TELECOM_IT,spec_in,270553|271000|282300,4
spec_ev_charging,ELECTRICAL,EV_CHARGING,spec_in,263343,5
spec_drainage_structures,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_in,D-701|D-705|D-751|D-752|312300,6
spec_piping_utility,PIPING_DRAINAGE,PIPING_UTILITY,spec_in,330516|331116|334100|334213,7
spec_paving_earthwork,ROADWORK_PAVING,PAVING_EARTHWORK,spec_in,P-101|P-152|P-153|P-154|P-156|P-209|P-306|P-401|P-403|P-501|P-602|P-603|P-604|P-605|P-606|P-608|P-610|P-620|P-621|P-626|320117|320118|321613,8
spec_temp_traffic,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_in,012200|015713|C-102|C-105,9
spec_demo_remediation,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,spec_in,024113|026100,10
spec_landscape,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,spec_in,T-901|T-905|328400|329300|354000,11
spec_site_safety,SITEWORK_MISC,FENCING_GUARDRAIL_BOLLARDS,spec_in,323113|347113|347115|111100,12
kw_airfield_signage,ELECTRICAL,AIRFIELD_SIGNAGE,kw_any, SIGNAGE | SIGN ,13
kw_airfield_lighting,ELECTRICAL,AIRFIELD_LIGHTING,kw_any, LIGHT | LIGHTING | TRANSFORMER | CONDUIT | CABLE | PANEL | COUNTERPOISE ,14
kw_telecom_it,ELECTRICAL,TELECOM_IT,kw_any, NETWORK | TELECOMMUNICATION| VIDEO SURVEILLANCE | DATA ,15
kw_piping_drainage,PIPING_DRAINAGE,PIPING_UTILITY,kw_any, PIPE | MANHOLE | CATCH BASIN| DRAIN| SEWER | VALVE | HYDRANT | PUMP STATION | STORMWATER | OUTFALL | INTAKE | WET WELL ,16
kw_paving_earthwork,ROADWORK_PAVING,PAVING_EARTHWORK,kw_any, ASPHALT | PAVEMENT | MILLING | EXCAVATION | BASE COURSE | SUBBASE | GROOVING | JOINT | SLURRY | TRENCH STABILIZATION | GEOTEXTILE | LEVEL 3 | CURB | SIDEWALK ,17
kw_temp_traffic,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,kw_any, MOBILIZATION | DEMOBILIZATION | TRAFFIC CONTROL | ESCORT | SURVEY | SWEEPER | SECURITY CONTROL ,18
kw_landscape_env,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_any, SEEDING | TOPSOIL | PLANT | IRRIGATION | EROSION | SEDIMENT | WATTLE | RIPRAP | GRUBBING | LANDSCAPE | DEWATERING | INLET PROTECTION | DITCH PROTECTION ,19
kw_demo_remediation,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,kw_any, DEMOLITION | REMOVE | REMOVAL | CONTAMINATED ,20
