project_ean,line_no,item_description_raw,unit_code_raw,unit_code_norm,is_totals_row,specification,pay_item_description,raw_norm,pay_item_norm,text_blob_norm,estimate_item,match_method,match_confidence,needs_review,division,cost_code,catalog_unit,needs_slicer,slicer_family,catalog_notes,size_in,material_or_type,spec_family
2015D006,0001,"Mobilization, Surveying, Cleanup, and Demobilization",LS,LS,False,UNCLASSIFIED,"Mobilization, Surveying, Cleanup, and Demobilization",MOBILIZATION SURVEYING CLEANUP AND DEMOBILIZATION,MOBILIZATION SURVEYING CLEANUP AND DEMOBILIZATION,MOBILIZATION SURVEYING CLEANUP AND DEMOBILIZATION MOBILIZATION SURVEYING CLEANUP AND DEMOBILIZATION UNCLASSIFIED,10000 Construction Survey,rule_contains,0.98,False,01 General Requirements,10000,LS,False,,Front-end controls.,,,
2015D006,0002,Work Zone Traffic Control,LS,LS,False,UNCLASSIFIED,Work Zone Traffic Control,WORK ZONE TRAFFIC CONTROL,WORK ZONE TRAFFIC CONTROL,WORK ZONE TRAFFIC CONTROL WORK ZONE TRAFFIC CONTROL UNCLASSIFIED,15001 Work Zone and Traffic Control,rule_contains,0.98,False,01 General Requirements,15001,LS,False,,Front-end controls.,,,
2015D006,0003,"Temporary Erosion, Sediment, and Pollution Control",LS,LS,False,UNCLASSIFIED,"Temporary Erosion, Sediment, and Pollution Control",TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL,TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL,TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0004,Site Demolition,LS,LS,False,UNCLASSIFIED,Site Demolition,SITE DEMOLITION,SITE DEMOLITION,SITE DEMOLITION SITE DEMOLITION UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0005,Clearing and Grubbing,LS,LS,False,UNCLASSIFIED,Clearing and Grubbing,CLEARING AND GRUBBING,CLEARING AND GRUBBING,CLEARING AND GRUBBING CLEARING AND GRUBBING UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0006,Trench Excavation and General Native Backfill,LF,LF,False,UNCLASSIFIED,Trench Excavation and General Native Backfill,TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL,TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL,TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0007,Trench Excavation and Select Native Backfill,LF,LF,False,UNCLASSIFIED,Trench Excavation and Select Native Backfill,TRENCH EXCAVATION AND SELECT NATIVE BACKFILL,TRENCH EXCAVATION AND SELECT NATIVE BACKFILL,TRENCH EXCAVATION AND SELECT NATIVE BACKFILL TRENCH EXCAVATION AND SELECT NATIVE BACKFILL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0008,Trench Excavation and Select Backfill,LF,LF,False,UNCLASSIFIED,Trench Excavation and Select Backfill,TRENCH EXCAVATION AND SELECT BACKFILL,TRENCH EXCAVATION AND SELECT BACKFILL,TRENCH EXCAVATION AND SELECT BACKFILL TRENCH EXCAVATION AND SELECT BACKFILL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0009,Offsite Haul and Disposal,CY,CY,False,UNCLASSIFIED,Offsite Haul and Disposal,OFFSITE HAUL AND DISPOSAL,OFFSITE HAUL AND DISPOSAL,OFFSITE HAUL AND DISPOSAL OFFSITE HAUL AND DISPOSAL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0010,Contaminated Soil Sediment Excavation and Disposal,Ton,TON,False,UNCLASSIFIED,Contaminated Soil Sediment Excavation and Disposal,CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL,CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL,CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
