source_file,source_sheet,project_ean,solicitation_no,letting_date,bid_schedule_type,bid_schedule_code,bidder_name_raw,bidder_name_canonical,bidder_type,schedule_total,sum_line_total_price,sum_line_total_price_calc,delta_total_price,delta_total_price_calc,delta_abs,delta_pct,line_item_count,missing_total_price_count,missing_unit_price_count,tolerance_amount_used,tolerance_pct_used,suspected_root_cause
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,10205253.0,1110601.0,1110601.0,-9094652.0,-9094652.0,9094652.0,0.8911735946183794,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,Granite Construction Company,GRANITE CONSTRUCTION COMPANY,CONTRACTOR,10938063.83,1018239.6699999999,1018239.6699999999,-9919824.16,-9919824.16,9919824.16,0.9069086004776039,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,"K & E Excavating, Inc.",K & E EXCAVATING INC.,CONTRACTOR,10406032.75,1095921.75,1095921.75,-9310111.0,-9310111.0,9310111.0,0.8946839995290232,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,Kerr Contractors Oregon LLC,KERR CONTRACTORS OREGON LLC,CONTRACTOR,12340448.25,1218247.25,1218247.25,-11122201.0,-11122201.0,11122201.0,0.901280145962283,21,0,0,5.0,0.02,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,ALTERNATE,ALT_BID,"Lakeside Industries, Inc.",LAKESIDE INDUSTRIES INC.,CONTRACTOR,10580625.5,967073.0,967073.0,-9613552.5,-9613552.5,9613552.5,0.9085996380837787,21,0,0,5.0,0.02,OTHER
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,,16044599.75,16044599.75,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,"Goodfella Bros., Inc.",GOODFELLA BROS INC.,CONTRACTOR,,18996299.0,18996299.0,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,,17412805.5,17412805.5,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,,18207364.25,18207364.25,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,,21121275.85,21121275.85,,,,,133,44,0,5.0,0.02,TOTALS_SCOPE
