source_file,source_sheet,project_ean,solicitation_no,letting_date,bid_schedule_name,bid_schedule_type,bid_schedule_code,bidder_name_raw,bidder_name_canonical,bidder_type,sum_line_total_price,sum_line_total_price_calc,line_item_count,missing_total_price_count,missing_unit_price_count,schedule_total,delta_total_price,delta_total_price_calc,delta_abs,delta_pct,tolerance_amount_used,tolerance_pct_used,within_tolerance,suspected_root_cause
PDX Lift Station Bid Tab.xlsx,Base Bid Tabulation,2023D025,2024-10566,2025-03-10,Base Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,802978.5,802978.5,25,0,0,802978.5,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX Lift Station Bid Tab.xlsx,Base Bid Tabulation,2023D025,2024-10566,2025-03-10,Base Bid Tabulation,BASE,,"MJ Hughes Construction, Inc.",MJ HUGHES CONSTRUCTION INC.,CONTRACTOR,837232.5,837232.5,25,0,0,837232.5,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX ORANG Reversion Areas Bid Tab.xlsx,Bid Tabulation,2021D001,2022-10053,2025-02-25,Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,3120429.09875,3120429.09875,67,0,0,3120429.09875,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX ORANG Reversion Areas Bid Tab.xlsx,Bid Tabulation,2021D001,2022-10053,2025-02-25,Bid Tabulation,BASE,,Kodiak Pacific Construction Co.,KODIAK PACIFIC CONSTRUCTION CO.,CONTRACTOR,3002271.0,3002271.0,67,0,0,3002271.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX ORANG Reversion Areas Bid Tab.xlsx,Bid Tabulation,2021D001,2022-10053,2025-02-25,Bid Tabulation,BASE,,Magnum Power LLC,MAGNUM POWER LLC,CONTRACTOR,2871075.0,2871075.0,67,0,0,2871075.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,Alternate Bid Tabulation,ALTERNATE,ALT_BID,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,1110601.0,1110601.0,21,0,0,10205253.0,-9094652.0,-9094652.0,9094652.0,0.8911735946183794,5.0,0.02,False,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,Alternate Bid Tabulation,ALTERNATE,ALT_BID,Granite Construction Company,GRANITE CONSTRUCTION COMPANY,CONTRACTOR,1018239.6699999999,1018239.6699999999,21,0,0,10938063.83,-9919824.16,-9919824.16,9919824.16,0.9069086004776039,5.0,0.02,False,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,Alternate Bid Tabulation,ALTERNATE,ALT_BID,"K & E Excavating, Inc.",K & E EXCAVATING INC.,CONTRACTOR,1095921.75,1095921.75,21,0,0,10406032.75,-9310111.0,-9310111.0,9310111.0,0.8946839995290232,5.0,0.02,False,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,Alternate Bid Tabulation,ALTERNATE,ALT_BID,Kerr Contractors Oregon LLC,KERR CONTRACTORS OREGON LLC,CONTRACTOR,1218247.25,1218247.25,21,0,0,12340448.25,-11122201.0,-11122201.0,11122201.0,0.901280145962283,5.0,0.02,False,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Alternate Bid Tabulation,2022D028,2023-10399,2026-01-20,Alternate Bid Tabulation,ALTERNATE,ALT_BID,"Lakeside Industries, Inc.",LAKESIDE INDUSTRIES INC.,CONTRACTOR,967073.0,967073.0,21,0,0,10580625.5,-9613552.5,-9613552.5,9613552.5,0.9085996380837787,5.0,0.02,False,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Base Bid Tabulation,2022D028,2023-10399,2026-01-20,Base Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,9294052.0,9294052.0,53,0,0,9294052.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Base Bid Tabulation,2022D028,2023-10399,2026-01-20,Base Bid Tabulation,BASE,,Granite Construction Company,GRANITE CONSTRUCTION COMPANY,CONTRACTOR,9919824.16,9919824.16,53,0,0,9919824.16,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Base Bid Tabulation,2022D028,2023-10399,2026-01-20,Base Bid Tabulation,BASE,,"K & E Excavating, Inc.",K & E EXCAVATING INC.,CONTRACTOR,9310111.0,9310111.0,53,0,0,9310111.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Base Bid Tabulation,2022D028,2023-10399,2026-01-20,Base Bid Tabulation,BASE,,Kerr Contractors Oregon LLC,KERR CONTRACTORS OREGON LLC,CONTRACTOR,11122201.0,11122201.0,53,0,0,11122201.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
"PDX Taxways A, K, T Bid Tab.xlsx",Base Bid Tabulation,2022D028,2023-10399,2026-01-20,Base Bid Tabulation,BASE,,"Lakeside Industries, Inc.",LAKESIDE INDUSTRIES INC.,CONTRACTOR,9613552.5,9613552.5,53,0,0,9613552.5,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,11033119.0,11033119.0,80,0,0,11033119.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,Goodfellows Bros. LLC,GOODFELLOWS BROS LLC,CONTRACTOR,14365415.0,14365415.0,80,0,0,14365415.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,11259886.0,11259886.0,80,0,0,11259886.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,Kerr Contractors Oregon LLC,KERR CONTRACTORS OREGON LLC,CONTRACTOR,11998920.0,11998920.0,80,0,0,11998919.999999998,1.862645149230957e-09,1.862645149230957e-09,1.862645149230957e-09,1.5523440019859766e-16,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,10558558.0,10558558.0,80,0,0,10558558.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,Nutter Corporation,NUTTER CORPORATION,CONTRACTOR,11071755.22,11071755.22,80,0,0,11071755.22,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,"Tapani, Inc.",TAPANI INC.,CONTRACTOR,10834562.95,10834562.95,80,0,0,10834562.95,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Bid Tab.xlsx,Bid Tabulation,2018D029,2020-8113,2020-01-14,Bid Tabulation,BASE,,Weitman Excavation,WEITMAN EXCAVATION,CONTRACTOR,10142018.0,10142018.0,80,0,0,10142018.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Ph2 Bid Tab.xlsx,Bid Tabulation,2022D027,2023-10352,2024-12-18,Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,1563798.75,1563798.75,36,0,0,1563798.75,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Ph2 Bid Tab.xlsx,Bid Tabulation,2022D027,2023-10352,2024-12-18,Bid Tabulation,BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,2550718.0,2550718.0,36,0,0,2550718.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Ph2 Bid Tab.xlsx,Bid Tabulation,2022D027,2023-10352,2024-12-18,Bid Tabulation,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,1958333.0,1958333.0,36,0,0,1958333.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Ph2 Bid Tab.xlsx,Bid Tabulation,2022D027,2023-10352,2024-12-18,Bid Tabulation,BASE,,Lee Contractors LLC,LEE CONTRACTORS LLC,CONTRACTOR,1862355.0,1862355.0,36,0,0,1862355.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Ph2 Bid Tab.xlsx,Bid Tabulation,2022D027,2023-10352,2024-12-18,Bid Tabulation,BASE,,"M.J. Hughes Construction, Inc.",M.J HUGHES CONSTRUCTION INC.,CONTRACTOR,2273100.0,2273100.0,36,0,0,2273100.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX-RON Ph2 Bid Tab.xlsx,Bid Tabulation,2022D027,2023-10352,2024-12-18,Bid Tabulation,BASE,,Nutter Corporation,NUTTER CORPORATION,CONTRACTOR,1620977.0,1620977.0,36,0,0,1620977.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,Bid Tab A (FAA),BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,16044599.75,16044599.75,133,44,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,Bid Tab A (FAA),BASE,,"Goodfella Bros., Inc.",GOODFELLA BROS INC.,CONTRACTOR,18996299.0,18996299.0,133,44,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,Bid Tab A (FAA),BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,17412805.5,17412805.5,133,44,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,Bid Tab A (FAA),BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,18207364.25,18207364.25,133,44,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,Bid Tab A (FAA),BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,21121275.85,21121275.85,133,44,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,Bid Tab A (FAA),BASE,,Nutter Corp.,NUTTER CORP.,CONTRACTOR,16750780.969999999,16750780.969999999,133,44,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab A (FAA),2015D147,2016-6920,2017-01-19,Bid Tab A (FAA),BASE,,Wildish Standard Paving Co.,WILDISH STANDARD PAVING CO.,CONTRACTOR,17797411.0,17797411.0,133,44,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,Bid Tab B (Port),BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,8231.25,8231.25,16,12,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,Bid Tab B (Port),BASE,,"Goodfella Bros., Inc.",GOODFELLA BROS INC.,CONTRACTOR,22780.0,22780.0,16,12,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,Bid Tab B (Port),BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,3332.5,3332.5,16,12,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,Bid Tab B (Port),BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,3918.75,3918.75,16,12,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,Bid Tab B (Port),BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,0.0,0.0,16,12,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,Bid Tab B (Port),BASE,,Nutter Corp.,NUTTER CORP.,CONTRACTOR,2940.0,2940.0,16,12,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_15D147BidTab.xlsx,Bid Tab B (Port),2015D147,2016-6920,2017-01-19,Bid Tab B (Port),BASE,,Wildish Standard Paving Co.,WILDISH STANDARD PAVING CO.,CONTRACTOR,6060.0,6060.0,16,12,0,,,,,,5.0,0.02,False,TOTALS_SCOPE
PDX_2015D006.xlsx,Bid Tab (1-3),2015D006,2015-6576,2016-01-28,Bid Tab (1-3),BASE,,Emery & Sons,EMERY & SONS,CONTRACTOR,2312472.0,2312472.0,30,0,0,2312472.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (1-3),2015D006,2015-6576,2016-01-28,Bid Tab (1-3),BASE,,James W. Fowler Co.,JAMES W FOWLER CO.,CONTRACTOR,2047715.0,2047715.0,30,0,0,2047715.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (1-3),2015D006,2015-6576,2016-01-28,Bid Tab (1-3),BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,1843275.0,1843275.0,30,0,0,1843275.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (10-12),2015D006,2015-6576,2016-01-28,Bid Tab (10-12),BASE,,"Thompson Bros. Excavating, Inc.",THOMPSON BROS EXCAVATING INC.,CONTRACTOR,2162300.0,2162300.0,30,0,0,2162300.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (10-12),2015D006,2015-6576,2016-01-28,Bid Tab (10-12),BASE,,"Weitman Excavation, LLC",WEITMAN EXCAVATION LLC,CONTRACTOR,1897247.5,1897247.5,30,0,0,1897247.5,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (10-12),2015D006,2015-6576,2016-01-28,Bid Tab (10-12),BASE,,"Wildish Standard Paving, Co.",WILDISH STANDARD PAVING CO.,CONTRACTOR,2240505.0,2240505.0,30,0,0,2240505.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (4-6),2015D006,2015-6576,2016-01-28,Bid Tab (4-6),BASE,,"Kerr Contractors, Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,1935149.0,1935149.0,30,0,0,1935149.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (4-6),2015D006,2015-6576,2016-01-28,Bid Tab (4-6),BASE,,"MJ Hughes Construction, Inc.",MJ HUGHES CONSTRUCTION INC.,CONTRACTOR,2148275.0,2148275.0,30,0,0,2148275.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (4-6),2015D006,2015-6576,2016-01-28,Bid Tab (4-6),BASE,,"Moore Excavation, Inc.",MOORE EXCAVATION INC.,CONTRACTOR,2748841.0,2748841.0,30,0,0,2748841.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (7-9),2015D006,2015-6576,2016-01-28,Bid Tab (7-9),BASE,,Nutter Corporation,NUTTER CORPORATION,CONTRACTOR,2213059.2199999997,2213059.2199999997,30,0,0,2213059.2199999997,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (7-9),2015D006,2015-6576,2016-01-28,Bid Tab (7-9),BASE,,"Rotshy, Inc.",ROTSHY INC.,CONTRACTOR,1910132.0,1910132.0,30,0,0,1910132.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D006.xlsx,Bid Tab (7-9),2015D006,2015-6576,2016-01-28,Bid Tab (7-9),BASE,,"Tapani, Inc.",TAPANI INC.,CONTRACTOR,1994190.0,1994190.0,30,0,0,1994190.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab A (RW 3-21),2015D142,2017-6981,2017-05-25,Bid Tab A (RW 3-21),BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,4250844.0,4250844.0,46,0,0,4250844.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab A (RW 3-21),2015D142,2017-6981,2017-05-25,Bid Tab A (RW 3-21),BASE,,"Goodfellow Bros., Inc.",GOODFELLOW BROS INC.,CONTRACTOR,3983331.0,3983331.0,46,0,0,3983331.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab A (RW 3-21),2015D142,2017-6981,2017-05-25,Bid Tab A (RW 3-21),BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,3334545.0,3334545.0,46,0,0,3334545.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab A (RW 3-21),2015D142,2017-6981,2017-05-25,Bid Tab A (RW 3-21),BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,3952661.5,3952661.5,46,0,0,3952661.5,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab A (RW 3-21),2015D142,2017-6981,2017-05-25,Bid Tab A (RW 3-21),BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,3653500.0,3653500.0,46,0,0,3653500.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab A (RW 3-21),2015D142,2017-6981,2017-05-25,Bid Tab A (RW 3-21),BASE,,Nutter Corporation,NUTTER CORPORATION,CONTRACTOR,4422280.0,4422280.0,46,0,0,4422280.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,Bid Tab B (RSA),BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,3037931.5,3037931.5,49,0,0,7288775.5,-4250844.0,-4250844.0,4250844.0,0.5832041335338151,5.0,0.02,False,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,Bid Tab B (RSA),BASE,,"Goodfellow Bros., Inc.",GOODFELLOW BROS INC.,CONTRACTOR,3896261.0,3896261.0,49,0,0,7879592.0,-3983331.0,-3983331.0,3983331.0,0.5055250322605536,5.0,0.02,False,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,Bid Tab B (RSA),BASE,,"K&E Excavating, Inc.",K&E EXCAVATING INC.,CONTRACTOR,3401006.0,3401006.0,49,0,0,6735551.0,-3334545.0,-3334545.0,3334545.0,0.49506640213992886,5.0,0.02,False,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,Bid Tab B (RSA),BASE,,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,CONTRACTOR,4264424.75,4264424.75,49,0,0,8217086.25,-3952661.5,-3952661.5,3952661.5,0.48102957419973535,5.0,0.02,False,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,Bid Tab B (RSA),BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,3040193.0,3040193.0,49,0,0,6693693.0,-3653500.0,-3653500.0,3653500.0,0.5458123042093505,5.0,0.02,False,OTHER
PDX_2015D142 BidTab.xlsx,Bid Tab B (RSA),2015D142,2017-6981,2017-05-25,Bid Tab B (RSA),BASE,,Nutter Corporation,NUTTER CORPORATION,CONTRACTOR,3415241.2199999997,3415241.2199999997,49,0,0,7837521.22,-4422280.0,-4422280.0,4422280.0,0.5642447243032792,5.0,0.02,False,OTHER
PDX_2016D015 Basin 7.xlsx,Bid Tabulation,2016D015,2017-7254,2017-05-25,Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,1991785.0,1991785.0,38,0,0,1991785.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2016D015 Basin 7.xlsx,Bid Tabulation,2016D015,2017-7254,2017-05-25,Bid Tabulation,BASE,,"Goodfellow Bros., Inc.",GOODFELLOW BROS INC.,CONTRACTOR,2080880.0,2080880.0,38,0,0,2080880.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX_2016D015 Basin 7.xlsx,Bid Tabulation,2016D015,2017-7254,2017-05-25,Bid Tabulation,BASE,,James W. Fowler Co.,JAMES W FOWLER CO.,CONTRACTOR,2182288.0,2182288.0,38,0,0,2182288.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
