source_file,source_sheet,project_ean,solicitation_no,letting_date,bid_schedule_name,bid_schedule_type,bid_schedule_code,bidder_name_raw,bidder_name_canonical,bidder_type,sum_line_total_price,sum_line_total_price_calc,line_item_count,missing_total_price_count,missing_unit_price_count,schedule_total,delta_total_price,delta_total_price_calc,delta_abs,delta_pct,tolerance_amount_used,tolerance_pct_used,within_tolerance,suspected_root_cause
HIO Runway 13R-31L Bid Tab.xlsx,Bid Tabulation,2019D031,2022-10081,2026-02-02,Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,10235723.8,10235723.8,85,0,0,10235723.8,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
HIO Runway 13R-31L Bid Tab.xlsx,Bid Tabulation,2019D031,2022-10081,2026-02-02,Bid Tabulation,BASE,,"K & E Excavating, Inc.",K & E EXCAVATING INC.,CONTRACTOR,8933240.0,8933240.0,85,0,0,8933240.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
HIO Runway 13R-31L Bid Tab.xlsx,Bid Tabulation,2019D031,2022-10081,2026-02-02,Bid Tabulation,BASE,,Kerr Contractors Oregon LCC,KERR CONTRACTORS OREGON LCC,CONTRACTOR,8574914.0,8574914.0,85,0,0,8574914.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
HIO Runway 13R-31L Bid Tab.xlsx,Bid Tabulation,2019D031,2022-10081,2026-02-02,Bid Tabulation,BASE,,Kodiak Pacific Construction,KODIAK PACIFIC CONSTRUCTION,CONTRACTOR,9791361.5,9791361.5,85,0,0,9791361.5,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
HIO Runway and Taxway Seals Bid Tab.xlsx,Alternate Bid Tabulation,2023D018,2024-10519,2026-01-26,Alternate Bid Tabulation,ALTERNATE,ALT_BID,American Road Maintenance,AMERICAN ROAD MAINTENANCE,CONTRACTOR,34490.0,34490.0,9,0,3,34490.0,0.0,0.0,0.0,0.0,5.0,0.02,True,PLACEHOLDERS
HIO Runway and Taxway Seals Bid Tab.xlsx,Alternate Bid Tabulation,2023D018,2024-10519,2026-01-26,Alternate Bid Tabulation,ALTERNATE,ALT_BID,"C.R. Contracting, LLC",C.R CONTRACTING LLC,CONTRACTOR,39806.0,39806.0,9,0,3,39806.0,0.0,0.0,0.0,0.0,5.0,0.02,True,PLACEHOLDERS
HIO Runway and Taxway Seals Bid Tab.xlsx,Alternate Bid Tabulation,2023D018,2024-10519,2026-01-26,Alternate Bid Tabulation,ALTERNATE,ALT_BID,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,59873.0,59873.0,9,0,3,59873.0,0.0,0.0,0.0,0.0,5.0,0.02,True,PLACEHOLDERS
HIO Runway and Taxway Seals Bid Tab.xlsx,Alternate Bid Tabulation,2023D018,2024-10519,2026-01-26,Alternate Bid Tabulation,ALTERNATE,ALT_BID,"Specialized Pavement Marking, LLC",SPECIALIZED PAVEMENT MARKING LLC,CONTRACTOR,52801.2,52801.2,9,0,3,52801.2,0.0,0.0,0.0,0.0,5.0,0.02,True,PLACEHOLDERS
HIO Runway and Taxway Seals Bid Tab.xlsx,Base Bid Tabulation,2023D018,2024-10519,2026-01-26,Base Bid Tabulation,BASE,,American Road Maintenance,AMERICAN ROAD MAINTENANCE,CONTRACTOR,911020.0,911020.0,9,0,0,911020.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
HIO Runway and Taxway Seals Bid Tab.xlsx,Base Bid Tabulation,2023D018,2024-10519,2026-01-26,Base Bid Tabulation,BASE,,"C.R. Contracting, LLC",C.R CONTRACTING LLC,CONTRACTOR,1236869.0,1236869.0,9,0,0,1236869.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
HIO Runway and Taxway Seals Bid Tab.xlsx,Base Bid Tabulation,2023D018,2024-10519,2026-01-26,Base Bid Tabulation,BASE,,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,1490473.0,1490473.0,9,0,0,1490473.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
HIO Runway and Taxway Seals Bid Tab.xlsx,Base Bid Tabulation,2023D018,2024-10519,2026-01-26,Base Bid Tabulation,BASE,,"Specialized Pavement Marking, LLC",SPECIALIZED PAVEMENT MARKING LLC,CONTRACTOR,1314785.0,1314785.0,9,0,0,1314785.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX Lift Station Bid Tab.xlsx,Alternate Bid Tabulation,2023D025,2024-10566,2025-03-10,Alternate Bid Tabulation,ALTERNATE,ALT_BID,Engineer's Estimate,ENGINEER'S ESTIMATE,ENGINEERS_ESTIMATE,868647.5,868647.5,25,0,0,868647.5,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
PDX Lift Station Bid Tab.xlsx,Alternate Bid Tabulation,2023D025,2024-10566,2025-03-10,Alternate Bid Tabulation,ALTERNATE,ALT_BID,"MJ Hughes Construction, Inc.",MJ HUGHES CONSTRUCTION INC.,CONTRACTOR,924860.0,924860.0,25,0,0,924860.0,0.0,0.0,0.0,0.0,5.0,0.02,True,OTHER
