item_group,item_subgroup,item_label,pop_wbs_code,wbs_description,wbs_rule_id,count_of_item_description_raw
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Contaminated Material Excavation and Disposal (Section 026100),,REVIEW_NEEDED,fallback_review,7
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Remove Bollard - Embedded (Section 024113),,REVIEW_NEEDED,fallback_review,3
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Building Demolition (Section 024113),,REVIEW_NEEDED,fallback_review,2
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Building Slab and Foundation Removal (Section 024113),,REVIEW_NEEDED,fallback_review,2
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Site Demolition,,REVIEW_NEEDED,fallback_review,2
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Aggregate Removal and Disposal,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Building Removal and Backfill,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Concrete Pad Demolition and Repair,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Concrete Removal and Backfill,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Concrete Wall Removal,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Concrete Winch House Removal and Backfill,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Contaminated Material Excavation and Disposal - Wasco Landfill (Section 026100),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Contaminated Material Excavationand Disposal (Section 026100),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Existing Landscape Removal (Section 024113),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Fence Fabric Removal,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,General Demolition,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Guard Rail Removal and Replacement,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Lead Paint Chip Removal,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Relocate Storage Shelter (Section 024113),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Removal of Existing or Temporary Fence (Section 024113),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Removal of Miscellaneous Site Structures (Section 024113),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Remove Bollard - Bolt Down (Section 024113),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Remove Electrical Chargers (Section 024113),,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Remove and Reinstall Chain Link Fence,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Remove and Replace Compression Seal,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Remove and Replace Embedded Anodes,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,Surfacings Removal,,REVIEW_NEEDED,fallback_review,1
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,"Utility Removal, Relocation, and Backfill",,REVIEW_NEEDED,fallback_review,1
ELECTRICAL,AIRFIELD_LIGHTING,Counterpoise Ground Rod (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,6
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Taxiway Centerline Light to New Finish Elevation (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,5
ELECTRICAL,AIRFIELD_LIGHTING,"No. 8 AWG, 5kV, L-824, Type C Cable, Installed in Trench, Duct Bank or Conduit (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,4
ELECTRICAL,AIRFIELD_LIGHTING,PVC Conduit (Power),1.5.D50.260500,Electrical Distribution,electrical_distribution,4
ELECTRICAL,AIRFIELD_LIGHTING,Ground Rod for Counterpoise (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,3
ELECTRICAL,AIRFIELD_LIGHTING,Install Elevated Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,3
ELECTRICAL,AIRFIELD_LIGHTING,No. 6 AWG Solid Wire for Counterpoise (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,3
ELECTRICAL,AIRFIELD_LIGHTING,"No. 6 AWG, Solid, Bare Counterpoise Wire (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,3
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Base Can to New Finish Elevation (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,2
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing In-Pavement Runway Edge Light (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,2
ELECTRICAL,AIRFIELD_LIGHTING,GRSC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,GRSC Encased in P-610 in Existing AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,Heat Shrink for 5kV L-823 Primary Connector (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,2
ELECTRICAL,AIRFIELD_LIGHTING,IMC in Existing AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Cover Plate on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,2
ELECTRICAL,AIRFIELD_LIGHTING,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,2
ELECTRICAL,AIRFIELD_LIGHTING,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,2
ELECTRICAL,AIRFIELD_LIGHTING,"Install Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,2
ELECTRICAL,AIRFIELD_LIGHTING,"Install Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,2
ELECTRICAL,AIRFIELD_LIGHTING,"No. 6 AWG, Solid, Bare Counterpoise Wire, Installed in Trench, Above the Duct Bank or Conduit, Including Connections/Terminations (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,2
ELECTRICAL,AIRFIELD_LIGHTING,No. 8 AWG 5kV Cable (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,2
ELECTRICAL,AIRFIELD_LIGHTING,"No. 8 AWG, 5 kV, L-824, Type C Cable Installed in Trench, Duct Bank or Conduit (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,2
ELECTRICAL,AIRFIELD_LIGHTING,PVC Direct Buried (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,PVC Direct Buried in Grass (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,PVC Encased in Concrete in New Structural AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,PVC Encased in P-610 in Existing AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,PVC in Existing AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,PVC in Existing Structural AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,2
ELECTRICAL,AIRFIELD_LIGHTING,"#6 AWG, 5kV Cable (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,1 1/2-Inch GRSC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Elevated Runway Threshold Light (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing In-Pavement Runway Guard/Stop Bar Light to New Finish Elevation (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing In-Pavement Stop Bar Light (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Runway Edge Light to New Finish Elevation (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Runway/Taxiway Elevated Edge Lightwith CFTransformer (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Taxiway Centerline Light (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Adjust Existing Taxiway Edge Light to New Finish Elevation (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Demarcation Panel with Receptacles, Heater, and T-Stat",1.5.D50.260500,Electrical Distribution,electrical_distribution,1
ELECTRICAL,AIRFIELD_LIGHTING,Fender Panel Rehabilitation,1.5.D50.260500,Electrical Distribution,electrical_distribution,1
ELECTRICAL,AIRFIELD_LIGHTING,Ground Rodfor Counterpoise (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,Hollow Core Deck Panel Replacement,1.5.D50.260500,Electrical Distribution,electrical_distribution,1
ELECTRICAL,AIRFIELD_LIGHTING,IMC under New AC Shoulder (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,InchPVCinGrassorinNewACshoulder (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,InchPVCinNewACStructuralPavement (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,Install CF 150-Watt (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install Elevated Red Stop Bar Light on Existing Base Can with CF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install Elevated Red Stop Bar Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install Elevated Red Stop Bar Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install Elevated Runway Guard Light on Existing Base Can with CF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install Elevated Runway Guard Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install Elevated Runway Guard Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install In-Pavement Runway Guard Light on Existing Base Can with CF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install In-Pavement Runway Guard/Stop Bar Light on Existing Base Can with CF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install In-Pavement Runway Guard/Stop Bar Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install PF Base Can, PF Extension, PF Flange Ring and PF Cover Plate (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Cover Plate on Existing Base Can (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Cover Plate on Existing Base Can with PF Bolts (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Dual Stop Bar Light on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Dual Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Dual Stop Bar Light with Two CF Transformers on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Elevated Runway Edge Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
