item_group,item_subgroup,item_label,pop_wbs_code,wbs_description,wbs_rule_id,count_of_item_description_raw
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Elevated Runway End Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Elevated Runway Guard Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install PF Elevated Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer in Existing AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Elevated Taxiway Edge Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF In-Pavement Red Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF In-Pavement Runway Edge Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF In-Pavement Runway Guard Light on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF In-Pavement Runway Guard Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF In-Pavement Runway Threshold Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install PF In-Pavement Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF LED Elevated Runway Edge Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF LED Elevated Runway End/Threshold Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF LED In-Pavement Runway Edge Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Microwave Sensor with CF Transformer in Existing Base Can (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Red Elevated Stop Bar Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Red Elevated Stop Bar Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Runway Centerline Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Taxiway Centerline Light on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Taxiway Centerline Light with CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Taxiway Centerline Light with PF Remote and CF Transformer on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PF Taxiway Edge Reflector (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PFElevated Taxiway Edge Lighton Existing Base Canwith CFTransformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PFLEDElevated Runway End/Threshold Lightwith PFBase Can (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PFLEDElevated Runway Guard Lightwith PFBase Can (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PFLEDRunway Edge Lightwith PFBase Can (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Install PFTaxiway Edge Lightwith PFBase Can (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,InstallPF (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Joint Repair at Panel Step,1.5.D50.260500,Electrical Distribution,electrical_distribution,1
ELECTRICAL,AIRFIELD_LIGHTING,Lighting,1.5.D50.260500,Electrical Distribution,electrical_distribution,1
ELECTRICAL,AIRFIELD_LIGHTING,"No. 10 AWG, 600V, Cable Installed in Conduit (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,"No. 12 AWG, 600V, Cable, Installed in Conduit (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,No. 2/0 AWG (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,No. 4 GND Conductor (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,"No. 6 AWG, Solid, Bare Copper Counterpoise Wire, Installed above the Duct Bank or Conduit, Including Connections/Terminations (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,"No. 8 AWG, 5kV, L-824, Type C Cable (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,"No.6AWG,Solid,Bare Counterpoise Wire,Installed Abovethe Duct Bankor Conduit (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,"No.8AWG,5k V,L-824,Type CCable Installedin Trench,Duct Bank (Item L-108)",1.5.D50.260519,Conductors,electrical_conductors_l108,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC Conduit (Comm),1.5.D50.260500,Electrical Distribution,electrical_distribution,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC Direct Buried in Grass or under New AC Shoulder (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC Encased in CLSM in New AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC in CLSM (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC in Existing ACP Shoulder (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC in New Shoulder and Direct Buried (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,PVC under New AC Shoulder (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall Elevated LED Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall Elevated Runway End Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall Elevated Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in Existing AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall In-Pavement Stop Bar Light on Existing Base Can with Existing Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall In-Pavement Taxiway Centerline Light on Existing Base Can with Existing Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall In-Pavement Taxiway Edge Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall LED Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall LED Taxiway Centerline Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall Taxiway Centerline Light on CF Base Can, CF Extenstion, CF Flange Ring, and CF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall Taxiway Centerline Light on Existing Base Can w/ Existing Transformer in Existing AC (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall Taxiway Centerline Light on Existing Base Can w/ PF Extension, PF Flange Ring, and Existing Transformer in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall Taxiway Centerline Light on Existing Base Can with CF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall Taxiway Centerline Light on Existing Base Can with PF Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,"Reinstall Taxiway Centerline Light on PF Base Can, PF Extension, PF Flange Ring, and PF Transformer (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall Taxiway Edge Light on Existing Base Can with Existing Isolation Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_LIGHTING,Reinstall Taxiway Edge Light on Existing Base Can with Existing Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting,1
ELECTRICAL,AIRFIELD_SIGNAGE,Signage,1.5.D50.260500,Electrical Distribution,electrical_distribution,3
ELECTRICAL,AIRFIELD_SIGNAGE,Sign E6-6 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,2
ELECTRICAL,AIRFIELD_SIGNAGE,Sign E6-9 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,2
ELECTRICAL,AIRFIELD_SIGNAGE,Sign G-3 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,2
ELECTRICAL,AIRFIELD_SIGNAGE,Sign (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,1
ELECTRICAL,AIRFIELD_SIGNAGE,Sign A1-1 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,1
ELECTRICAL,AIRFIELD_SIGNAGE,Sign A4-13 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,1
ELECTRICAL,AIRFIELD_SIGNAGE,Sign A4-6 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,1
ELECTRICAL,AIRFIELD_SIGNAGE,Sign A4-7 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,1
ELECTRICAL,AIRFIELD_SIGNAGE,Sign A4-9 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage,1
