item_id,project_id,line_no,specification,alternate_specification,pay_item_description,supplemental_description,item_description_raw,item,quantity,unit_norm,item_group,item_subgroup,grouping_rule_id
22,1,0022,UNCLASSIFIED,,Modified Concrete Curb and Gutter,,Modified Concrete Curb and Gutter,UNCLASSIFIED - Modified Concrete Curb and Gutter,36.0,LF,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
23,1,0023,UNCLASSIFIED,,Sidewalk,,Sidewalk,UNCLASSIFIED - Sidewalk,500.0,SF,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
24,1,0024,UNCLASSIFIED,,Aggregate Base Course,,Aggregate Base Course,UNCLASSIFIED - Aggregate Base Course,175.0,TON,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
25,1,0025,UNCLASSIFIED,,Portland Cement Concrete Pavement,9-Inch,Portland Cement Concrete Pavement (9-Inch),UNCLASSIFIED - Portland Cement Concrete Pavement,175.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
26,1,0026,UNCLASSIFIED,,Pavement Marking,,Pavement Marking,UNCLASSIFIED - Pavement Marking,1.0,LS,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
27,1,0027,UNCLASSIFIED,,Guard Rail Removal and Replacement,,Guard Rail Removal and Replacement,UNCLASSIFIED - Guard Rail Removal and Replacement,72.0,LF,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,kw_demo_remediation
28,1,0028,UNCLASSIFIED,,Area Seeding,,Area Seeding,UNCLASSIFIED - Area Seeding,1.0,LS,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
29,1,0029,UNCLASSIFIED,,Stormwater Flow Through Pollution Reduction Facility,,Stormwater Flow Through Pollution Reduction Facility,UNCLASSIFIED - Stormwater Flow Through Pollution Reduction Facility,1.0,LS,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
30,1,0030,UNCLASSIFIED,,Landscape Restoration,,Landscape Restoration,UNCLASSIFIED - Landscape Restoration,1.0,LS,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
31,2,0001,012200,,"Mobilization, Cleanup, and Demobilization",,"Mobilization, Cleanup, and Demobilization (Section 012200)","012200 - Mobilization, Cleanup, and Demobilization",1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
32,2,0002,012200,,Sweeper,,Sweeper (Section 012200),012200 - Sweeper,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
33,2,0003,012200,,Security Control Monitoring,,Security Control Monitoring (Section 012200),012200 - Security Control Monitoring,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
34,2,0004,012200,,Work Zone and Traffic Control,,Work Zone and Traffic Control (Section 012200),012200 - Work Zone and Traffic Control,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
35,2,0005,012200,,Escort,,Escort (Section 012200),012200 - Escort,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
36,2,0006,012200,,Delineators,,Delineators (Section 012200),012200 - Delineators,5.0,EACH,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
37,2,0006,015713,,Construction Access,,Construction Access (Section 015713),015713 - Construction Access,2.0,EACH,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
38,2,0007,015713,,Inlet Protection,,Inlet Protection (Section 015713),015713 - Inlet Protection,86.0,EACH,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
39,2,0007,015713,,Inlet Protection,,Inlet Protection (Section 015713),015713 - Inlet Protection,15.0,EACH,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
40,2,0008,015713,,Jet Blast Control Material,,Jet Blast Control Material (Section 015713),015713 - Jet Blast Control Material,0.2,ACRE,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
41,2,0008,UNCLASSIFIED,,Construction Survey (Item GP-50),,Construction Survey (Item GP-50),UNCLASSIFIED - Construction Survey (Item GP-50),1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,kw_temp_traffic
42,2,0009,P-101,,Joint and Crack Repair,,Joint and Crack Repair (Item P-101),P-101 - Joint and Crack Repair,1000.0,LF,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
43,2,0009,UNCLASSIFIED,,Construction Survey (Item GP-50),,Construction Survey (Item GP-50),UNCLASSIFIED - Construction Survey (Item GP-50),1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,kw_temp_traffic
44,2,0010,P-101,,Asphalt Pavement Removal,3-Inch Depth,Asphalt Pavement Removal - 3-Inch Depth (Item P-101),P-101 - Asphalt Pavement Removal,100.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
45,2,0010,P-101,,Cold Milling,2-Inch Maximum Depth,Cold Milling - 2-Inch Maximum Depth (Item P-101),P-101 - Cold Milling,58100.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
46,2,0011,P-101,,Asphalt Pavement Removal,8-Inch Depth,Asphalt Pavement Removal - 8-Inch Depth (Item P-101),P-101 - Asphalt Pavement Removal,1700.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
47,2,0011,P-101,,Cold Milling,4.5-Inch Maximum Depth,Cold Milling - 4.5-Inch Maximum Depth (Item P-101),P-101 - Cold Milling,30400.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
48,2,0012,P-101,,Cold Milling,2-Inch Maximum Depth,Cold Milling - 2-Inch Maximum Depth (Item P-101),P-101 - Cold Milling,550.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
49,2,0012,P-156,,Silt Fence,,Silt Fence (Item P-156),P-156 - Silt Fence,4200.0,LF,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
50,2,0013,P-401,,Hot Mix Asphalt (HMA) Bituminous Surface Course,,Hot Mix Asphalt (HMA) Bituminous Surface Course (Item P-401),P-401 - Hot Mix Asphalt (HMA) Bituminous Surface Course,15000.0,TON,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
51,2,0013,UNCLASSIFIED,,Borrow Excavation (P-152),,Borrow Excavation (P-152),UNCLASSIFIED - Borrow Excavation (P-152),14500.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
52,2,0014,P-152,,Unsuitable Excavation,,Unsuitable Excavation (Item P-152),P-152 - Unsuitable Excavation,250.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
53,2,0014,P-403,,Hot Mix Asphalt (HMA) Base Course,,Hot Mix Asphalt (HMA) Base Course (Item P-403),P-403 - Hot Mix Asphalt (HMA) Base Course,8500.0,TON,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
54,2,0015,P-152,,Geotextile,,Geotextile (Item P-152),P-152 - Geotextile,1600.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
55,2,0015,P-603,,Bituminous Tack Coat,,Bituminous Tack Coat (Item P-603),P-603 - Bituminous Tack Coat,9500.0,GAL,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
56,2,0016,P-153,,Controlled Low - Strength Material (CLSM),,Controlled Low-Strength Material (CLSM) (Item P-153),P-153 - Controlled Low - Strength Material (CLSM),750.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
57,2,0016,P-605,,Joint Sealing Filler,,Joint Sealing Filler (Item P-605),P-605 - Joint Sealing Filler,25.0,GAL,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
58,2,0017,P-154,,Subbase Course,,Subbase Course (Item P-154),P-154 - Subbase Course,150.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
59,2,0017,P-606,,Adhesive Compound,,Adhesive Compound (Item P-606),P-606 - Adhesive Compound,60.0,GAL,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
60,2,0018,P-156,,Silt Fence,,Silt Fence (Item P-156),P-156 - Silt Fence,2300.0,LF,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
61,2,0018,P-608,,Asphalt Surface Treatment,,Asphalt Surface Treatment (Item P-608),P-608 - Asphalt Surface Treatment,19600.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
62,2,0019,P-209,,Crushed Aggregate Base Course,,Crushed Aggregate Base Course (Item P-209),P-209 - Crushed Aggregate Base Course,650.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
63,2,0019,P-608,,Runway Friction Testing,,Runway Friction Testing (Item P-608),P-608 - Runway Friction Testing,1.0,LS,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
64,2,0020,P-403,,Hot Mix Asphalt (HMA) Pavement Base Course,,Hot Mix Asphalt (HMA) Pavement Base Course (Item P-403),P-403 - Hot Mix Asphalt (HMA) Pavement Base Course,750.0,TON,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
65,2,0020,P-610,,Structural Portland Cement Concrete (PCC),,Structural Portland Cement Concrete (PCC) (Item P-610),P-610 - Structural Portland Cement Concrete (PCC),30.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
66,2,0021,P-603,,Bituminous Tack Coat,,Bituminous Tack Coat (Item P-603),P-603 - Bituminous Tack Coat,140.0,GAL,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
67,2,0021,P-610,,Steel Reinforcement,,Steel Reinforcement (Item P-610),P-610 - Steel Reinforcement,400.0,LB,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
68,2,0022,P-610,,Steel Reinforcement,,Steel Reinforcement (Item P-610),P-610 - Steel Reinforcement,1830.0,LB,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
69,2,0022,P-620,,Runway Marking,,Runway Marking (Item P-620),P-620 - Runway Marking,92000.0,SF,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
70,2,0023,P-620,,Reflective Media,,Reflective Media (Item P-620),P-620 - Reflective Media,5600.0,LB,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
71,2,0023,P-620,,Runway Marking,,Runway Marking (Item P-620),P-620 - Runway Marking,750.0,SF,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
72,2,0024,P-620,,Phasing Pavement Marking,,Phasing Pavement Marking (Item P-620),P-620 - Phasing Pavement Marking,7250.0,SF,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
73,2,0024,P-620,,Reflective Media,,Reflective Media (Item P-620),P-620 - Reflective Media,50.0,LB,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
74,2,0025,D-701,,STS Pipe,8-Inch,8-Inch STS Pipe (Item D-701),D-701 - STS Pipe,439.0,LF,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
75,2,0025,P-621,,Grooving,,Grooving (Item P-621),P-621 - Grooving,78600.0,SY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
76,2,0026,D-701,,STS Pipe,12-Inch,12-Inch STS Pipe (Item D-701),D-701 - STS Pipe,749.0,LF,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
77,2,0026,L-108,,No. 8 AWG 5kV Cable,,No. 8 AWG 5kV Cable (Item L-108),L-108 - No. 8 AWG 5kV Cable,5000.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
78,2,0027,D-701,,STS Pipe,48-Inch,48-Inch STS Pipe (Item D-701),D-701 - STS Pipe,2336.0,LF,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
79,2,0027,L-108,,No. 6 AWG Solid Wire for Counterpoise,,No. 6 AWG Solid Wire for Counterpoise (Item L-108),L-108 - No. 6 AWG Solid Wire for Counterpoise,1060.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
80,2,0028,D-701,,RCP Pipe,12-Inch,12-Inch RCP Pipe (Item D-701),D-701 - RCP Pipe,52.0,LF,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
81,2,0028,L-108,,Heat Shrink for 5kV L-823 Primary Connector,,Heat Shrink for 5kV L-823 Primary Connector (Item L-108),L-108 - Heat Shrink for 5kV L-823 Primary Connector,485.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
82,2,0029,D-701,,RCP Pipe,24-Inch,24-Inch RCP Pipe (Item D-701),D-701 - RCP Pipe,58.0,LF,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
83,2,0029,L-108,,Ground Rod for Counterpoise,,Ground Rod for Counterpoise (Item L-108),L-108 - Ground Rod for Counterpoise,6.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
84,2,0030,D-751,,"Manhole, Type B",48-Inch,"48-Inch Manhole, Type B (Item D-751)","D-751 - Manhole, Type B",1.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
85,2,0030,L-110,,IMC in Existing AC,1-Inch,1-Inch IMC in Existing AC (Item L-110),L-110 - IMC in Existing AC,25.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
86,2,0031,D-751,,"Manhole, Ditch Inlet",48-Inch,"48-Inch Manhole, Ditch Inlet (Item D-751)","D-751 - Manhole, Ditch Inlet",1.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
87,2,0031,L-110,,PVC Direct Buried,2-Inch,2-Inch PVC Direct Buried (Item L-110),L-110 - PVC Direct Buried,65.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
88,2,0032,D-751,,"Manhole, Type A",72-Inch,"72-Inch Manhole, Type A (Item D-751)","D-751 - Manhole, Type A",6.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
89,2,0032,L-110,,PVC in Existing AC,2-Inch,2-Inch PVC in Existing AC (Item L-110),L-110 - PVC in Existing AC,1190.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
90,2,0033,026100,,Contaminated Material Excavation and Disposal,,Contaminated Material Excavation and Disposal (Section 026100),026100 - Contaminated Material Excavation and Disposal,250.0,TON,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,spec_demo_remediation
91,2,0033,D-751,,"Manhole, Type A",84-Inch,"84-Inch Manhole, Type A (Item D-751)","D-751 - Manhole, Type A",1.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
92,2,0034,260500,,General Electrical Removal,,General Electrical Removal (Section 260500),260500 - General Electrical Removal,1.0,LS,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
93,2,0034,D-751,,Catch Basin,,Catch Basin (Item D-751),D-751 - Catch Basin,4.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
94,2,0035,260500,,Temporary Circuit Connection,,Temporary Circuit Connection (Section 260500),260500 - Temporary Circuit Connection,1.0,LS,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
95,2,0035,T-901,,Seeding,,Seeding (Item T-901),T-901 - Seeding,17.3,ACRE,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,spec_landscape
96,2,0036,260553,,Diameter Brass Marker,3-Inch,3-Inch Diameter Brass Marker (Section 260553),260553 - Diameter Brass Marker,2.0,EACH,ELECTRICAL,POWER_DISTRIBUTION,spec_power_distribution
97,2,0036,312300,,"Removal of Existing Storm Pipe, Manholes, and Inlets",,"Removal of Existing Storm Pipe, Manholes, and Inlets (Section 312300)","312300 - Removal of Existing Storm Pipe, Manholes, and Inlets",1.0,LS,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
98,2,0037,312300,,Connection to Existing Storm Drainage System,,Connection to Existing Storm Drainage System (Section 312300),312300 - Connection to Existing Storm Drainage System,17.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
99,2,0037,344300,,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC",,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)","344300 - Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC",21.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
100,2,0038,312300,,Existing Manhole Adjustment to Grade,,Existing Manhole Adjustment to Grade (Section 312300),312300 - Existing Manhole Adjustment to Grade,1.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
101,2,0038,344300,,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer,,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),344300 - Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer,9.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
102,2,0039,312300,,Existing Catch Basin Adjustment to Grade,,Existing Catch Basin Adjustment to Grade (Section 312300),312300 - Existing Catch Basin Adjustment to Grade,1.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
103,2,0039,344300,,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC",,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC (Section 344300)","344300 - Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC",15.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
104,2,0040,312300,,Adjustment of Existing Structures (H-20 Rated Vaults),,Adjustment of Existing Structures (H-20 Rated Vaults) (Section 312300),312300 - Adjustment of Existing Structures (H-20 Rated Vaults),9.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
105,2,0040,344300,,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC",,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)","344300 - Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC",2.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
106,2,0041,312300,,Adjustment of Existing Structures (229 Kip Rated Vaults),,Adjustment of Existing Structures (229 Kip Rated Vaults) (Section 312300),312300 - Adjustment of Existing Structures (229 Kip Rated Vaults),1.0,EACH,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,spec_drainage_structures
107,2,0041,344300,,Install PF Cover Plate on Existing Light Base,,Install PF Cover Plate on Existing Light Base (Section 344300),344300 - Install PF Cover Plate on Existing Light Base,21.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
108,2,0042,334100,,DIP (Force Main),12-Inch,12-Inch DIP (Force Main) (Section 334100),334100 - DIP (Force Main),91.0,LF,PIPING_DRAINAGE,PIPING_UTILITY,spec_piping_utility
109,2,0042,344301,,Adjust Existing Elevated Runway Threshold/Edge Light,,Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),344301 - Adjust Existing Elevated Runway Threshold/Edge Light,21.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
110,2,0043,334100,,DIP (Force Main),30-Inch,30-Inch DIP (Force Main) (Section 334100),334100 - DIP (Force Main),77.0,LF,PIPING_DRAINAGE,PIPING_UTILITY,spec_piping_utility
111,2,0043,344301,,Adjust Existing In-Pavement Runway Edge Light,,Adjust Existing In-Pavement Runway Edge Light (Section 344301),344301 - Adjust Existing In-Pavement Runway Edge Light,8.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
112,2,0044,334100,,Riprap,,Riprap (Section 334100),334100 - Riprap,50.0,CY,PIPING_DRAINAGE,PIPING_UTILITY,spec_piping_utility
113,2,0044,344302,,Sign E6-6,,Sign E6-6 (Section 344302),344302 - Sign E6-6,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
114,2,0045,334213,,Pump Station,,Pump Station (Section 334213),334213 - Pump Station,1.0,LS,PIPING_DRAINAGE,PIPING_UTILITY,spec_piping_utility
115,2,0045,344302,,Sign E6-9,,Sign E6-9 (Section 344302),344302 - Sign E6-9,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
116,2,0046,334213,,Pump Station Electrical Equipment Installation,,Pump Station Electrical Equipment Installation (Section 334213),334213 - Pump Station Electrical Equipment Installation,1.0,LS,PIPING_DRAINAGE,PIPING_UTILITY,spec_piping_utility
117,2,0046,344302,,Sign G-3,,Sign G-3 (Section 344302),344302 - Sign G-3,1.0,LS,ELECTRICAL,AIRFIELD_SIGNAGE,spec_airfield_signage
118,2,0047,P-610,,Structural Portland Cement Concrete (PCC),,Structural Portland Cement Concrete (PCC) (Item P-610),P-610 - Structural Portland Cement Concrete (PCC),85.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,spec_paving_earthwork
119,2,0048,L-108,,No. 6 AWG Solid Wire for Counterpoise,,No. 6 AWG Solid Wire for Counterpoise (Item L-108),L-108 - No. 6 AWG Solid Wire for Counterpoise,310.0,LF,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
120,2,0049,L-108,,Ground Rod for Counterpoise,,Ground Rod for Counterpoise (Item L-108),L-108 - Ground Rod for Counterpoise,8.0,EACH,ELECTRICAL,AIRFIELD_LIGHTING,spec_airfield_lighting
121,3,#REF!,UNCLASSIFIED,,#REF!,,#REF!,UNCLASSIFIED - #REF!,,#REF!,OTHER_REVIEW,UNCLASSIFIED_REVIEW,fallback_unmapped
122,3,0001,012200,,"Mobilization, Cleanup, and Demobilization",,"Mobilization, Cleanup, and Demobilization (Section 012200)","012200 - Mobilization, Cleanup, and Demobilization",1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,spec_temp_traffic
