item_id,project_id,line_no,specification,alternate_specification,pay_item_description,supplemental_description,item_description_raw,item,quantity,unit_norm,item_group,item_subgroup,grouping_rule_id
1,1,0001,UNCLASSIFIED,,"Mobilization, Surveying, Cleanup, and Demobilization",,"Mobilization, Surveying, Cleanup, and Demobilization","UNCLASSIFIED - Mobilization, Surveying, Cleanup, and Demobilization",1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,kw_temp_traffic
2,1,0002,UNCLASSIFIED,,Work Zone Traffic Control,,Work Zone Traffic Control,UNCLASSIFIED - Work Zone Traffic Control,1.0,LS,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,kw_temp_traffic
3,1,0003,UNCLASSIFIED,,"Temporary Erosion, Sediment, and Pollution Control",,"Temporary Erosion, Sediment, and Pollution Control","UNCLASSIFIED - Temporary Erosion, Sediment, and Pollution Control",1.0,LS,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
4,1,0004,UNCLASSIFIED,,Site Demolition,,Site Demolition,UNCLASSIFIED - Site Demolition,1.0,LS,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,kw_demo_remediation
5,1,0005,UNCLASSIFIED,,Clearing and Grubbing,,Clearing and Grubbing,UNCLASSIFIED - Clearing and Grubbing,1.0,LS,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
6,1,0006,UNCLASSIFIED,,Trench Excavation and General Native Backfill,,Trench Excavation and General Native Backfill,UNCLASSIFIED - Trench Excavation and General Native Backfill,577.0,LF,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
7,1,0007,UNCLASSIFIED,,Trench Excavation and Select Native Backfill,,Trench Excavation and Select Native Backfill,UNCLASSIFIED - Trench Excavation and Select Native Backfill,622.0,LF,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
8,1,0008,UNCLASSIFIED,,Trench Excavation and Select Backfill,,Trench Excavation and Select Backfill,UNCLASSIFIED - Trench Excavation and Select Backfill,48.0,LF,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
9,1,0009,UNCLASSIFIED,,Offsite Haul and Disposal,,Offsite Haul and Disposal,UNCLASSIFIED - Offsite Haul and Disposal,6060.0,CY,OTHER_REVIEW,UNCLASSIFIED_REVIEW,fallback_unmapped
10,1,0010,UNCLASSIFIED,,Contaminated Soil Sediment Excavation and Disposal,,Contaminated Soil Sediment Excavation and Disposal,UNCLASSIFIED - Contaminated Soil Sediment Excavation and Disposal,255.0,TON,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
11,1,0011,UNCLASSIFIED,,Shoring,,Shoring,UNCLASSIFIED - Shoring,1.0,LS,OTHER_REVIEW,UNCLASSIFIED_REVIEW,fallback_unmapped
12,1,0012,UNCLASSIFIED,,Pipe Zone and Bedding Material,,Pipe Zone and Bedding Material,UNCLASSIFIED - Pipe Zone and Bedding Material,2940.0,CY,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
13,1,0013,UNCLASSIFIED,,Trench Stabilization,,Trench Stabilization,UNCLASSIFIED - Trench Stabilization,555.0,CY,ROADWORK_PAVING,PAVING_EARTHWORK,kw_paving_earthwork
14,1,0014,UNCLASSIFIED,,Dewatering,,Dewatering,UNCLASSIFIED - Dewatering,1.0,LS,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,kw_landscape_env
15,1,0015,UNCLASSIFIED,,Sewer Pipe,72-Inch,72-Inch Sewer Pipe,UNCLASSIFIED - Sewer Pipe,1260.0,LF,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
16,1,0016,UNCLASSIFIED,,Manhole,108-Inch,108-Inch Manhole,UNCLASSIFIED - Manhole,1.0,EACH,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
17,1,0017,UNCLASSIFIED,,Manhole,120-Inch,120-Inch Manhole,UNCLASSIFIED - Manhole,1.0,EACH,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
18,1,0018,UNCLASSIFIED,,Subdrains,,Subdrains,UNCLASSIFIED - Subdrains,36.0,LF,OTHER_REVIEW,UNCLASSIFIED_REVIEW,fallback_unmapped
19,1,0019,UNCLASSIFIED,,Inlet (Type PB),,Inlet (Type PB),UNCLASSIFIED - Inlet (Type PB),3.0,EACH,OTHER_REVIEW,UNCLASSIFIED_REVIEW,fallback_unmapped
20,1,0020,UNCLASSIFIED,,McBride Slough Intake Structure,,McBride Slough Intake Structure,UNCLASSIFIED - McBride Slough Intake Structure,1.0,LS,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
21,1,0021,UNCLASSIFIED,,Columbia Slough Outfall Structure,,Columbia Slough Outfall Structure,UNCLASSIFIED - Columbia Slough Outfall Structure,1.0,LS,PIPING_DRAINAGE,PIPING_UTILITY,kw_piping_drainage
