item_id,project_id,line_no,item_group,item_subgroup,specification,pay_item_description,item_description_raw,item_label,pop_wbs_code,wbs_description,wbs_rule_id
34,2,0004,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,012200,Work Zone and Traffic Control,Work Zone and Traffic Control (Section 012200),Work Zone and Traffic Control (Section 012200),1.7.Z10.013500,Safety & Controls,temp_safety_controls
35,2,0005,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,012200,Escort,Escort (Section 012200),Escort (Section 012200),1.7.Z10.013500,Safety & Controls,temp_safety_controls
36,2,0006,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,012200,Delineators,Delineators (Section 012200),Delineators (Section 012200),1.7.Z10.015000,Temporary Facilities,temp_facilities
37,2,0006,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,015713,Construction Access,Construction Access (Section 015713),Construction Access (Section 015713),1.7.Z10.015000,Temporary Facilities,temp_facilities
38,2,0007,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,015713,Inlet Protection,Inlet Protection (Section 015713),Inlet Protection (Section 015713),1.7.Z10.015000,Temporary Facilities,temp_facilities
39,2,0007,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,015713,Inlet Protection,Inlet Protection (Section 015713),Inlet Protection (Section 015713),1.7.Z10.015000,Temporary Facilities,temp_facilities
40,2,0008,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,015713,Jet Blast Control Material,Jet Blast Control Material (Section 015713),Jet Blast Control Material (Section 015713),1.7.Z10.013500,Safety & Controls,temp_safety_controls
41,2,0008,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,UNCLASSIFIED,Construction Survey (Item GP-50),Construction Survey (Item GP-50),Construction Survey (Item GP-50),1.7.Z10.015000,Temporary Facilities,temp_facilities
42,2,0009,ROADWORK_PAVING,PAVING_EARTHWORK,P-101,Joint and Crack Repair,Joint and Crack Repair (Item P-101),Joint and Crack Repair (Item P-101),1.2.G40.321216,Pavement Removal,airfield_pavement_removal
43,2,0009,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,UNCLASSIFIED,Construction Survey (Item GP-50),Construction Survey (Item GP-50),Construction Survey (Item GP-50),1.7.Z10.015000,Temporary Facilities,temp_facilities
44,2,0010,ROADWORK_PAVING,PAVING_EARTHWORK,P-101,Asphalt Pavement Removal,Asphalt Pavement Removal - 3-Inch Depth (Item P-101),Asphalt Pavement Removal (Item P-101),1.2.G40.321216,Pavement Removal,airfield_pavement_removal
45,2,0010,ROADWORK_PAVING,PAVING_EARTHWORK,P-101,Cold Milling,Cold Milling - 2-Inch Maximum Depth (Item P-101),Cold Milling (Item P-101),1.2.G40.321216,Pavement Removal,airfield_pavement_removal
46,2,0011,ROADWORK_PAVING,PAVING_EARTHWORK,P-101,Asphalt Pavement Removal,Asphalt Pavement Removal - 8-Inch Depth (Item P-101),Asphalt Pavement Removal (Item P-101),1.2.G40.321216,Pavement Removal,airfield_pavement_removal
47,2,0011,ROADWORK_PAVING,PAVING_EARTHWORK,P-101,Cold Milling,Cold Milling - 4.5-Inch Maximum Depth (Item P-101),Cold Milling (Item P-101),1.2.G40.321216,Pavement Removal,airfield_pavement_removal
48,2,0012,ROADWORK_PAVING,PAVING_EARTHWORK,P-101,Cold Milling,Cold Milling - 2-Inch Maximum Depth (Item P-101),Cold Milling (Item P-101),1.2.G40.321216,Pavement Removal,airfield_pavement_removal
49,2,0012,ROADWORK_PAVING,PAVING_EARTHWORK,P-156,Silt Fence,Silt Fence (Item P-156),Silt Fence (Item P-156),1.3.G20.321000,Aggregate Base,site_aggregate_base
50,2,0013,ROADWORK_PAVING,PAVING_EARTHWORK,P-401,Hot Mix Asphalt (HMA) Bituminous Surface Course,Hot Mix Asphalt (HMA) Bituminous Surface Course (Item P-401),Hot Mix Asphalt (HMA) Bituminous Surface Course (Item P-401),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
51,2,0013,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Borrow Excavation (P-152),Borrow Excavation (P-152),Borrow Excavation (P-152),1.3.G20.311000,Earthwork,site_earthwork_keywords
52,2,0014,ROADWORK_PAVING,PAVING_EARTHWORK,P-152,Unsuitable Excavation,Unsuitable Excavation (Item P-152),Unsuitable Excavation (Item P-152),1.3.G20.311000,Earthwork,site_earthwork
53,2,0014,ROADWORK_PAVING,PAVING_EARTHWORK,P-403,Hot Mix Asphalt (HMA) Base Course,Hot Mix Asphalt (HMA) Base Course (Item P-403),Hot Mix Asphalt (HMA) Base Course (Item P-403),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
54,2,0015,ROADWORK_PAVING,PAVING_EARTHWORK,P-152,Geotextile,Geotextile (Item P-152),Geotextile (Item P-152),1.3.G20.311000,Earthwork,site_earthwork
55,2,0015,ROADWORK_PAVING,PAVING_EARTHWORK,P-603,Bituminous Tack Coat,Bituminous Tack Coat (Item P-603),Bituminous Tack Coat (Item P-603),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
56,2,0016,ROADWORK_PAVING,PAVING_EARTHWORK,P-153,Controlled Low - Strength Material (CLSM),Controlled Low-Strength Material (CLSM) (Item P-153),Controlled Low - Strength Material (CLSM) (Item P-153),1.3.G20.311000,Earthwork,site_earthwork
57,2,0016,ROADWORK_PAVING,PAVING_EARTHWORK,P-605,Joint Sealing Filler,Joint Sealing Filler (Item P-605),Joint Sealing Filler (Item P-605),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
58,2,0017,ROADWORK_PAVING,PAVING_EARTHWORK,P-154,Subbase Course,Subbase Course (Item P-154),Subbase Course (Item P-154),1.3.G20.321000,Aggregate Base,site_aggregate_base
59,2,0017,ROADWORK_PAVING,PAVING_EARTHWORK,P-606,Adhesive Compound,Adhesive Compound (Item P-606),Adhesive Compound (Item P-606),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
60,2,0018,ROADWORK_PAVING,PAVING_EARTHWORK,P-156,Silt Fence,Silt Fence (Item P-156),Silt Fence (Item P-156),1.3.G20.321000,Aggregate Base,site_aggregate_base
61,2,0018,ROADWORK_PAVING,PAVING_EARTHWORK,P-608,Asphalt Surface Treatment,Asphalt Surface Treatment (Item P-608),Asphalt Surface Treatment (Item P-608),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
62,2,0019,ROADWORK_PAVING,PAVING_EARTHWORK,P-209,Crushed Aggregate Base Course,Crushed Aggregate Base Course (Item P-209),Crushed Aggregate Base Course (Item P-209),1.3.G20.321000,Aggregate Base,site_aggregate_base
63,2,0019,ROADWORK_PAVING,PAVING_EARTHWORK,P-608,Runway Friction Testing,Runway Friction Testing (Item P-608),Runway Friction Testing (Item P-608),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
64,2,0020,ROADWORK_PAVING,PAVING_EARTHWORK,P-403,Hot Mix Asphalt (HMA) Pavement Base Course,Hot Mix Asphalt (HMA) Pavement Base Course (Item P-403),Hot Mix Asphalt (HMA) Pavement Base Course (Item P-403),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
65,2,0020,ROADWORK_PAVING,PAVING_EARTHWORK,P-610,Structural Portland Cement Concrete (PCC),Structural Portland Cement Concrete (PCC) (Item P-610),Structural Portland Cement Concrete (PCC) (Item P-610),,REVIEW_NEEDED,fallback_review
66,2,0021,ROADWORK_PAVING,PAVING_EARTHWORK,P-603,Bituminous Tack Coat,Bituminous Tack Coat (Item P-603),Bituminous Tack Coat (Item P-603),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
67,2,0021,ROADWORK_PAVING,PAVING_EARTHWORK,P-610,Steel Reinforcement,Steel Reinforcement (Item P-610),Steel Reinforcement (Item P-610),,REVIEW_NEEDED,fallback_review
68,2,0022,ROADWORK_PAVING,PAVING_EARTHWORK,P-610,Steel Reinforcement,Steel Reinforcement (Item P-610),Steel Reinforcement (Item P-610),,REVIEW_NEEDED,fallback_review
69,2,0022,ROADWORK_PAVING,PAVING_EARTHWORK,P-620,Runway Marking,Runway Marking (Item P-620),Runway Marking (Item P-620),1.2.G40.321723,Pavement Markings,airfield_markings
70,2,0023,ROADWORK_PAVING,PAVING_EARTHWORK,P-620,Reflective Media,Reflective Media (Item P-620),Reflective Media (Item P-620),1.2.G40.321723,Pavement Markings,airfield_markings
71,2,0023,ROADWORK_PAVING,PAVING_EARTHWORK,P-620,Runway Marking,Runway Marking (Item P-620),Runway Marking (Item P-620),1.2.G40.321723,Pavement Markings,airfield_markings
72,2,0024,ROADWORK_PAVING,PAVING_EARTHWORK,P-620,Phasing Pavement Marking,Phasing Pavement Marking (Item P-620),Phasing Pavement Marking (Item P-620),1.2.G40.321723,Pavement Markings,airfield_markings
73,2,0024,ROADWORK_PAVING,PAVING_EARTHWORK,P-620,Reflective Media,Reflective Media (Item P-620),Reflective Media (Item P-620),1.2.G40.321723,Pavement Markings,airfield_markings
74,2,0025,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-701,STS Pipe,8-Inch STS Pipe (Item D-701),STS Pipe (Item D-701),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
75,2,0025,ROADWORK_PAVING,PAVING_EARTHWORK,P-621,Grooving,Grooving (Item P-621),Grooving (Item P-621),1.2.G40.321216,Airfield Asphalt,airfield_asphalt
76,2,0026,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-701,STS Pipe,12-Inch STS Pipe (Item D-701),STS Pipe (Item D-701),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
77,2,0026,ELECTRICAL,AIRFIELD_LIGHTING,L-108,No. 8 AWG 5kV Cable,No. 8 AWG 5kV Cable (Item L-108),No. 8 AWG 5kV Cable (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108
78,2,0027,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-701,STS Pipe,48-Inch STS Pipe (Item D-701),STS Pipe (Item D-701),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
79,2,0027,ELECTRICAL,AIRFIELD_LIGHTING,L-108,No. 6 AWG Solid Wire for Counterpoise,No. 6 AWG Solid Wire for Counterpoise (Item L-108),No. 6 AWG Solid Wire for Counterpoise (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108
80,2,0028,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-701,RCP Pipe,12-Inch RCP Pipe (Item D-701),RCP Pipe (Item D-701),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
81,2,0028,ELECTRICAL,AIRFIELD_LIGHTING,L-108,Heat Shrink for 5kV L-823 Primary Connector,Heat Shrink for 5kV L-823 Primary Connector (Item L-108),Heat Shrink for 5kV L-823 Primary Connector (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108
82,2,0029,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-701,RCP Pipe,24-Inch RCP Pipe (Item D-701),RCP Pipe (Item D-701),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
83,2,0029,ELECTRICAL,AIRFIELD_LIGHTING,L-108,Ground Rod for Counterpoise,Ground Rod for Counterpoise (Item L-108),Ground Rod for Counterpoise (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108
84,2,0030,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-751,"Manhole, Type B","48-Inch Manhole, Type B (Item D-751)","Manhole, Type B (Item D-751)",1.4.G30.334213,Manholes,manholes_structures
85,2,0030,ELECTRICAL,AIRFIELD_LIGHTING,L-110,IMC in Existing AC,1-Inch IMC in Existing AC (Item L-110),IMC in Existing AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110
86,2,0031,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-751,"Manhole, Ditch Inlet","48-Inch Manhole, Ditch Inlet (Item D-751)","Manhole, Ditch Inlet (Item D-751)",1.4.G30.334213,Manholes,manholes_structures
87,2,0031,ELECTRICAL,AIRFIELD_LIGHTING,L-110,PVC Direct Buried,2-Inch PVC Direct Buried (Item L-110),PVC Direct Buried (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110
88,2,0032,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-751,"Manhole, Type A","72-Inch Manhole, Type A (Item D-751)","Manhole, Type A (Item D-751)",1.4.G30.334213,Manholes,manholes_structures
89,2,0032,ELECTRICAL,AIRFIELD_LIGHTING,L-110,PVC in Existing AC,2-Inch PVC in Existing AC (Item L-110),PVC in Existing AC (Item L-110),1.5.D50.260533,Raceways,electrical_raceways_l110
90,2,0033,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,026100,Contaminated Material Excavation and Disposal,Contaminated Material Excavation and Disposal (Section 026100),Contaminated Material Excavation and Disposal (Section 026100),,REVIEW_NEEDED,fallback_review
91,2,0033,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-751,"Manhole, Type A","84-Inch Manhole, Type A (Item D-751)","Manhole, Type A (Item D-751)",1.4.G30.334213,Manholes,manholes_structures
92,2,0034,ELECTRICAL,POWER_DISTRIBUTION,260500,General Electrical Removal,General Electrical Removal (Section 260500),General Electrical Removal (Section 260500),1.5.D50.260500,Electrical Distribution,electrical_distribution
93,2,0034,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,D-751,Catch Basin,Catch Basin (Item D-751),Catch Basin (Item D-751),1.4.G30.334213,Manholes,manholes_structures
94,2,0035,ELECTRICAL,POWER_DISTRIBUTION,260500,Temporary Circuit Connection,Temporary Circuit Connection (Section 260500),Temporary Circuit Connection (Section 260500),1.5.D50.260500,Electrical Distribution,electrical_distribution
95,2,0035,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,T-901,Seeding,Seeding (Item T-901),Seeding (Item T-901),1.3.G20.329219,Seeding,landscape_seeding
96,2,0036,ELECTRICAL,POWER_DISTRIBUTION,260553,Diameter Brass Marker,3-Inch Diameter Brass Marker (Section 260553),Diameter Brass Marker (Section 260553),1.5.D50.260500,Electrical Distribution,electrical_distribution
97,2,0036,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,312300,"Removal of Existing Storm Pipe, Manholes, and Inlets","Removal of Existing Storm Pipe, Manholes, and Inlets (Section 312300)","Removal of Existing Storm Pipe, Manholes, and Inlets (Section 312300)",1.4.G30.334000,Storm Sewer,drainage_misc
98,2,0037,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,312300,Connection to Existing Storm Drainage System,Connection to Existing Storm Drainage System (Section 312300),Connection to Existing Storm Drainage System (Section 312300),1.4.G30.334000,Storm Sewer,drainage_misc
99,2,0037,ELECTRICAL,AIRFIELD_LIGHTING,344300,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC","Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)","Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting
100,2,0038,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,312300,Existing Manhole Adjustment to Grade,Existing Manhole Adjustment to Grade (Section 312300),Existing Manhole Adjustment to Grade (Section 312300),1.4.G30.334000,Storm Sewer,drainage_misc
101,2,0038,ELECTRICAL,AIRFIELD_LIGHTING,344300,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting
102,2,0039,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,312300,Existing Catch Basin Adjustment to Grade,Existing Catch Basin Adjustment to Grade (Section 312300),Existing Catch Basin Adjustment to Grade (Section 312300),1.4.G30.334000,Storm Sewer,drainage_misc
103,2,0039,ELECTRICAL,AIRFIELD_LIGHTING,344300,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC","Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC (Section 344300)","Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting
104,2,0040,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,312300,Adjustment of Existing Structures (H-20 Rated Vaults),Adjustment of Existing Structures (H-20 Rated Vaults) (Section 312300),Adjustment of Existing Structures (H-20 Rated Vaults) (Section 312300),1.4.G30.334000,Storm Sewer,drainage_misc
105,2,0040,ELECTRICAL,AIRFIELD_LIGHTING,344300,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC","Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)","Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)",1.5.D50.344300,Airfield Lighting,airfield_lighting
106,2,0041,PIPING_DRAINAGE,DRAINAGE_STRUCTURES,312300,Adjustment of Existing Structures (229 Kip Rated Vaults),Adjustment of Existing Structures (229 Kip Rated Vaults) (Section 312300),Adjustment of Existing Structures (229 Kip Rated Vaults) (Section 312300),1.4.G30.334000,Storm Sewer,drainage_misc
107,2,0041,ELECTRICAL,AIRFIELD_LIGHTING,344300,Install PF Cover Plate on Existing Light Base,Install PF Cover Plate on Existing Light Base (Section 344300),Install PF Cover Plate on Existing Light Base (Section 344300),1.5.D50.344300,Airfield Lighting,airfield_lighting
108,2,0042,PIPING_DRAINAGE,PIPING_UTILITY,334100,DIP (Force Main),12-Inch DIP (Force Main) (Section 334100),DIP (Force Main) (Section 334100),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
109,2,0042,ELECTRICAL,AIRFIELD_LIGHTING,344301,Adjust Existing Elevated Runway Threshold/Edge Light,Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting
110,2,0043,PIPING_DRAINAGE,PIPING_UTILITY,334100,DIP (Force Main),30-Inch DIP (Force Main) (Section 334100),DIP (Force Main) (Section 334100),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
111,2,0043,ELECTRICAL,AIRFIELD_LIGHTING,344301,Adjust Existing In-Pavement Runway Edge Light,Adjust Existing In-Pavement Runway Edge Light (Section 344301),Adjust Existing In-Pavement Runway Edge Light (Section 344301),1.5.D50.344300,Airfield Lighting,airfield_lighting
112,2,0044,PIPING_DRAINAGE,PIPING_UTILITY,334100,Riprap,Riprap (Section 334100),Riprap (Section 334100),1.4.G30.334000,Storm Sewer,storm_sewer_pipe
113,2,0044,ELECTRICAL,AIRFIELD_SIGNAGE,344302,Sign E6-6,Sign E6-6 (Section 344302),Sign E6-6 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage
114,2,0045,PIPING_DRAINAGE,PIPING_UTILITY,334213,Pump Station,Pump Station (Section 334213),Pump Station (Section 334213),1.4.G30.334600,Pump Stations,pump_stations
115,2,0045,ELECTRICAL,AIRFIELD_SIGNAGE,344302,Sign E6-9,Sign E6-9 (Section 344302),Sign E6-9 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage
116,2,0046,PIPING_DRAINAGE,PIPING_UTILITY,334213,Pump Station Electrical Equipment Installation,Pump Station Electrical Equipment Installation (Section 334213),Pump Station Electrical Equipment Installation (Section 334213),1.4.G30.334600,Pump Stations,pump_stations
117,2,0046,ELECTRICAL,AIRFIELD_SIGNAGE,344302,Sign G-3,Sign G-3 (Section 344302),Sign G-3 (Section 344302),1.5.D50.344302,Airfield Signage,airfield_signage
118,2,0047,ROADWORK_PAVING,PAVING_EARTHWORK,P-610,Structural Portland Cement Concrete (PCC),Structural Portland Cement Concrete (PCC) (Item P-610),Structural Portland Cement Concrete (PCC) (Item P-610),,REVIEW_NEEDED,fallback_review
119,2,0048,ELECTRICAL,AIRFIELD_LIGHTING,L-108,No. 6 AWG Solid Wire for Counterpoise,No. 6 AWG Solid Wire for Counterpoise (Item L-108),No. 6 AWG Solid Wire for Counterpoise (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108
120,2,0049,ELECTRICAL,AIRFIELD_LIGHTING,L-108,Ground Rod for Counterpoise,Ground Rod for Counterpoise (Item L-108),Ground Rod for Counterpoise (Item L-108),1.5.D50.260519,Conductors,electrical_conductors_l108
