item_id,project_id,line_no,item_group,item_subgroup,specification,pay_item_description,item_description_raw,item_label,pop_wbs_code,wbs_description,wbs_rule_id
1,1,0001,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,UNCLASSIFIED,"Mobilization, Surveying, Cleanup, and Demobilization","Mobilization, Surveying, Cleanup, and Demobilization","Mobilization, Surveying, Cleanup, and Demobilization",1.7.Z10.015000,Temporary Facilities,temp_facilities
2,1,0002,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,UNCLASSIFIED,Work Zone Traffic Control,Work Zone Traffic Control,Work Zone Traffic Control,1.7.Z10.013500,Safety & Controls,temp_safety_controls
3,1,0003,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,UNCLASSIFIED,"Temporary Erosion, Sediment, and Pollution Control","Temporary Erosion, Sediment, and Pollution Control","Temporary Erosion, Sediment, and Pollution Control",1.3.G20.313200,Erosion Control,landscape_erosion_control
4,1,0004,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,UNCLASSIFIED,Site Demolition,Site Demolition,Site Demolition,,REVIEW_NEEDED,fallback_review
5,1,0005,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,UNCLASSIFIED,Clearing and Grubbing,Clearing and Grubbing,Clearing and Grubbing,1.3.G20.329200,Landscape Maintenance,landscape_default
6,1,0006,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Trench Excavation and General Native Backfill,Trench Excavation and General Native Backfill,Trench Excavation and General Native Backfill,1.3.G20.311000,Earthwork,site_earthwork_keywords
7,1,0007,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Trench Excavation and Select Native Backfill,Trench Excavation and Select Native Backfill,Trench Excavation and Select Native Backfill,1.3.G20.311000,Earthwork,site_earthwork_keywords
8,1,0008,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Trench Excavation and Select Backfill,Trench Excavation and Select Backfill,Trench Excavation and Select Backfill,1.3.G20.311000,Earthwork,site_earthwork_keywords
9,1,0009,OTHER_REVIEW,UNCLASSIFIED_REVIEW,UNCLASSIFIED,Offsite Haul and Disposal,Offsite Haul and Disposal,Offsite Haul and Disposal,,REVIEW_NEEDED,fallback_review
10,1,0010,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Contaminated Soil Sediment Excavation and Disposal,Contaminated Soil Sediment Excavation and Disposal,Contaminated Soil Sediment Excavation and Disposal,1.3.G20.311000,Earthwork,site_earthwork_keywords
11,1,0011,OTHER_REVIEW,UNCLASSIFIED_REVIEW,UNCLASSIFIED,Shoring,Shoring,Shoring,,REVIEW_NEEDED,fallback_review
12,1,0012,PIPING_DRAINAGE,PIPING_UTILITY,UNCLASSIFIED,Pipe Zone and Bedding Material,Pipe Zone and Bedding Material,Pipe Zone and Bedding Material,1.4.G30.334000,Storm Sewer,drainage_misc
13,1,0013,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Trench Stabilization,Trench Stabilization,Trench Stabilization,1.3.G20.311000,Earthwork,site_earthwork_keywords
14,1,0014,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,UNCLASSIFIED,Dewatering,Dewatering,Dewatering,1.3.G20.329200,Landscape Maintenance,landscape_default
15,1,0015,PIPING_DRAINAGE,PIPING_UTILITY,UNCLASSIFIED,Sewer Pipe,72-Inch Sewer Pipe,Sewer Pipe,1.4.G30.334000,Storm Sewer,drainage_misc
16,1,0016,PIPING_DRAINAGE,PIPING_UTILITY,UNCLASSIFIED,Manhole,108-Inch Manhole,Manhole,1.4.G30.334000,Storm Sewer,drainage_misc
17,1,0017,PIPING_DRAINAGE,PIPING_UTILITY,UNCLASSIFIED,Manhole,120-Inch Manhole,Manhole,1.4.G30.334000,Storm Sewer,drainage_misc
18,1,0018,OTHER_REVIEW,UNCLASSIFIED_REVIEW,UNCLASSIFIED,Subdrains,Subdrains,Subdrains,,REVIEW_NEEDED,fallback_review
19,1,0019,OTHER_REVIEW,UNCLASSIFIED_REVIEW,UNCLASSIFIED,Inlet (Type PB),Inlet (Type PB),Inlet (Type PB),,REVIEW_NEEDED,fallback_review
20,1,0020,PIPING_DRAINAGE,PIPING_UTILITY,UNCLASSIFIED,McBride Slough Intake Structure,McBride Slough Intake Structure,McBride Slough Intake Structure,1.4.G30.334000,Storm Sewer,drainage_misc
21,1,0021,PIPING_DRAINAGE,PIPING_UTILITY,UNCLASSIFIED,Columbia Slough Outfall Structure,Columbia Slough Outfall Structure,Columbia Slough Outfall Structure,1.4.G30.334000,Storm Sewer,drainage_misc
22,1,0022,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Modified Concrete Curb and Gutter,Modified Concrete Curb and Gutter,Modified Concrete Curb and Gutter,,REVIEW_NEEDED,fallback_review
23,1,0023,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Sidewalk,Sidewalk,Sidewalk,,REVIEW_NEEDED,fallback_review
24,1,0024,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Aggregate Base Course,Aggregate Base Course,Aggregate Base Course,,REVIEW_NEEDED,fallback_review
25,1,0025,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Portland Cement Concrete Pavement,Portland Cement Concrete Pavement (9-Inch),Portland Cement Concrete Pavement,,REVIEW_NEEDED,fallback_review
26,1,0026,ROADWORK_PAVING,PAVING_EARTHWORK,UNCLASSIFIED,Pavement Marking,Pavement Marking,Pavement Marking,,REVIEW_NEEDED,fallback_review
27,1,0027,DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,UNCLASSIFIED,Guard Rail Removal and Replacement,Guard Rail Removal and Replacement,Guard Rail Removal and Replacement,,REVIEW_NEEDED,fallback_review
28,1,0028,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,UNCLASSIFIED,Area Seeding,Area Seeding,Area Seeding,1.3.G20.329200,Landscape Maintenance,landscape_default
29,1,0029,PIPING_DRAINAGE,PIPING_UTILITY,UNCLASSIFIED,Stormwater Flow Through Pollution Reduction Facility,Stormwater Flow Through Pollution Reduction Facility,Stormwater Flow Through Pollution Reduction Facility,1.4.G30.334000,Storm Sewer,drainage_misc
30,1,0030,LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,UNCLASSIFIED,Landscape Restoration,Landscape Restoration,Landscape Restoration,1.3.G20.329200,Landscape Maintenance,landscape_default
31,2,0001,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,012200,"Mobilization, Cleanup, and Demobilization","Mobilization, Cleanup, and Demobilization (Section 012200)","Mobilization, Cleanup, and Demobilization (Section 012200)",1.7.Z10.015000,Temporary Facilities,temp_facilities
32,2,0002,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,012200,Sweeper,Sweeper (Section 012200),Sweeper (Section 012200),1.7.Z10.015000,Temporary Facilities,temp_facilities
33,2,0003,GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,012200,Security Control Monitoring,Security Control Monitoring (Section 012200),Security Control Monitoring (Section 012200),1.6.F10.281300,Access Control,temp_security_access_control
