project_ean,line_no,item_description_raw,specification,parsed_specs,pay_item_description,unit_code_norm,estimate_item,division,cost_code,cost_code_desc,catalog_item_description,needs_slicer,slicer_family,size_in,material_or_type,spec_family,match_method,match_confidence,mapping_status,needs_review
2015D006,0003,"Temporary Erosion, Sediment, and Pollution Control",UNCLASSIFIED,,"Temporary Erosion, Sediment, and Pollution Control",LS,,,,,,False,,,,,fuzzy_token_set,85.71,unmapped,True
2015D006,0004,Site Demolition,UNCLASSIFIED,,Site Demolition,LS,,,,,,False,,,,,fuzzy_token_set,80.0,unmapped,True
2015D006,0005,Clearing and Grubbing,UNCLASSIFIED,,Clearing and Grubbing,LS,,,,,,False,,,,,fuzzy_token_set,51.16,unmapped,True
2015D006,0006,Trench Excavation and General Native Backfill,UNCLASSIFIED,,Trench Excavation and General Native Backfill,LF,,,,,,False,,,,,fuzzy_token_set,74.07,unmapped,True
2015D006,0007,Trench Excavation and Select Native Backfill,UNCLASSIFIED,,Trench Excavation and Select Native Backfill,LF,,,,,,False,,,,,fuzzy_token_set,74.07,unmapped,True
2015D006,0008,Trench Excavation and Select Backfill,UNCLASSIFIED,,Trench Excavation and Select Backfill,LF,,,,,,False,,,,,fuzzy_token_set,74.07,unmapped,True
2015D006,0009,Offsite Haul and Disposal,UNCLASSIFIED,,Offsite Haul and Disposal,CY,,,,,,False,,,,,fuzzy_token_set,45.28,unmapped,True
2015D006,0010,Contaminated Soil Sediment Excavation and Disposal,UNCLASSIFIED,,Contaminated Soil Sediment Excavation and Disposal,TON,,,,,,False,,,,,fuzzy_token_set,72.73,unmapped,True
2015D006,0011,Shoring,UNCLASSIFIED,,Shoring,LS,,,,,,False,,,,,fuzzy_token_set,53.33,unmapped,True
2015D006,0012,Pipe Zone and Bedding Material,UNCLASSIFIED,,Pipe Zone and Bedding Material,CY,,,,,,False,,,,,fuzzy_token_set,50.0,unmapped,True
2015D006,0015,72-Inch Sewer Pipe,UNCLASSIFIED,,Sewer Pipe,LF,,,,,,False,,,,,fuzzy_token_set,57.14,unmapped,True
2015D006,0018,Subdrains,UNCLASSIFIED,,Subdrains,LF,,,,,,False,,,,,fuzzy_token_set,47.62,unmapped,True
2015D006,0019,Inlet (Type PB),UNCLASSIFIED,,Inlet (Type PB),EACH,,,,,,False,,,,,fuzzy_token_set,62.07,unmapped,True
2015D006,0020,McBride Slough Intake Structure,UNCLASSIFIED,,McBride Slough Intake Structure,LS,,,,,,False,,,,,fuzzy_token_set,54.24,unmapped,True
2015D006,0021,Columbia Slough Outfall Structure,UNCLASSIFIED,,Columbia Slough Outfall Structure,LS,,,,,,False,,,,,fuzzy_token_set,50.0,unmapped,True
