Estimate Item,Bid Tab Count,Project EAN,Raw Bid Tab Item Description
10000 Construction Survey,2,2016D015; 2016D18,Construction Survey
10000 Construction Survey,5,2015D142; 2015D147; 2017D013,Construction Survey (Item GP-50)
10000 Construction Survey,2,2018D029; 2022D027,Construction Survey (Section 012200)
10000 Construction Survey,8,2015D006; 2018D015; 2020D008; 2020D009; 2021D001; 2021D007; 2021D025; 2023D028,"Mobilization, Surveying, Cleanup, and Demobilization"
10000 Construction Survey,5,2017D029; 2021D017; 2023D025; 2024D016; 2024D045,"Mobilization, Surveying, Cleanup, and Demobilization (Section 012200)"
13500 Security Control Monitoring,1,2016D015,Security Control Monitoring
13500 Security Control Monitoring,12,2015D142; 2015D147; 2017D013; 2017D029; 2018D027; 2018D029; 2020D022; 2022D027; 2022D028; 2023D011; 2023D016; 2024D045,Security Control Monitoring (Section 012200)
13501 Escort,1,2016D015,Escort
13501 Escort,15,2015D142; 2015D147; 2017D013; 2017D029; 2018D027; 2018D029; 2020D022; 2022D027; 2022D028; 2023D003; 2023D011; 2023D016; 2023D025; 2024D016; 2024D045,Escort (Section 012200)
13501 Escort,1,2019D031,Escort (Section012200)
15000 Mobilization & Demobilization,12,2018D027; 2020D022; 2022D028; 2023D003; 2023D011; 2023D016; 2023D018,Mobilization (Item C-105)
15000 Mobilization & Demobilization,1,2019D031,Mobilization (ItemC-105)
15000 Mobilization & Demobilization,2,2016D015; 2016D18,"Mobilization, Cleanup, and Demobilization"
15000 Mobilization & Demobilization,5,2015D142; 2015D147; 2017D013; 2018D029; 2022D027,"Mobilization, Cleanup, and Demobilization (Section 012200)"
15001 Work Zone and Traffic Control,1,2020D009,Project Traffic Control
15001 Work Zone and Traffic Control,1,2018D015,Temporary Traffic Control
15001 Work Zone and Traffic Control,2,2021D001; 2023D028,Traffic Control
15001 Work Zone and Traffic Control,5,2015D147; 2018D027; 2020D022; 2023D016; 2024D016,Traffic Control (Section 012200)
15001 Work Zone and Traffic Control,3,2015D006; 2016D18; 2021D007,Work Zone Traffic Control
15001 Work Zone and Traffic Control,1,2023D011,Work Zone Traffic Control (Section 012200)
15001 Work Zone and Traffic Control,10,2015D142; 2017D013; 2017D029; 2018D029; 2021D017; 2022D027; 2022D028; 2023D018; 2023D025; 2024D045,Work Zone and Traffic Control (Section 012200)
