item_group,item_subgroup,pop_wbs_code,wbs_description,item_rows,pct_rows
GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,1.7.Z10.015000,Temporary Facilities,159,11.47
ROADWORK_PAVING,PAVING_EARTHWORK,1.2.G40.321723,Pavement Markings,105,7.58
ELECTRICAL,AIRFIELD_LIGHTING,1.5.D50.344300,Airfield Lighting,95,6.85
ROADWORK_PAVING,PAVING_EARTHWORK,1.2.G40.321216,Airfield Asphalt,94,6.78
PIPING_DRAINAGE,DRAINAGE_STRUCTURES,1.4.G30.334000,Storm Sewer,92,6.64
OTHER_REVIEW,UNCLASSIFIED_REVIEW,,REVIEW_NEEDED,87,6.28
ROADWORK_PAVING,PAVING_EARTHWORK,1.2.G40.321216,Pavement Removal,83,5.99
ROADWORK_PAVING,PAVING_EARTHWORK,1.3.G20.311000,Earthwork,76,5.48
ELECTRICAL,POWER_DISTRIBUTION,1.5.D50.260500,Electrical Distribution,64,4.62
ROADWORK_PAVING,PAVING_EARTHWORK,,REVIEW_NEEDED,56,4.04
PIPING_DRAINAGE,PIPING_UTILITY,1.4.G30.334000,Storm Sewer,55,3.97
GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,1.7.Z10.013500,Safety & Controls,51,3.68
PIPING_DRAINAGE,DRAINAGE_STRUCTURES,1.4.G30.334213,Manholes,46,3.32
ELECTRICAL,AIRFIELD_SIGNAGE,1.5.D50.344302,Airfield Signage,42,3.03
DEMOLITION_REMEDIATION,DEMOLITION_REMEDIATION,,REVIEW_NEEDED,39,2.81
ELECTRICAL,AIRFIELD_LIGHTING,1.5.D50.260519,Conductors,37,2.67
ROADWORK_PAVING,PAVING_EARTHWORK,1.3.G20.321000,Aggregate Base,31,2.24
ELECTRICAL,AIRFIELD_LIGHTING,1.5.D50.260533,Raceways,29,2.09
LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,1.3.G20.329200,Landscape Maintenance,27,1.95
SITEWORK_MISC,FENCING_GUARDRAIL_BOLLARDS,,REVIEW_NEEDED,22,1.59
ELECTRICAL,TELECOM_IT,1.5.D50.271000,Communications,18,1.3
GENERAL_TEMPORARY,TEMP_TRAFFIC_MOBILIZATION,1.6.F10.281300,Access Control,15,1.08
ELECTRICAL,AIRFIELD_LIGHTING,1.5.D50.260500,Electrical Distribution,10,0.72
ELECTRICAL,EV_CHARGING,1.5.D50.260500,Electrical Distribution,10,0.72
LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,1.3.G20.313200,Erosion Control,10,0.72
ROADWORK_PAVING,PAVING_EARTHWORK,1.2.G40.321313,Concrete Paving,9,0.65
LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,1.3.G20.329113,Topsoiling,7,0.51
LANDSCAPE_ENVIRONMENTAL,LANDSCAPING_REVEGETATION,1.3.G20.329219,Seeding,7,0.51
ELECTRICAL,AIRFIELD_SIGNAGE,1.5.D50.260500,Electrical Distribution,4,0.29
PIPING_DRAINAGE,PIPING_UTILITY,1.4.G30.334600,Pump Stations,4,0.29
ELECTRICAL,POWER_DISTRIBUTION,1.5.D50.260526,Grounding,2,0.14
