project_ean,line_no,item_description_raw,specification,parsed_specs,pay_item_description,unit_code_norm,estimate_item,division,cost_code,cost_code_desc,catalog_item_description,needs_slicer,slicer_family,size_in,material_or_type,spec_family,match_method,match_confidence,mapping_status,needs_review
2015D142,0001,"Mobilization, Cleanup, and Demobilization (Section 012200)",012200,012200,"Mobilization, Cleanup, and Demobilization",LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0002,Sweeper (Section 012200),012200,012200,Sweeper,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0003,Security Control Monitoring (Section 012200),012200,012200,Security Control Monitoring,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0004,Work Zone and Traffic Control (Section 012200),012200,012200,Work Zone and Traffic Control,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0005,Escort (Section 012200),012200,012200,Escort,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0006,Delineators (Section 012200),012200,012200,Delineators,EACH,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0016,Controlled Low-Strength Material (CLSM) (Item P-153),P-153,P-153,Controlled Low - Strength Material (CLSM),CY,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0017,Adhesive Compound (Item P-606),P-606,P-606,Adhesive Compound,GAL,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0018,Asphalt Surface Treatment (Item P-608),P-608,P-608,Asphalt Surface Treatment,SY,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0019,Runway Friction Testing (Item P-608),P-608,P-608,Runway Friction Testing,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0026,No. 8 AWG 5kV Cable (Item L-108),L-108,L-108,No. 8 AWG 5kV Cable,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0027,No. 6 AWG Solid Wire for Counterpoise (Item L-108),L-108,L-108,No. 6 AWG Solid Wire for Counterpoise,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0028,Heat Shrink for 5kV L-823 Primary Connector (Item L-108),L-108,L-108; L-823,Heat Shrink for 5kV L-823 Primary Connector,EACH,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0029,Ground Rod for Counterpoise (Item L-108),L-108,L-108,Ground Rod for Counterpoise,EACH,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0030,1-Inch IMC in Existing AC (Item L-110),L-110,L-110,IMC in Existing AC,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0031,2-Inch PVC Direct Buried (Item L-110),L-110,L-110,PVC Direct Buried,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0032,2-Inch PVC in Existing AC (Item L-110),L-110,L-110,PVC in Existing AC,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0033,Contaminated Material Excavation and Disposal (Section 026100),026100,026100,Contaminated Material Excavation and Disposal,TON,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0034,General Electrical Removal (Section 260500),260500,260500,General Electrical Removal,LS,,,,,,False,electrical,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0035,Temporary Circuit Connection (Section 260500),260500,260500,Temporary Circuit Connection,LS,,,,,,False,electrical,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0036,3-Inch Diameter Brass Marker (Section 260553),260553,260553,Diameter Brass Marker,EACH,,,,,,False,electrical,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0037,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)",344300,344300,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC",EACH,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0038,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),344300,344300,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer,EACH,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0039,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC (Section 344300)",344300,344300; L-868,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC",EACH,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0040,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)",344300,344300; L-867,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC",EACH,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0041,Install PF Cover Plate on Existing Light Base (Section 344300),344300,344300,Install PF Cover Plate on Existing Light Base,EACH,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0042,12-Inch DIP (Force Main) (Section 334100),334100,334100,DIP (Force Main),LF,,,,,,False,storm_sanitary_outside_catalog,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0042,Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),344301,344301,Adjust Existing Elevated Runway Threshold/Edge Light,EACH,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0043,30-Inch DIP (Force Main) (Section 334100),334100,334100,DIP (Force Main),LF,,,,,,False,storm_sanitary_outside_catalog,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0043,Adjust Existing In-Pavement Runway Edge Light (Section 344301),344301,344301,Adjust Existing In-Pavement Runway Edge Light,EACH,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0044,Riprap (Section 334100),334100,334100,Riprap,CY,,,,,,False,storm_sanitary_outside_catalog,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0044,Sign E6-6 (Section 344302),344302,344302,Sign E6-6,LS,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0045,Pump Station (Section 334213),334213,334213,Pump Station,LS,,,,,,False,storm_sanitary_outside_catalog,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0045,Sign E6-9 (Section 344302),344302,344302,Sign E6-9,LS,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0046,Pump Station Electrical Equipment Installation (Section 334213),334213,334213,Pump Station Electrical Equipment Installation,LS,,,,,,False,storm_sanitary_outside_catalog,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0046,Sign G-3 (Section 344302),344302,344302,Sign G-3,LS,,,,,,False,airfield_lighting,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0048,No. 6 AWG Solid Wire for Counterpoise (Item L-108),L-108,L-108,No. 6 AWG Solid Wire for Counterpoise,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D142,0049,Ground Rod for Counterpoise (Item L-108),L-108,L-108,Ground Rod for Counterpoise,EACH,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0001,"Mobilization, Cleanup, and Demobilization (Section 012200)",012200,012200,"Mobilization, Cleanup, and Demobilization",LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0001,"Wildlife Access Road, Asphalt Grindings (Section 012200)",012200,012200,"Wildlife Access Road, Asphalt Grindings",CY,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0002,Heat Shrink for 5kV L-823 Primary Connector (Item L-108),L-108,L-108; L-823,Heat Shrink for 5kV L-823 Primary Connector,EACH,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0002,Sweeper (Section 012200),012200,012200,Sweeper,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0003,1-Inch IMC in Existing AC (Item L-110),L-110,L-110,IMC in Existing AC,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0003,Security Control Monitoring (Section 012200),012200,012200,Security Control Monitoring,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0004,3-Inch Diameter Brass Marker (Section 260553),260553,260553,Diameter Brass Marker,EACH,,,,,,False,electrical,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0004,Traffic Control (Section 012200),012200,012200,Traffic Control,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0005,Escort (Section 012200),012200,012200,Escort,LS,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0028,Controlled Low-Strength Material (CLSM) (Item P-153),P-153,P-153,Controlled Low - Strength Material (CLSM),CY,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0039,Adhesive Compound (Item P-606),P-606,P-606,Adhesive Compound,GAL,,,,,,False,out_of_catalog_scope,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0065,No. 8 AWG 5kV Cable (Item L-108),L-108,L-108,No. 8 AWG 5kV Cable,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0066,No. 6 AWG Solid Wire for Counterpoise (Item L-108),L-108,L-108,No. 6 AWG Solid Wire for Counterpoise,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0067,Ground Rod for Counterpoise (Item L-108),L-108,L-108,Ground Rod for Counterpoise,EACH,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0068,2-Inch PVC Direct Buried (Item L-110),L-110,L-110,PVC Direct Buried,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0069,2-Inch PVC in Existing AC (Item L-110),L-110,L-110,PVC in Existing AC,LF,,,,,,False,cable_electrical_faa,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0070,General Electrical Removal (Section 260500),260500,260500,General Electrical Removal,LS,,,,,,False,electrical,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0071,Temporary Circuit Connection (Section 260500),260500,260500,Temporary Circuit Connection,LS,,,,,,False,electrical,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0077,12-Inch Ductile Iron (Force Main) Pipe (Section 334100),334100,334100,Ductile Iron (Force Main) Pipe,LF,,,,,,False,storm_sanitary_outside_catalog,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
2015D147,0078,20-Inch Ductile Iron (Force Main) Pipe (Section 334100),334100,334100,Ductile Iron (Force Main) Pipe,LF,,,,,,False,storm_sanitary_outside_catalog,,,UNKNOWN,spec_scope_filter,0.0,out_of_catalog_scope,False
