project_ean,line_no,item_description_raw,unit_code_raw,unit_code_norm,is_totals_row,specification,pay_item_description,raw_norm,pay_item_norm,text_blob_norm,estimate_item,match_method,match_confidence,needs_review,division,cost_code,catalog_unit,needs_slicer,slicer_family,catalog_notes,size_in,material_or_type,spec_family
2015D006,0015,72-Inch Sewer Pipe,LF,LF,False,UNCLASSIFIED,Sewer Pipe,72 INCH SEWER PIPE,SEWER PIPE,72 INCH SEWER PIPE SEWER PIPE UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0018,Subdrains,LF,LF,False,UNCLASSIFIED,Subdrains,SUBDRAINS,SUBDRAINS,SUBDRAINS SUBDRAINS UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0019,Inlet (Type PB),Each,EACH,False,UNCLASSIFIED,Inlet (Type PB),INLET TYPE PB,INLET TYPE PB,INLET TYPE PB INLET TYPE PB UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0020,McBride Slough Intake Structure,LS,LS,False,UNCLASSIFIED,McBride Slough Intake Structure,MCBRIDE SLOUGH INTAKE STRUCTURE,MCBRIDE SLOUGH INTAKE STRUCTURE,MCBRIDE SLOUGH INTAKE STRUCTURE MCBRIDE SLOUGH INTAKE STRUCTURE UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0021,Columbia Slough Outfall Structure,LS,LS,False,UNCLASSIFIED,Columbia Slough Outfall Structure,COLUMBIA SLOUGH OUTFALL STRUCTURE,COLUMBIA SLOUGH OUTFALL STRUCTURE,COLUMBIA SLOUGH OUTFALL STRUCTURE COLUMBIA SLOUGH OUTFALL STRUCTURE UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0022,Modified Concrete Curb and Gutter,LF,LF,False,UNCLASSIFIED,Modified Concrete Curb and Gutter,MODIFIED CONCRETE CURB AND GUTTER,MODIFIED CONCRETE CURB AND GUTTER,MODIFIED CONCRETE CURB AND GUTTER MODIFIED CONCRETE CURB AND GUTTER UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0023,Sidewalk,SF,SF,False,UNCLASSIFIED,Sidewalk,SIDEWALK,SIDEWALK,SIDEWALK SIDEWALK UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0025,Portland Cement Concrete Pavement (9-Inch),SY,SY,False,UNCLASSIFIED,Portland Cement Concrete Pavement,PORTLAND CEMENT CONCRETE PAVEMENT 9 INCH,PORTLAND CEMENT CONCRETE PAVEMENT,PORTLAND CEMENT CONCRETE PAVEMENT 9 INCH PORTLAND CEMENT CONCRETE PAVEMENT UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0026,Pavement Marking,LS,LS,False,UNCLASSIFIED,Pavement Marking,PAVEMENT MARKING,PAVEMENT MARKING,PAVEMENT MARKING PAVEMENT MARKING UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0027,Guard Rail Removal and Replacement,LF,LF,False,UNCLASSIFIED,Guard Rail Removal and Replacement,GUARD RAIL REMOVAL AND REPLACEMENT,GUARD RAIL REMOVAL AND REPLACEMENT,GUARD RAIL REMOVAL AND REPLACEMENT GUARD RAIL REMOVAL AND REPLACEMENT UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0028,Area Seeding,LS,LS,False,UNCLASSIFIED,Area Seeding,AREA SEEDING,AREA SEEDING,AREA SEEDING AREA SEEDING UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0029,Stormwater Flow Through Pollution Reduction Facility,LS,LS,False,UNCLASSIFIED,Stormwater Flow Through Pollution Reduction Facility,STORMWATER FLOW THROUGH POLLUTION REDUCTION FACILITY,STORMWATER FLOW THROUGH POLLUTION REDUCTION FACILITY,STORMWATER FLOW THROUGH POLLUTION REDUCTION FACILITY STORMWATER FLOW THROUGH POLLUTION REDUCTION FACILITY UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0030,Landscape Restoration,LS,LS,False,UNCLASSIFIED,Landscape Restoration,LANDSCAPE RESTORATION,LANDSCAPE RESTORATION,LANDSCAPE RESTORATION LANDSCAPE RESTORATION UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D142,0006,Construction Access (Section 015713),Each,EACH,False,015713,Construction Access,CONSTRUCTION ACCESS SECTION 015713,CONSTRUCTION ACCESS,CONSTRUCTION ACCESS SECTION 015713 CONSTRUCTION ACCESS 015713,,unmapped,0.0,True,,,,False,,,,,
2015D142,0006,Delineators (Section 012200),Each,EACH,False,012200,Delineators,DELINEATORS SECTION 012200,DELINEATORS,DELINEATORS SECTION 012200 DELINEATORS 012200,,unmapped,0.0,True,,,,False,,,,,
2015D142,0008,Jet Blast Control Material (Section 015713),Acre,ACRE,False,015713,Jet Blast Control Material,JET BLAST CONTROL MATERIAL SECTION 015713,JET BLAST CONTROL MATERIAL,JET BLAST CONTROL MATERIAL SECTION 015713 JET BLAST CONTROL MATERIAL 015713,,unmapped,0.0,True,,,,False,,,,,
2015D142,0009,Joint and Crack Repair (Item P-101),LF,LF,False,P-101,Joint and Crack Repair,JOINT AND CRACK REPAIR ITEM P 101,JOINT AND CRACK REPAIR,JOINT AND CRACK REPAIR ITEM P 101 JOINT AND CRACK REPAIR P 101,,unmapped,0.0,True,,,,False,,,,,
2015D142,0010,Asphalt Pavement Removal - 3-Inch Depth (Item P-101),SY,SY,False,P-101,Asphalt Pavement Removal,ASPHALT PAVEMENT REMOVAL 3 INCH DEPTH ITEM P 101,ASPHALT PAVEMENT REMOVAL,ASPHALT PAVEMENT REMOVAL 3 INCH DEPTH ITEM P 101 ASPHALT PAVEMENT REMOVAL P 101,,unmapped,0.0,True,,,,False,,,,,
2015D142,0010,Cold Milling - 2-Inch Maximum Depth (Item P-101),SY,SY,False,P-101,Cold Milling,COLD MILLING 2 INCH MAXIMUM DEPTH ITEM P 101,COLD MILLING,COLD MILLING 2 INCH MAXIMUM DEPTH ITEM P 101 COLD MILLING P 101,,unmapped,0.0,True,,,,False,,,,,
2015D142,0011,Asphalt Pavement Removal - 8-Inch Depth (Item P-101),SY,SY,False,P-101,Asphalt Pavement Removal,ASPHALT PAVEMENT REMOVAL 8 INCH DEPTH ITEM P 101,ASPHALT PAVEMENT REMOVAL,ASPHALT PAVEMENT REMOVAL 8 INCH DEPTH ITEM P 101 ASPHALT PAVEMENT REMOVAL P 101,,unmapped,0.0,True,,,,False,,,,,
2015D142,0011,Cold Milling - 4.5-Inch Maximum Depth (Item P-101),SY,SY,False,P-101,Cold Milling,COLD MILLING 4 5 INCH MAXIMUM DEPTH ITEM P 101,COLD MILLING,COLD MILLING 4 5 INCH MAXIMUM DEPTH ITEM P 101 COLD MILLING P 101,,unmapped,0.0,True,,,,False,,,,,
2015D142,0012,Cold Milling - 2-Inch Maximum Depth (Item P-101),SY,SY,False,P-101,Cold Milling,COLD MILLING 2 INCH MAXIMUM DEPTH ITEM P 101,COLD MILLING,COLD MILLING 2 INCH MAXIMUM DEPTH ITEM P 101 COLD MILLING P 101,,unmapped,0.0,True,,,,False,,,,,
2015D142,0012,Silt Fence (Item P-156),LF,LF,False,P-156,Silt Fence,SILT FENCE ITEM P 156,SILT FENCE,SILT FENCE ITEM P 156 SILT FENCE P 156,,unmapped,0.0,True,,,,False,,,,,
2015D142,0014,Hot Mix Asphalt (HMA) Base Course (Item P-403),Ton,TON,False,P-403,Hot Mix Asphalt (HMA) Base Course,HOT MIX ASPHALT HMA BASE COURSE ITEM P 403,HOT MIX ASPHALT HMA BASE COURSE,HOT MIX ASPHALT HMA BASE COURSE ITEM P 403 HOT MIX ASPHALT HMA BASE COURSE P 403,,unmapped,0.0,True,,,,False,,,,,
2015D142,0016,Controlled Low-Strength Material (CLSM) (Item P-153),CY,CY,False,P-153,Controlled Low - Strength Material (CLSM),CONTROLLED LOW STRENGTH MATERIAL CLSM ITEM P 153,CONTROLLED LOW STRENGTH MATERIAL CLSM,CONTROLLED LOW STRENGTH MATERIAL CLSM ITEM P 153 CONTROLLED LOW STRENGTH MATERIAL CLSM P 153,,unmapped,0.0,True,,,,False,,,,,
2015D142,0017,Adhesive Compound (Item P-606),Gal,GAL,False,P-606,Adhesive Compound,ADHESIVE COMPOUND ITEM P 606,ADHESIVE COMPOUND,ADHESIVE COMPOUND ITEM P 606 ADHESIVE COMPOUND P 606,,unmapped,0.0,True,,,,False,,,,,
2015D142,0017,Subbase Course (Item P-154),CY,CY,False,P-154,Subbase Course,SUBBASE COURSE ITEM P 154,SUBBASE COURSE,SUBBASE COURSE ITEM P 154 SUBBASE COURSE P 154,,unmapped,0.0,True,,,,False,,,,,
2015D142,0018,Asphalt Surface Treatment (Item P-608),SY,SY,False,P-608,Asphalt Surface Treatment,ASPHALT SURFACE TREATMENT ITEM P 608,ASPHALT SURFACE TREATMENT,ASPHALT SURFACE TREATMENT ITEM P 608 ASPHALT SURFACE TREATMENT P 608,,unmapped,0.0,True,,,,False,,,,,
2015D142,0018,Silt Fence (Item P-156),LF,LF,False,P-156,Silt Fence,SILT FENCE ITEM P 156,SILT FENCE,SILT FENCE ITEM P 156 SILT FENCE P 156,,unmapped,0.0,True,,,,False,,,,,
2015D142,0019,Runway Friction Testing (Item P-608),LS,LS,False,P-608,Runway Friction Testing,RUNWAY FRICTION TESTING ITEM P 608,RUNWAY FRICTION TESTING,RUNWAY FRICTION TESTING ITEM P 608 RUNWAY FRICTION TESTING P 608,,unmapped,0.0,True,,,,False,,,,,
2015D142,0020,Hot Mix Asphalt (HMA) Pavement Base Course (Item P-403),Ton,TON,False,P-403,Hot Mix Asphalt (HMA) Pavement Base Course,HOT MIX ASPHALT HMA PAVEMENT BASE COURSE ITEM P 403,HOT MIX ASPHALT HMA PAVEMENT BASE COURSE,HOT MIX ASPHALT HMA PAVEMENT BASE COURSE ITEM P 403 HOT MIX ASPHALT HMA PAVEMENT BASE COURSE P 403,,unmapped,0.0,True,,,,False,,,,,
2015D142,0021,Steel Reinforcement (Item P-610),LB,LB,False,P-610,Steel Reinforcement,STEEL REINFORCEMENT ITEM P 610,STEEL REINFORCEMENT,STEEL REINFORCEMENT ITEM P 610 STEEL REINFORCEMENT P 610,,unmapped,0.0,True,,,,False,,,,,
2015D142,0022,Runway Marking (Item P-620),SF,SF,False,P-620,Runway Marking,RUNWAY MARKING ITEM P 620,RUNWAY MARKING,RUNWAY MARKING ITEM P 620 RUNWAY MARKING P 620,,unmapped,0.0,True,,,,False,,,,,
2015D142,0022,Steel Reinforcement (Item P-610),LB,LB,False,P-610,Steel Reinforcement,STEEL REINFORCEMENT ITEM P 610,STEEL REINFORCEMENT,STEEL REINFORCEMENT ITEM P 610 STEEL REINFORCEMENT P 610,,unmapped,0.0,True,,,,False,,,,,
2015D142,0023,Runway Marking (Item P-620),SF,SF,False,P-620,Runway Marking,RUNWAY MARKING ITEM P 620,RUNWAY MARKING,RUNWAY MARKING ITEM P 620 RUNWAY MARKING P 620,,unmapped,0.0,True,,,,False,,,,,
2015D142,0024,Phasing Pavement Marking (Item P-620),SF,SF,False,P-620,Phasing Pavement Marking,PHASING PAVEMENT MARKING ITEM P 620,PHASING PAVEMENT MARKING,PHASING PAVEMENT MARKING ITEM P 620 PHASING PAVEMENT MARKING P 620,,unmapped,0.0,True,,,,False,,,,,
2015D142,0025,8-Inch STS Pipe (Item D-701),LF,LF,False,D-701,STS Pipe,8 INCH STS PIPE ITEM D 701,STS PIPE,8 INCH STS PIPE ITEM D 701 STS PIPE D 701,,unmapped,0.0,True,,,,False,,,,,
2015D142,0026,12-Inch STS Pipe (Item D-701),LF,LF,False,D-701,STS Pipe,12 INCH STS PIPE ITEM D 701,STS PIPE,12 INCH STS PIPE ITEM D 701 STS PIPE D 701,,unmapped,0.0,True,,,,False,,,,,
2015D142,0026,No. 8 AWG 5kV Cable (Item L-108),LF,LF,False,L-108,No. 8 AWG 5kV Cable,NO 8 AWG 5KV CABLE ITEM L 108,NO 8 AWG 5KV CABLE,NO 8 AWG 5KV CABLE ITEM L 108 NO 8 AWG 5KV CABLE L 108,,unmapped,0.0,True,,,,False,,,,,
2015D142,0027,48-Inch STS Pipe (Item D-701),LF,LF,False,D-701,STS Pipe,48 INCH STS PIPE ITEM D 701,STS PIPE,48 INCH STS PIPE ITEM D 701 STS PIPE D 701,,unmapped,0.0,True,,,,False,,,,,
2015D142,0027,No. 6 AWG Solid Wire for Counterpoise (Item L-108),LF,LF,False,L-108,No. 6 AWG Solid Wire for Counterpoise,NO 6 AWG SOLID WIRE FOR COUNTERPOISE ITEM L 108,NO 6 AWG SOLID WIRE FOR COUNTERPOISE,NO 6 AWG SOLID WIRE FOR COUNTERPOISE ITEM L 108 NO 6 AWG SOLID WIRE FOR COUNTERPOISE L 108,,unmapped,0.0,True,,,,False,,,,,
2015D142,0028,12-Inch RCP Pipe (Item D-701),LF,LF,False,D-701,RCP Pipe,12 INCH RCP PIPE ITEM D 701,RCP PIPE,12 INCH RCP PIPE ITEM D 701 RCP PIPE D 701,,unmapped,0.0,True,,,,False,,,,,
2015D142,0028,Heat Shrink for 5kV L-823 Primary Connector (Item L-108),Each,EACH,False,L-108,Heat Shrink for 5kV L-823 Primary Connector,HEAT SHRINK FOR 5KV L 823 PRIMARY CONNECTOR ITEM L 108,HEAT SHRINK FOR 5KV L 823 PRIMARY CONNECTOR,HEAT SHRINK FOR 5KV L 823 PRIMARY CONNECTOR ITEM L 108 HEAT SHRINK FOR 5KV L 823 PRIMARY CONNECTOR L 108,,unmapped,0.0,True,,,,False,,,,,
2015D142,0029,24-Inch RCP Pipe (Item D-701),LF,LF,False,D-701,RCP Pipe,24 INCH RCP PIPE ITEM D 701,RCP PIPE,24 INCH RCP PIPE ITEM D 701 RCP PIPE D 701,,unmapped,0.0,True,,,,False,,,,,
2015D142,0029,Ground Rod for Counterpoise (Item L-108),Each,EACH,False,L-108,Ground Rod for Counterpoise,GROUND ROD FOR COUNTERPOISE ITEM L 108,GROUND ROD FOR COUNTERPOISE,GROUND ROD FOR COUNTERPOISE ITEM L 108 GROUND ROD FOR COUNTERPOISE L 108,,unmapped,0.0,True,,,,False,,,,,
2015D142,0030,1-Inch IMC in Existing AC (Item L-110),LF,LF,False,L-110,IMC in Existing AC,1 INCH IMC IN EXISTING AC ITEM L 110,IMC IN EXISTING AC,1 INCH IMC IN EXISTING AC ITEM L 110 IMC IN EXISTING AC L 110,,unmapped,0.0,True,,,,False,,,,,
2015D142,0031,2-Inch PVC Direct Buried (Item L-110),LF,LF,False,L-110,PVC Direct Buried,2 INCH PVC DIRECT BURIED ITEM L 110,PVC DIRECT BURIED,2 INCH PVC DIRECT BURIED ITEM L 110 PVC DIRECT BURIED L 110,,unmapped,0.0,True,,,,False,,,,,
2015D142,0032,2-Inch PVC in Existing AC (Item L-110),LF,LF,False,L-110,PVC in Existing AC,2 INCH PVC IN EXISTING AC ITEM L 110,PVC IN EXISTING AC,2 INCH PVC IN EXISTING AC ITEM L 110 PVC IN EXISTING AC L 110,,unmapped,0.0,True,,,,False,,,,,
2015D142,0033,Contaminated Material Excavation and Disposal (Section 026100),Ton,TON,False,026100,Contaminated Material Excavation and Disposal,CONTAMINATED MATERIAL EXCAVATION AND DISPOSAL SECTION 026100,CONTAMINATED MATERIAL EXCAVATION AND DISPOSAL,CONTAMINATED MATERIAL EXCAVATION AND DISPOSAL SECTION 026100 CONTAMINATED MATERIAL EXCAVATION AND DISPOSAL 026100,,unmapped,0.0,True,,,,False,,,,,
2015D142,0034,Catch Basin (Item D-751),Each,EACH,False,D-751,Catch Basin,CATCH BASIN ITEM D 751,CATCH BASIN,CATCH BASIN ITEM D 751 CATCH BASIN D 751,,unmapped,0.0,True,,,,False,,,,,
2015D142,0034,General Electrical Removal (Section 260500),LS,LS,False,260500,General Electrical Removal,GENERAL ELECTRICAL REMOVAL SECTION 260500,GENERAL ELECTRICAL REMOVAL,GENERAL ELECTRICAL REMOVAL SECTION 260500 GENERAL ELECTRICAL REMOVAL 260500,,unmapped,0.0,True,,,,False,,,,,
2015D142,0035,Seeding (Item T-901),Acre,ACRE,False,T-901,Seeding,SEEDING ITEM T 901,SEEDING,SEEDING ITEM T 901 SEEDING T 901,,unmapped,0.0,True,,,,False,,,,,
2015D142,0035,Temporary Circuit Connection (Section 260500),LS,LS,False,260500,Temporary Circuit Connection,TEMPORARY CIRCUIT CONNECTION SECTION 260500,TEMPORARY CIRCUIT CONNECTION,TEMPORARY CIRCUIT CONNECTION SECTION 260500 TEMPORARY CIRCUIT CONNECTION 260500,,unmapped,0.0,True,,,,False,,,,,
2015D142,0036,3-Inch Diameter Brass Marker (Section 260553),Each,EACH,False,260553,Diameter Brass Marker,3 INCH DIAMETER BRASS MARKER SECTION 260553,DIAMETER BRASS MARKER,3 INCH DIAMETER BRASS MARKER SECTION 260553 DIAMETER BRASS MARKER 260553,,unmapped,0.0,True,,,,False,,,,,
2015D142,0037,Connection to Existing Storm Drainage System (Section 312300),Each,EACH,False,312300,Connection to Existing Storm Drainage System,CONNECTION TO EXISTING STORM DRAINAGE SYSTEM SECTION 312300,CONNECTION TO EXISTING STORM DRAINAGE SYSTEM,CONNECTION TO EXISTING STORM DRAINAGE SYSTEM SECTION 312300 CONNECTION TO EXISTING STORM DRAINAGE SYSTEM 312300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0037,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC (Section 344300)",Each,EACH,False,344300,"Install PF LED Taxiway Centerline Light with PF Base Can, CF Transformer in New AC",INSTALL PF LED TAXIWAY CENTERLINE LIGHT WITH PF BASE CAN CF TRANSFORMER IN NEW AC SECTION 344300,INSTALL PF LED TAXIWAY CENTERLINE LIGHT WITH PF BASE CAN CF TRANSFORMER IN NEW AC,INSTALL PF LED TAXIWAY CENTERLINE LIGHT WITH PF BASE CAN CF TRANSFORMER IN NEW AC SECTION 344300 INSTALL PF LED TAXIWAY CENTERLINE LIGHT WITH PF BASE CAN CF TRANSFORMER IN NEW AC 344300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0038,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer (Section 344300),Each,EACH,False,344300,Install PF LED Taxiway Centerline Light on Existing Base Can with CF Isolation Transformer,INSTALL PF LED TAXIWAY CENTERLINE LIGHT ON EXISTING BASE CAN WITH CF ISOLATION TRANSFORMER SECTION 344300,INSTALL PF LED TAXIWAY CENTERLINE LIGHT ON EXISTING BASE CAN WITH CF ISOLATION TRANSFORMER,INSTALL PF LED TAXIWAY CENTERLINE LIGHT ON EXISTING BASE CAN WITH CF ISOLATION TRANSFORMER SECTION 344300 INSTALL PF LED TAXIWAY CENTERLINE LIGHT ON EXISTING BASE CAN WITH CF ISOLATION TRANSFORMER 344300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0039,Existing Catch Basin Adjustment to Grade (Section 312300),Each,EACH,False,312300,Existing Catch Basin Adjustment to Grade,EXISTING CATCH BASIN ADJUSTMENT TO GRADE SECTION 312300,EXISTING CATCH BASIN ADJUSTMENT TO GRADE,EXISTING CATCH BASIN ADJUSTMENT TO GRADE SECTION 312300 EXISTING CATCH BASIN ADJUSTMENT TO GRADE 312300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0039,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC (Section 344300)",Each,EACH,False,344300,"Install PF L-868, 12-Inch Diameter Base Can, PF Cover Plate in New AC",INSTALL PF L 868 12 INCH DIAMETER BASE CAN PF COVER PLATE IN NEW AC SECTION 344300,INSTALL PF L 868 12 INCH DIAMETER BASE CAN PF COVER PLATE IN NEW AC,INSTALL PF L 868 12 INCH DIAMETER BASE CAN PF COVER PLATE IN NEW AC SECTION 344300 INSTALL PF L 868 12 INCH DIAMETER BASE CAN PF COVER PLATE IN NEW AC 344300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0040,Adjustment of Existing Structures (H-20 Rated Vaults) (Section 312300),Each,EACH,False,312300,Adjustment of Existing Structures (H-20 Rated Vaults),ADJUSTMENT OF EXISTING STRUCTURES H 20 RATED VAULTS SECTION 312300,ADJUSTMENT OF EXISTING STRUCTURES H 20 RATED VAULTS,ADJUSTMENT OF EXISTING STRUCTURES H 20 RATED VAULTS SECTION 312300 ADJUSTMENT OF EXISTING STRUCTURES H 20 RATED VAULTS 312300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0040,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC (Section 344300)",Each,EACH,False,344300,"Install PF L-867, 12-Inch Diameter Base Can, PF Cover Plate in Existing AC",INSTALL PF L 867 12 INCH DIAMETER BASE CAN PF COVER PLATE IN EXISTING AC SECTION 344300,INSTALL PF L 867 12 INCH DIAMETER BASE CAN PF COVER PLATE IN EXISTING AC,INSTALL PF L 867 12 INCH DIAMETER BASE CAN PF COVER PLATE IN EXISTING AC SECTION 344300 INSTALL PF L 867 12 INCH DIAMETER BASE CAN PF COVER PLATE IN EXISTING AC 344300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0041,Adjustment of Existing Structures (229 Kip Rated Vaults) (Section 312300),Each,EACH,False,312300,Adjustment of Existing Structures (229 Kip Rated Vaults),ADJUSTMENT OF EXISTING STRUCTURES 229 KIP RATED VAULTS SECTION 312300,ADJUSTMENT OF EXISTING STRUCTURES 229 KIP RATED VAULTS,ADJUSTMENT OF EXISTING STRUCTURES 229 KIP RATED VAULTS SECTION 312300 ADJUSTMENT OF EXISTING STRUCTURES 229 KIP RATED VAULTS 312300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0041,Install PF Cover Plate on Existing Light Base (Section 344300),Each,EACH,False,344300,Install PF Cover Plate on Existing Light Base,INSTALL PF COVER PLATE ON EXISTING LIGHT BASE SECTION 344300,INSTALL PF COVER PLATE ON EXISTING LIGHT BASE,INSTALL PF COVER PLATE ON EXISTING LIGHT BASE SECTION 344300 INSTALL PF COVER PLATE ON EXISTING LIGHT BASE 344300,,unmapped,0.0,True,,,,False,,,,,
2015D142,0042,12-Inch DIP (Force Main) (Section 334100),LF,LF,False,334100,DIP (Force Main),12 INCH DIP FORCE MAIN SECTION 334100,DIP FORCE MAIN,12 INCH DIP FORCE MAIN SECTION 334100 DIP FORCE MAIN 334100,,unmapped,0.0,True,,,,False,,,,,
2015D142,0042,Adjust Existing Elevated Runway Threshold/Edge Light (Section 344301),Each,EACH,False,344301,Adjust Existing Elevated Runway Threshold/Edge Light,ADJUST EXISTING ELEVATED RUNWAY THRESHOLD EDGE LIGHT SECTION 344301,ADJUST EXISTING ELEVATED RUNWAY THRESHOLD EDGE LIGHT,ADJUST EXISTING ELEVATED RUNWAY THRESHOLD EDGE LIGHT SECTION 344301 ADJUST EXISTING ELEVATED RUNWAY THRESHOLD EDGE LIGHT 344301,,unmapped,0.0,True,,,,False,,,,,
2015D142,0043,30-Inch DIP (Force Main) (Section 334100),LF,LF,False,334100,DIP (Force Main),30 INCH DIP FORCE MAIN SECTION 334100,DIP FORCE MAIN,30 INCH DIP FORCE MAIN SECTION 334100 DIP FORCE MAIN 334100,,unmapped,0.0,True,,,,False,,,,,
2015D142,0043,Adjust Existing In-Pavement Runway Edge Light (Section 344301),Each,EACH,False,344301,Adjust Existing In-Pavement Runway Edge Light,ADJUST EXISTING IN PAVEMENT RUNWAY EDGE LIGHT SECTION 344301,ADJUST EXISTING IN PAVEMENT RUNWAY EDGE LIGHT,ADJUST EXISTING IN PAVEMENT RUNWAY EDGE LIGHT SECTION 344301 ADJUST EXISTING IN PAVEMENT RUNWAY EDGE LIGHT 344301,,unmapped,0.0,True,,,,False,,,,,
2015D142,0044,Riprap (Section 334100),CY,CY,False,334100,Riprap,RIPRAP SECTION 334100,RIPRAP,RIPRAP SECTION 334100 RIPRAP 334100,,unmapped,0.0,True,,,,False,,,,,
