project_ean,line_no,item_description_raw,unit_code_raw,unit_code_norm,is_totals_row,specification,pay_item_description,raw_norm,pay_item_norm,text_blob_norm,estimate_item,match_method,match_confidence,needs_review,division,cost_code,catalog_unit,needs_slicer,slicer_family,catalog_notes,size_in,material_or_type,spec_family
2015D006,0003,"Temporary Erosion, Sediment, and Pollution Control",LS,LS,False,UNCLASSIFIED,"Temporary Erosion, Sediment, and Pollution Control",TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL,TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL,TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0004,Site Demolition,LS,LS,False,UNCLASSIFIED,Site Demolition,SITE DEMOLITION,SITE DEMOLITION,SITE DEMOLITION SITE DEMOLITION UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0005,Clearing and Grubbing,LS,LS,False,UNCLASSIFIED,Clearing and Grubbing,CLEARING AND GRUBBING,CLEARING AND GRUBBING,CLEARING AND GRUBBING CLEARING AND GRUBBING UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0006,Trench Excavation and General Native Backfill,LF,LF,False,UNCLASSIFIED,Trench Excavation and General Native Backfill,TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL,TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL,TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL TRENCH EXCAVATION AND GENERAL NATIVE BACKFILL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0007,Trench Excavation and Select Native Backfill,LF,LF,False,UNCLASSIFIED,Trench Excavation and Select Native Backfill,TRENCH EXCAVATION AND SELECT NATIVE BACKFILL,TRENCH EXCAVATION AND SELECT NATIVE BACKFILL,TRENCH EXCAVATION AND SELECT NATIVE BACKFILL TRENCH EXCAVATION AND SELECT NATIVE BACKFILL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0008,Trench Excavation and Select Backfill,LF,LF,False,UNCLASSIFIED,Trench Excavation and Select Backfill,TRENCH EXCAVATION AND SELECT BACKFILL,TRENCH EXCAVATION AND SELECT BACKFILL,TRENCH EXCAVATION AND SELECT BACKFILL TRENCH EXCAVATION AND SELECT BACKFILL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0009,Offsite Haul and Disposal,CY,CY,False,UNCLASSIFIED,Offsite Haul and Disposal,OFFSITE HAUL AND DISPOSAL,OFFSITE HAUL AND DISPOSAL,OFFSITE HAUL AND DISPOSAL OFFSITE HAUL AND DISPOSAL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0010,Contaminated Soil Sediment Excavation and Disposal,Ton,TON,False,UNCLASSIFIED,Contaminated Soil Sediment Excavation and Disposal,CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL,CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL,CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL CONTAMINATED SOIL SEDIMENT EXCAVATION AND DISPOSAL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0011,Shoring,LS,LS,False,UNCLASSIFIED,Shoring,SHORING,SHORING,SHORING SHORING UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
2015D006,0012,Pipe Zone and Bedding Material,CY,CY,False,UNCLASSIFIED,Pipe Zone and Bedding Material,PIPE ZONE AND BEDDING MATERIAL,PIPE ZONE AND BEDDING MATERIAL,PIPE ZONE AND BEDDING MATERIAL PIPE ZONE AND BEDDING MATERIAL UNCLASSIFIED,,unmapped,0.0,True,,,,False,,,,,
