project_ean,line_no,item_description_raw,specification,parsed_specs,pay_item_description,unit_code_norm,estimate_item,division,cost_code,cost_code_desc,catalog_item_description,needs_slicer,slicer_family,size_in,material_or_type,spec_family,match_method,match_confidence,mapping_status,needs_review
2015D006,0001,"Mobilization, Surveying, Cleanup, and Demobilization",UNCLASSIFIED,,"Mobilization, Surveying, Cleanup, and Demobilization",LS,015000 Mobilization & Demobilization,01 General Requirements,015000,MobilizationandDemobilization,Mobilization & Demobilization,True,standard_slicer,,,NON_FAA,fuzzy_token_set,100.0,mapped,False
2015D006,0002,Work Zone Traffic Control,UNCLASSIFIED,,Work Zone Traffic Control,LS,015001 Work Zone and Traffic Control,01 General Requirements,015001,TrafficControl,Work Zone and Traffic Control,True,standard_slicer,,,NON_FAA,fuzzy_token_set,100.0,mapped,False
2015D006,0003,"Temporary Erosion, Sediment, and Pollution Control",UNCLASSIFIED,,"Temporary Erosion, Sediment, and Pollution Control",LS,,,,,,False,,,,,fuzzy_token_set,85.71,unmapped,True
2015D006,0004,Site Demolition,UNCLASSIFIED,,Site Demolition,LS,,,,,,False,,,,,fuzzy_token_set,80.0,unmapped,True
2015D006,0005,Clearing and Grubbing,UNCLASSIFIED,,Clearing and Grubbing,LS,,,,,,False,,,,,fuzzy_token_set,51.16,unmapped,True
2015D006,0006,Trench Excavation and General Native Backfill,UNCLASSIFIED,,Trench Excavation and General Native Backfill,LF,,,,,,False,,,,,fuzzy_token_set,74.07,unmapped,True
2015D006,0007,Trench Excavation and Select Native Backfill,UNCLASSIFIED,,Trench Excavation and Select Native Backfill,LF,,,,,,False,,,,,fuzzy_token_set,74.07,unmapped,True
2015D006,0008,Trench Excavation and Select Backfill,UNCLASSIFIED,,Trench Excavation and Select Backfill,LF,,,,,,False,,,,,fuzzy_token_set,74.07,unmapped,True
2015D006,0009,Offsite Haul and Disposal,UNCLASSIFIED,,Offsite Haul and Disposal,CY,,,,,,False,,,,,fuzzy_token_set,45.28,unmapped,True
2015D006,0010,Contaminated Soil Sediment Excavation and Disposal,UNCLASSIFIED,,Contaminated Soil Sediment Excavation and Disposal,TON,,,,,,False,,,,,fuzzy_token_set,72.73,unmapped,True
2015D006,0011,Shoring,UNCLASSIFIED,,Shoring,LS,,,,,,False,,,,,fuzzy_token_set,53.33,unmapped,True
2015D006,0012,Pipe Zone and Bedding Material,UNCLASSIFIED,,Pipe Zone and Bedding Material,CY,,,,,,False,,,,,fuzzy_token_set,50.0,unmapped,True
2015D006,0013,Trench Stabilization,UNCLASSIFIED,,Trench Stabilization,CY,312300 Trench Stabilization,31 Earthwork,312300,"Trenching,Backfilling,andCompacting",Trench Stabilization,True,standard_slicer,,,NON_FAA,fuzzy_token_set,100.0,mapped,False
2015D006,0014,Dewatering,UNCLASSIFIED,,Dewatering,LS,312319 Dewatering,31 Earthwork,312319,Dewatering,Dewatering,True,standard_slicer,,,NON_FAA,fuzzy_token_set,100.0,mapped,False
2015D006,0015,72-Inch Sewer Pipe,UNCLASSIFIED,,Sewer Pipe,LF,,,,,,False,,,,,fuzzy_token_set,57.14,unmapped,True
2015D006,0016,108-Inch Manhole,UNCLASSIFIED,,Manhole,EACH,"330516 48-Inch Manhole, Type A",33 Utilities,330516,UtilityStructures,"48-Inch Manhole, Type A",True,standard_slicer,108,,NON_FAA,fuzzy_token_set,100.0,mapped,False
2015D006,0017,120-Inch Manhole,UNCLASSIFIED,,Manhole,EACH,"330516 48-Inch Manhole, Type A",33 Utilities,330516,UtilityStructures,"48-Inch Manhole, Type A",True,standard_slicer,120,,NON_FAA,fuzzy_token_set,100.0,mapped,False
2015D006,0018,Subdrains,UNCLASSIFIED,,Subdrains,LF,,,,,,False,,,,,fuzzy_token_set,47.62,unmapped,True
2015D006,0019,Inlet (Type PB),UNCLASSIFIED,,Inlet (Type PB),EACH,,,,,,False,,,,,fuzzy_token_set,62.07,unmapped,True
2015D006,0020,McBride Slough Intake Structure,UNCLASSIFIED,,McBride Slough Intake Structure,LS,,,,,,False,,,,,fuzzy_token_set,54.24,unmapped,True
2015D006,0021,Columbia Slough Outfall Structure,UNCLASSIFIED,,Columbia Slough Outfall Structure,LS,,,,,,False,,,,,fuzzy_token_set,50.0,unmapped,True
2015D006,0022,Modified Concrete Curb and Gutter,UNCLASSIFIED,,Modified Concrete Curb and Gutter,LF,,,,,,False,,,,,fuzzy_token_set,59.38,unmapped,True
2015D006,0023,Sidewalk,UNCLASSIFIED,,Sidewalk,SF,,,,,,False,,,,,fuzzy_token_set,44.44,unmapped,True
