rule_id,rule_type,estimate_item,pattern,specification,priority,notes
r095,contains,600000 Electrical Costs,ELECTRICAL COSTS,,95,FAA electrical.
r099,spec_keyword,321723 Temporary Pavement Marking,MARKING,P-620,96,P-620 general marking routing.
r100,spec_keyword,321723 Pavement Marking Removal,REMOVE EXISTING MARKING,P-620,97,P-620 remove existing markings.
r101,spec_keyword,321723 Pavement Marking Removal,SURFACE PREPARATION REMOVE EXISTING MARKING,P-620,98,P-620 remove existing markings.
r102,spec_keyword,330516 Catch Basin (Generic),CATCH BASIN,D-751,99,D-751 catch basin generic.
r103,spec_keyword,510000 Subbase Course (P-154),SUBBASE COURSE,P-154,100,P-154 routing.
r104,spec_keyword,510000 Subbase Course (P-154),SUBBASECOURSE,P-154,101,P-154 merged text.
r105,spec_keyword,540000 Bituminous Base Course (P-403),ASPHALT MIXTURE BASE COURSE,P-403,102,P-403 base course routing.
r106,spec_keyword,540000 Bituminous Base Course (P-403),HMA BASE COURSE,P-403,103,P-403 base course routing.
r107,spec_keyword,540000 Bituminous Base Course (P-403),HOT MIX ASPHALT HMA BASE COURSE,P-403,104,P-403 base course routing.
r108,spec_keyword,590000 Hydroseeding (T-901),SEEDING,T-901,105,T-901 routing.
r109,contains,329219 Hydroseeding,AREA SEEDING,,106,Non-FAA seeding routing.
r110,contains,312000 Subgrade Preparation,CLEARING AND GRUBBING,,107,Site prep/grubbing routing.
r111,contains,24113 Portland Cement Concrete Removal,PAVEMENT REMOVAL PCC,,108,PCC pavement removal catch-all.
r112,contains,24113 Asphalt Concrete Milling,PAVEMENT REMOVAL ASPHALT,,109,Asphalt removal catch-all.
r113,spec_keyword,560000 Adhesive Compound (P-606),ADHESIVE COMPOUND,P-606,110,P-606 routing.
r114,spec_keyword,560000 Structural Portland Cement Concrete (P-610),CONCRETE,P-610,111,P-610 concrete routing.
r115,spec_keyword,560000 Structural Portland Cement Concrete (P-610),STEEL REINFORCEMENT,P-610,112,P-610 steel reinforcement routing.
r116,spec_keyword,560000 Asphalt Surface Treatment (P-608),ASPHALT SURFACE TREATMENT,P-608,113,P-608 routing.
r117,contains,330516 Connection to Existing Manhole or Inlet,CONNECTION TO EXISTING STORM DRAINAGE SYSTEM,,114,Storm connection routing.
r118,contains,15713 Misc Erosion Control,TEMPORARY EROSION SEDIMENT AND POLLUTION CONTROL,,115,Temporary erosion routing.
r119,spec_keyword,580000 Underdrain Pipe (D-705),PERFORATED HDPE PIPE,D-705,116,D-705 perforated routing.
r120,spec_keyword,580000 Underdrain Pipe (D-705),SOLID HDPE PIPE,D-705,117,D-705 solid routing.
r121,spec_keyword,510000 Subgrade Stabilization (P-152),STABILIZATION,P-152,118,P-152 stabilization routing.
r122,spec_keyword,510000 Subgrade Stabilization (P-152),SUBGRADE,P-152,119,P-152 subgrade routing.
