spec_code,spec_description
P-403,Plant Mix Bituminous Bases
P-501,Portland Cement Concrete Pavement
P-603,Bituminous Tack Coat
P-604,Compression Joint Seals for Concrete Pavements
P-605,Joint Sealing Filler
P-606,Adhesive Compounds
P-608,Asphalt Surface Treatment
P-610,Structural Portland Cement Concrete
P-620,Runway and Taxiway Painting
P-621,Saw-Cut Grooves
T-901,Seeding
T-905,Topsoiling
