Bid_ID,Item_ID,Contractor Name,Unit Price,Total Price,Is_Winner,Rank
1,1,EMERY & SONS,220000.0,220000.0,True,10
2,1,JAMES W FOWLER CO.,190000.0,190000.0,True,7
3,1,K&E EXCAVATING INC.,140000.0,140000.0,True,4
4,1,KERR CONTRACTORS OREGON INC.,161387.0,161387.0,True,6
5,1,MJ HUGHES CONSTRUCTION INC.,200000.0,200000.0,True,8
6,1,MOORE EXCAVATION INC.,240000.0,240000.0,True,11
7,1,NUTTER CORPORATION,200321.22,200321.22,True,9
8,1,ROTSHY INC.,159350.0,159350.0,True,5
9,1,TAPANI INC.,105000.0,105000.0,True,3
10,1,THOMPSON BROS EXCAVATING INC.,200000.0,200000.0,True,8
11,1,WEITMAN EXCAVATION LLC,85860.0,85860.0,True,1
12,1,WILDISH STANDARD PAVING CO.,100000.0,100000.0,True,2
13,2,EMERY & SONS,10000.0,10000.0,True,1
14,2,JAMES W FOWLER CO.,10000.0,10000.0,True,1
15,2,K&E EXCAVATING INC.,23000.0,23000.0,True,6
16,2,KERR CONTRACTORS OREGON INC.,20685.0,20685.0,True,4
17,2,MJ HUGHES CONSTRUCTION INC.,20000.0,20000.0,True,3
18,2,MOORE EXCAVATION INC.,25000.0,25000.0,True,7
19,2,NUTTER CORPORATION,20000.0,20000.0,True,3
20,2,ROTSHY INC.,20000.0,20000.0,True,3
21,2,TAPANI INC.,15000.0,15000.0,True,2
22,2,THOMPSON BROS EXCAVATING INC.,21000.0,21000.0,True,5
23,2,WEITMAN EXCAVATION LLC,30250.0,30250.0,True,8
24,2,WILDISH STANDARD PAVING CO.,53500.0,53500.0,True,9
25,3,EMERY & SONS,15000.0,15000.0,True,3
26,3,JAMES W FOWLER CO.,10000.0,10000.0,True,1
27,3,K&E EXCAVATING INC.,11000.0,11000.0,True,2
28,3,KERR CONTRACTORS OREGON INC.,21675.0,21675.0,True,6
29,3,MJ HUGHES CONSTRUCTION INC.,20000.0,20000.0,True,5
30,3,MOORE EXCAVATION INC.,40000.0,40000.0,True,10
31,3,NUTTER CORPORATION,15000.0,15000.0,True,3
32,3,ROTSHY INC.,35000.0,35000.0,True,9
33,3,TAPANI INC.,25000.0,25000.0,True,7
34,3,THOMPSON BROS EXCAVATING INC.,29000.0,29000.0,True,8
35,3,WEITMAN EXCAVATION LLC,18530.0,18530.0,True,4
36,3,WILDISH STANDARD PAVING CO.,15000.0,15000.0,True,3
37,4,EMERY & SONS,15000.0,15000.0,True,8
38,4,JAMES W FOWLER CO.,2300.0,2300.0,True,2
39,4,K&E EXCAVATING INC.,8000.0,8000.0,True,4
40,4,KERR CONTRACTORS OREGON INC.,2225.0,2225.0,True,1
41,4,MJ HUGHES CONSTRUCTION INC.,10000.0,10000.0,True,5
42,4,MOORE EXCAVATION INC.,15000.0,15000.0,True,8
43,4,NUTTER CORPORATION,20000.0,20000.0,True,9
44,4,ROTSHY INC.,10000.0,10000.0,True,5
45,4,TAPANI INC.,10000.0,10000.0,True,5
46,4,THOMPSON BROS EXCAVATING INC.,12000.0,12000.0,True,7
47,4,WEITMAN EXCAVATION LLC,10100.0,10100.0,True,6
48,4,WILDISH STANDARD PAVING CO.,5000.0,5000.0,True,3
49,5,EMERY & SONS,55000.0,55000.0,True,10
50,5,JAMES W FOWLER CO.,30000.0,30000.0,True,8
51,5,K&E EXCAVATING INC.,16000.0,16000.0,True,4
52,5,KERR CONTRACTORS OREGON INC.,17000.0,17000.0,True,5
53,5,MJ HUGHES CONSTRUCTION INC.,35000.0,35000.0,True,9
54,5,MOORE EXCAVATION INC.,20000.0,20000.0,True,6
55,5,NUTTER CORPORATION,35000.0,35000.0,True,9
56,5,ROTSHY INC.,35000.0,35000.0,True,9
57,5,TAPANI INC.,23000.0,23000.0,True,7
58,5,THOMPSON BROS EXCAVATING INC.,10000.0,10000.0,True,2
59,5,WEITMAN EXCAVATION LLC,9900.0,9900.0,True,1
60,5,WILDISH STANDARD PAVING CO.,12000.0,12000.0,True,3
61,6,EMERY & SONS,768.0,443136.0,True,11
62,6,JAMES W FOWLER CO.,145.0,83665.0,True,8
63,6,K&E EXCAVATING INC.,143.0,82511.0,True,7
64,6,KERR CONTRACTORS OREGON INC.,160.0,92320.0,True,9
65,6,MJ HUGHES CONSTRUCTION INC.,200.0,115400.0,True,10
66,6,MOORE EXCAVATION INC.,40.0,23080.0,True,2
67,6,NUTTER CORPORATION,60.0,34620.0,True,4
68,6,ROTSHY INC.,55.0,31735.0,True,3
69,6,TAPANI INC.,90.0,51930.0,True,5
70,6,THOMPSON BROS EXCAVATING INC.,160.0,92320.0,True,9
71,6,WEITMAN EXCAVATION LLC,138.0,79626.0,True,6
72,6,WILDISH STANDARD PAVING CO.,35.0,20195.0,True,1
73,7,EMERY & SONS,755.0,469610.0,True,12
74,7,JAMES W FOWLER CO.,145.0,90190.0,True,5
75,7,K&E EXCAVATING INC.,172.0,106984.0,True,8
76,7,KERR CONTRACTORS OREGON INC.,218.0,135596.0,True,11
77,7,MJ HUGHES CONSTRUCTION INC.,200.0,124400.0,True,9
78,7,MOORE EXCAVATION INC.,45.0,27990.0,True,1
79,7,NUTTER CORPORATION,60.0,37320.0,True,2
80,7,ROTSHY INC.,110.0,68420.0,True,3
81,7,TAPANI INC.,160.0,99520.0,True,6
82,7,THOMPSON BROS EXCAVATING INC.,170.0,105740.0,True,7
83,7,WEITMAN EXCAVATION LLC,202.0,125644.0,True,10
84,7,WILDISH STANDARD PAVING CO.,120.0,74640.0,True,4
85,8,EMERY & SONS,1160.0,55680.0,True,9
86,8,JAMES W FOWLER CO.,800.0,38400.0,True,7
87,8,K&E EXCAVATING INC.,1307.0,62736.0,True,10
88,8,KERR CONTRACTORS OREGON INC.,900.0,43200.0,True,8
89,8,MJ HUGHES CONSTRUCTION INC.,700.0,33600.0,True,6
90,8,MOORE EXCAVATION INC.,300.0,14400.0,True,4
91,8,NUTTER CORPORATION,200.0,9600.0,True,2
92,8,ROTSHY INC.,195.0,9360.0,True,1
93,8,TAPANI INC.,250.0,12000.0,True,3
94,8,THOMPSON BROS EXCAVATING INC.,800.0,38400.0,True,7
95,8,WEITMAN EXCAVATION LLC,589.0,28272.0,True,5
96,8,WILDISH STANDARD PAVING CO.,300.0,14400.0,True,4
97,9,EMERY & SONS,20.0,121200.0,True,10
98,9,JAMES W FOWLER CO.,12.0,72720.0,True,4
99,9,K&E EXCAVATING INC.,8.0,48480.0,True,2
100,9,KERR CONTRACTORS OREGON INC.,16.0,96960.0,True,8
101,9,MJ HUGHES CONSTRUCTION INC.,7.0,42420.0,True,1
102,9,MOORE EXCAVATION INC.,17.0,103020.0,True,9
103,9,NUTTER CORPORATION,15.0,90900.0,True,7
104,9,ROTSHY INC.,15.0,90900.0,True,7
105,9,TAPANI INC.,14.0,84840.0,True,6
106,9,THOMPSON BROS EXCAVATING INC.,9.25,56055.0,True,3
107,9,WEITMAN EXCAVATION LLC,20.0,121200.0,True,10
108,9,WILDISH STANDARD PAVING CO.,13.0,78780.0,True,5
109,10,EMERY & SONS,55.0,14025.0,True,2
110,10,JAMES W FOWLER CO.,46.0,11730.0,True,1
111,10,K&E EXCAVATING INC.,55.0,14025.0,True,2
112,10,KERR CONTRACTORS OREGON INC.,62.0,15810.0,True,3
113,10,MJ HUGHES CONSTRUCTION INC.,75.0,19125.0,True,7
114,10,MOORE EXCAVATION INC.,135.0,34425.0,True,9
115,10,NUTTER CORPORATION,55.0,14025.0,True,2
116,10,ROTSHY INC.,70.0,17850.0,True,5
117,10,TAPANI INC.,160.0,40800.0,True,10
118,10,THOMPSON BROS EXCAVATING INC.,64.0,16320.0,True,4
119,10,WEITMAN EXCAVATION LLC,72.0,18360.0,True,6
120,10,WILDISH STANDARD PAVING CO.,100.0,25500.0,True,8
121,11,EMERY & SONS,4000.0,4000.0,True,1
122,11,JAMES W FOWLER CO.,10000.0,10000.0,True,2
123,11,K&E EXCAVATING INC.,16000.0,16000.0,True,3
124,11,KERR CONTRACTORS OREGON INC.,159000.0,159000.0,True,9
125,11,MJ HUGHES CONSTRUCTION INC.,130000.0,130000.0,True,8
126,11,MOORE EXCAVATION INC.,280000.0,280000.0,True,11
127,11,NUTTER CORPORATION,20000.0,20000.0,True,4
128,11,ROTSHY INC.,40300.0,40300.0,True,5
129,11,TAPANI INC.,20000.0,20000.0,True,4
130,11,THOMPSON BROS EXCAVATING INC.,50000.0,50000.0,True,6
131,11,WEITMAN EXCAVATION LLC,205000.0,205000.0,True,10
132,11,WILDISH STANDARD PAVING CO.,75000.0,75000.0,True,7
133,12,EMERY & SONS,33.0,97020.0,True,6
134,12,JAMES W FOWLER CO.,26.0,76440.0,True,1
135,12,K&E EXCAVATING INC.,28.0,82320.0,True,2
136,12,KERR CONTRACTORS OREGON INC.,33.0,97020.0,True,6
137,12,MJ HUGHES CONSTRUCTION INC.,30.0,88200.0,True,4
138,12,MOORE EXCAVATION INC.,34.0,99960.0,True,7
139,12,NUTTER CORPORATION,30.0,88200.0,True,4
140,12,ROTSHY INC.,45.0,132300.0,True,8
141,12,TAPANI INC.,32.0,94080.0,True,5
142,12,THOMPSON BROS EXCAVATING INC.,34.0,99960.0,True,7
143,12,WEITMAN EXCAVATION LLC,28.2,82908.0,True,3
144,12,WILDISH STANDARD PAVING CO.,30.0,88200.0,True,4
145,13,EMERY & SONS,80.0,44400.0,True,10
146,13,JAMES W FOWLER CO.,60.0,33300.0,True,4
147,13,K&E EXCAVATING INC.,63.0,34965.0,True,5
148,13,KERR CONTRACTORS OREGON INC.,70.0,38850.0,True,7
149,13,MJ HUGHES CONSTRUCTION INC.,30.0,16650.0,True,2
150,13,MOORE EXCAVATION INC.,135.0,74925.0,True,11
151,13,NUTTER CORPORATION,67.0,37185.0,True,6
152,13,ROTSHY INC.,20.0,11100.0,True,1
