project_id,bid_schedule_id,bidder_id,schedule_total,total_row_label
160655528747404,232662927853804,98803519755433,0.0,Total Amount Base Bid and Alternate A
160655528747404,232662927853804,75707085692795,0.0,Total Amount Base Bid and Alternate A
160655528747404,232662927853804,135091691391058,0.0,Total Amount Base Bid and Alternate A
160655528747404,232662927853804,41839509867123,0.0,Total Amount Base Bid and Alternate A
160655528747404,232662927853804,274266078181820,0.0,Total Amount Base Bid and Alternate A
117716242556720,248109328445177,75068507122808,1106888.0,Total Amount Bid (Basis of Award)
117716242556720,248109328445177,43979822199150,1115115.0,Total Amount Bid (Basis of Award)
117716242556720,248109328445177,274266078181820,1168910.0,Total Amount Bid (Basis of Award)
46182236383810,230620917900061,147619682317042,896865.0,Total Amount Bid (Basis of Award)
46182236383810,230620917900061,37638004524146,739739.0,Total Amount Bid (Basis of Award)
46182236383810,230620917900061,86807887803384,859054.0,Total Amount Bid (Basis of Award)
46182236383810,230620917900061,123927223530469,793777.0,Total Amount Bid (Basis of Award)
46182236383810,230620917900061,57820503909123,793788.22,Total Amount Bid (Basis of Award)
46182236383810,230620917900061,280739963836319,596016.0,Total Amount Bid (Basis of Award)
46182236383810,230620917900061,274266078181820,1154834.0,Total Amount Bid (Basis of Award)
271727070087654,46368230569178,228914162093017,5162112.0,Total Amount Bid (Basis of Award)
271727070087654,46368230569178,245774538621,3636850.0,Total Amount Bid (Basis of Award)
271727070087654,46368230569178,215019814996123,2749983.5,Total Amount Bid (Basis of Award)
271727070087654,46368230569178,193670450983870,4545318.0,Total Amount Bid (Basis of Award)
271727070087654,46368230569178,272035330440213,2781118.64,Total Amount Bid (Basis of Award)
271727070087654,46368230569178,82337278601519,3194069.0,Total Amount Bid (Basis of Award)
271727070087654,46368230569178,274266078181820,3567690.0,Total Amount Bid (Basis of Award)
36295416390842,208988349843125,187068953646339,784844.0000000001,Total Amount Bid (Basis of Award)
36295416390842,208988349843125,37638004524146,787786.5,Total Amount Bid (Basis of Award)
36295416390842,208988349843125,274266078181820,868026.0,Total Amount Bid (Basis of Award)
213805383148315,192359969997724,252560231292266,1166116.0,Total Amount Bid (Basis of Award)
213805383148315,192359969997724,17256245838915,1107892.6,Total Amount Bid (Basis of Award)
213805383148315,192359969997724,222339858453412,1327206.5,Total Amount Bid (Basis of Award)
213805383148315,192359969997724,14924172228966,1098785.0,Total Amount Bid (Basis of Award)
213805383148315,192359969997724,168301323033810,1485471.0,Total Amount Bid (Basis of Award)
213805383148315,192359969997724,169309446715130,1100732.0,Total Amount Bid (Basis of Award)
213805383148315,192359969997724,274266078181820,927553.0,Total Amount Bid (Basis of Award)
76616359021330,140338308092136,167247403588119,453834.2,Total Amount Bid Schedule 1
76616359021330,140338308092136,27295717716252,883714.1936,Total Amount Bid Schedule 1
76616359021330,140338308092136,274266078181820,456448.15,Total Amount Bid Schedule 1
76616359021330,227071733515051,167247403588119,10972.0,Total Amount Bid Schedule 2
76616359021330,227071733515051,27295717716252,23676.0,Total Amount Bid Schedule 2
76616359021330,227071733515051,274266078181820,18200.0,Total Amount Bid Schedule 2
76616359021330,227071733515051,167247403588119,464806.2,Total Amount Bid (Basis of Award)
76616359021330,227071733515051,27295717716252,907390.1936,Total Amount Bid (Basis of Award)
76616359021330,227071733515051,274266078181820,474648.15,Total Amount Bid (Basis of Award)
108683441724331,60763001262341,167247403588119,6387362.329999999,Total Amount Bid (Basis of Award)
108683441724331,60763001262341,215019814996123,7573242.0,Total Amount Bid (Basis of Award)
108683441724331,60763001262341,274266078181820,14797443.2,Total Amount Bid (Basis of Award)
108683441724331,165322116920294,167247403588119,2405600.23,Total Amount Additive Alternate 1
108683441724331,165322116920294,215019814996123,2275969.0,Total Amount Additive Alternate 1
108683441724331,165322116920294,274266078181820,4682259.45,Total Amount Additive Alternate 1
108683441724331,118917750908473,167247403588119,2840799.4400000004,Total Amount Additive Alternate 2
108683441724331,118917750908473,215019814996123,2580308.0,Total Amount Additive Alternate 2
108683441724331,118917750908473,274266078181820,5771816.6,Total Amount Additive Alternate 2
