pay_item_id,item_code_raw,item_code_norm,section_code_raw,section_code_norm,item_desc_canonical
19696694864163,,,344301,344301,Adjust Existing Taxiway Edge Light to New Finish Elevation (Section 344301)
19764829499202,,,344300,344300,"Reinstall LED Taxiway Centerline Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in New AC (Section 344300)"
20237506493612,P-608,P-608,,,Asphalt Surface Treatment (Item P-608)
20443004960814,,,,,"InstallPF12""Diameter,24""DeepBaseCanwithPFCoverinNewACPShoulder (Section344300)"
20472036339813,,,,,StreambedSediment (Section354000)
20873304712297,,,012200,012200,"PCC Spall Panel Repair, 5-15 SF (Section 012200)"
21192614459897,,,,,Area Seeding
21393516846973,,,,,SurfacePreparation-NewPavementSurface (ItemP-620)
21875780170313,T-905,T-905,,,Topsoil (Obtained on Site or Removed from Stockpile) (Item T-905)
22985711329203,,,024113,024113,Building Slab and Foundation Removal (Section 024113)
23239833391181,P-605,P-605,,,Concrete to Asphalt Joint Seal (Item P-605)
23290504248931,,,321613,321613,Concrete Utility Hub Pavement - 4-Inch (Section 321613)
23907873617791,P-101,P-101,,,Cold Milling - 4-Inch Depth (Item P-101)
24340114288806,D-701,D-701,,,48-Inch STS Pipe (Item D-701)
24786279564779,D-701,D-701,,,30-Inch Slide Gate (Item D-701)
25023875411609,,,,,One-Year Landscape Maintenance
25031673814444,,,260500,260500,Install Underground Power Conductors for Apron Lights and Communications (Section 260500)
25968644388773,,,312300,312300,Connection to Existing Storm Drainage System (Section 312300)
26195435495306,P-620,P-620,,,Marking (Item P-620)
26316509656062,P-620,P-620,,,Surface Preparation - Remarking (Item P-620)
26340797194731,,,,,Site Demolition
26358503805870,,,,,"Mobilization, Surveying, Cleanup, and Demobilization"
26672830090542,,,,,Aggregate Base Course (Sections 012200 and 321123)
26728557923039,,,344300,344300,"Reinstall Elevated Taxiway Edge Light w/ PF Base Can, PF Extension, PF Flange Ring, and CF Transformer in Existing AC (Section 344300)"
26822486306019,,,344302,344302,Sign A4-7 (Section 344302)
27078010728420,,,012200,012200,"PCC Crack Repair, Original (Section 012200)"
27544875201932,,,,,Security Control Monitoring
27794328481431,,,344300,344300,Reinstall Taxiway Edge Light on Existing Base Can with Existing Transformer (Section 344300)
27970808827609,,,344300,344300,Install PF Elevated Runway Guard Light with CF Transformer on Existing Light Base (Section 344300)
28063566480660,,,,,PVC Conduit (Power) - 4 Inch
28256372895490,,,312300,312300,Existing Manhole Adjustment to Grade - Minor Adjustment (Section 312300)
28858699310850,,,,,Mobilization (ItemC-105)
28919256277801,,,,,"Pavement Removal and Disposal, 6-inch Depth (Sections 012200 and 024113)"
