Item_ID,Project_ID,Item Sequence,Specification Code,Item Description,Estimated Quantity,Unit
1368,28,0029,012200,48-Inch Manhole,9.0,EACH
1369,28,0030,012200,72-Inch Manhole,15.0,EACH
1370,28,0031,012200,120-Inch Manhole,1.0,EACH
1371,28,0032,012200,Extra Manhole Depth (48-Inch),4.0,LF
1372,28,0033,012200,Extra Manhole Depth (72-Inch),35.0,LF
1373,28,0034,012200,Extra Manhole Depth (120-Inch),4.0,LF
1374,29,0001,012200,"Mobilization, Surveying, Cleanup, and Demobilization",1.0,LS
1375,29,0002,012200,Sweeper,1.0,LS
1376,29,0003,012200,Security Control Monitoring,1.0,LS
1377,29,0004,012200,Work Zone and Traffic Control,1.0,LS
1378,29,0005,012200,Escort,1.0,LS
1379,29,0006,012200,"PCC Spall Panel Repair, 0-1 SF",99.0,EACH
1380,29,0007,012200,"PCC Spall Panel Repair, 1-5 SF",53.0,EACH
1381,29,0008,012200,"PCC Spall Panel Repair, 5-15 SF",16.0,EACH
1382,29,0009,012200,"PCC Crack Repair, Original",3210.0,LF
1383,29,0010,012200,"PCC Crack Repair, Renewal",350.0,LF
1384,29,0011,P-604,Compression Joint Seals for Concrete Pavements,79900.0,LF
1385,29,0012,P-605,Concrete to Concrete Joint Seal (Silicone),3500.0,LF
1386,29,0013,P-605,Concrete to Asphalt Joint Seal,1740.0,LF
