bidder_id,bidder_type,bidder_name_raw,bidder_name_canonical,contractor_name_canonical
57820503909123,CONTRACTOR,Nutter Corporation,NUTTER CORPORATION,NUTTER CORPORATION
62957401708902,CONTRACTOR,Goodfellows Bros. LLC,GOODFELLOWS BROS LLC,GOODFELLOWS BROS LLC
70421096182958,CONTRACTOR,"Goodfella Bros., Inc.",GOODFELLA BROS INC.,GOODFELLA BROS INC.
71335327893695,CONTRACTOR,Apex Mechanical LLC,APEX MECHANICAL LLC,APEX MECHANICAL LLC
75068507122808,CONTRACTOR,"Colvico, Inc.",COLVICO INC.,COLVICO INC.
75707085692795,CONTRACTOR,Name of Contractor 6,NAME OF CONTRACTOR 6,NAME OF CONTRACTOR 6
82337278601519,CONTRACTOR,"PHK Construction, LLC",PHK CONSTRUCTION LLC,PHK CONSTRUCTION LLC
83347123552896,CONTRACTOR,Emery & Sons,EMERY & SONS,EMERY & SONS
83686034592852,CONTRACTOR,"McClure and Sons, Inc.",MCCLURE AND SONS INC.,MCCLURE AND SONS INC.
86807887803384,CONTRACTOR,"McDonald Excavating, Inc.",MCDONALD EXCAVATING INC.,MCDONALD EXCAVATING INC.
87291211230064,CONTRACTOR,"K & E Excavating, Inc.",K & E EXCAVATING INC.,K & E EXCAVATING INC.
91698353496743,CONTRACTOR,"Pullman SST, Inc.",PULLMAN SST INC.,PULLMAN SST INC.
98803519755433,CONTRACTOR,Name of Contractor 5,NAME OF CONTRACTOR 5,NAME OF CONTRACTOR 5
123927223530469,CONTRACTOR,"NTA Contracting, Inc.",NTA CONTRACTING INC.,NTA CONTRACTING INC.
129059408166008,CONTRACTOR,"Goodfellow Bros., Inc.",GOODFELLOW BROS INC.,GOODFELLOW BROS INC.
135091691391058,CONTRACTOR,Name of Contractor 7,NAME OF CONTRACTOR 7,NAME OF CONTRACTOR 7
137081571649707,CONTRACTOR,Name of Contractor 1,NAME OF CONTRACTOR 1,NAME OF CONTRACTOR 1
143227019900586,CONTRACTOR,Roger Langeliers Construction Co.,ROGER LANGELIERS CONSTRUCTION CO.,ROGER LANGELIERS CONSTRUCTION CO.
146948468913677,CONTRACTOR,Kerr Contractors Oregon LCC,KERR CONTRACTORS OREGON LCC,KERR CONTRACTORS OREGON LCC
147619682317042,CONTRACTOR,"Interlaken, Inc.",INTERLAKEN INC.,INTERLAKEN INC.
161673056860344,CONTRACTOR,Hamilton Construction Co.,HAMILTON CONSTRUCTION CO.,HAMILTON CONSTRUCTION CO.
166076569004274,CONTRACTOR,"Thompson Bros. Excavating, Inc.",THOMPSON BROS EXCAVATING INC.,THOMPSON BROS EXCAVATING INC.
166372372948875,CONTRACTOR,"Rotshy, Inc.",ROTSHY INC.,ROTSHY INC.
166376454654603,CONTRACTOR,"M.J. Hughes Construction, Inc.",M.J HUGHES CONSTRUCTION INC.,M.J HUGHES CONSTRUCTION INC.
167247403588119,CONTRACTOR,Fortis Construction Inc.,FORTIS CONSTRUCTION INC.,FORTIS CONSTRUCTION INC.
167247403588119,CONTRACTOR,"Fortis Construction, Inc.",FORTIS CONSTRUCTION INC.,FORTIS CONSTRUCTION INC.
168301323033810,CONTRACTOR,Weitman Excavation,WEITMAN EXCAVATION,WEITMAN EXCAVATION
168323065192465,CONTRACTOR,"Weitman Excavation, LLC",WEITMAN EXCAVATION LLC,WEITMAN EXCAVATION LLC
169309446715130,CONTRACTOR,"Wildish Standard Paving, Co.",WILDISH STANDARD PAVING CO.,WILDISH STANDARD PAVING CO.
169309446715130,CONTRACTOR,Wildish Standard Paving Co.,WILDISH STANDARD PAVING CO.,WILDISH STANDARD PAVING CO.
169401789299050,CONTRACTOR,Nutter Corp.,NUTTER CORP.,NUTTER CORP.
170071940635055,CONTRACTOR,"Brix Paving Northwest, Inc.",BRIX PAVING NORTHWEST INC.,BRIX PAVING NORTHWEST INC.
186051106202505,CONTRACTOR,Name of Contractor 4,NAME OF CONTRACTOR 4,NAME OF CONTRACTOR 4
187068953646339,CONTRACTOR,"Dirt and Aggregate Interchange, Inc.",DIRT AND AGGREGATE INTERCHANGE INC.,DIRT AND AGGREGATE INTERCHANGE INC.
187900935193576,CONTRACTOR,"Acme Concrete Paving, Inc.",ACME CONCRETE PAVING INC.,ACME CONCRETE PAVING INC.
188295788688541,CONTRACTOR,Name of Contractor 2,NAME OF CONTRACTOR 2,NAME OF CONTRACTOR 2
193670450983870,CONTRACTOR,"Northstar Electrical Contractors, Inc.",NORTHSTAR ELECTRICAL CONTRACTORS INC.,NORTHSTAR ELECTRICAL CONTRACTORS INC.
198087834707933,CONTRACTOR,"TEK Construction, Inc.",TEK CONSTRUCTION INC.,TEK CONSTRUCTION INC.
203639838271451,CONTRACTOR,"Kerr Contractors Oregon, Inc.",KERR CONTRACTORS OREGON INC.,KERR CONTRACTORS OREGON INC.
203639838271451,CONTRACTOR,"Kerr Contractors, Oregon, Inc.",KERR CONTRACTORS OREGON INC.,KERR CONTRACTORS OREGON INC.
204240278876214,CONTRACTOR,Name of Contractor 3,NAME OF CONTRACTOR 3,NAME OF CONTRACTOR 3
215019814996123,CONTRACTOR,"Northeast Electric, LLC",NORTHEAST ELECTRIC LLC,NORTHEAST ELECTRIC LLC
218498073378273,CONTRACTOR,Coffman Excavation,COFFMAN EXCAVATION,COFFMAN EXCAVATION
222339858453412,CONTRACTOR,Knife River Corporation - Northwest,KNIFE RIVER CORPORATION - NORTHWEST,KNIFE RIVER CORPORATION - NORTHWEST
228914162093017,CONTRACTOR,Kiewit Infrastructure West Co.,KIEWIT INFRASTRUCTURE WEST CO.,KIEWIT INFRASTRUCTURE WEST CO.
232625519619415,CONTRACTOR,Western United Civil Group LLC,WESTERN UNITED CIVIL GROUP LLC,WESTERN UNITED CIVIL GROUP LLC
252560231292266,CONTRACTOR,Granite Construction Company,GRANITE CONSTRUCTION COMPANY,GRANITE CONSTRUCTION COMPANY
254003460683426,CONTRACTOR,American Road Maintenance,AMERICAN ROAD MAINTENANCE,AMERICAN ROAD MAINTENANCE
257602055531824,CONTRACTOR,Stellar J Corporation,STELLAR J CORPORATION,STELLAR J CORPORATION
264362577598158,CONTRACTOR,"Pacific Excavation, Inc.",PACIFIC EXCAVATION INC.,PACIFIC EXCAVATION INC.
271255515053079,CONTRACTOR,"Moore Excavation, Inc.",MOORE EXCAVATION INC.,MOORE EXCAVATION INC.
272035330440213,CONTRACTOR,"OEG, Inc.",OEG INC.,OEG INC.
274266078181820,ENGINEERS_ESTIMATE,Engineer's Estimate,ENGINEER'S ESTIMATE,
280739963836319,CONTRACTOR,"Tapani, Inc.",TAPANI INC.,TAPANI INC.
280739963836319,CONTRACTOR,Tapani Inc.,TAPANI INC.,TAPANI INC.
