project_id,ean,solicitation_no,project_name,letting_date,location_name_raw,location_code,source_file,source_system
2813578467267,2019D031,2022-10081,RUNWAY 13R-31L AND,2026-02-02,"HILLSBOROAIRPORT K & E Excavating, Inc. Kerr Contractors Oregon LCC Kodiak Pacific Construction Engineer's Estimate",,HIO Runway 13R-31L Bid Tab.xlsx,excel_bidtab
18863568529250,2018D027,2019-8247,SOUTHEAST TAXIWAY T REHABILITATION,2020-01-16,"PORTLAND INTERNATIONAL AIRPORT K&E Excavating, Inc. Kerr Contractors Oregon LLC Kodiak Pacific Construction Nutter Corporation Tapani, Inc. Engineer's Estimate",,Taxiway T Bid Tab.xlsx,excel_bidtab
19029008185844,2023D016,2025-12566,TAXIWAYS K WEST AND E REHABILITATION,2025-12-19,"PORTLAND INTERNATIONAL AIRPORT K&E Excavating, Inc. Kerr Contractors Oregon, LLC Kodiak Pacific Construction Tapani Inc. Western United Civil Group LLC Engineer's Estimate",,PDX_2023D016.xlsx,excel_bidtab
29261552511506,2021D001,2022-10053,OREGON AIR NATIONAL GUARD,2025-02-25,PORTLAND INTERNATIONAL AIRPORT Kodiak Pacific Construction Co. Magnum Power LLC Engineer's Estimate,,PDX ORANG Reversion Areas Bid Tab.xlsx,excel_bidtab
36295416390842,2020D009,2023-10179,AIR CARGO ROAD MULTI-USE PATH CONNECTOR,2023-05-05,"PORTLAND INTERNATIONAL AIRPORT Dirt and Aggregate Interchange, Inc. Kodiak Pacific Construction Engineer's Estimate",,PDX_2020D009.xlsx,excel_bidtab
38507834040098,2023D011,2023-10218,TAXIWAY A WEST REHABILITATION,2025-01-14,"PORTLAND INTERNATIONAL AIRPORT Coffman Excavation Granite Construction Company K&E Excavating, Inc. Kerr Contractors Oregon, LLC Tapani, Inc. Engineer's Estimate",,PDX_2023D011.xlsx,excel_bidtab
46182236383810,2018D015,2019-8315,NORTHWEST AIRFIELD,2020-02-13,"PORTLAND INTERNATIONAL AIRPORT Interlaken, Inc. Kodiak Pacific Construction McDonald Excavating, Inc. NTA Contracting, Inc. Nutter Corporation Tapani, Inc.",,PDX_2018D015.xlsx,excel_bidtab
60783703158588,2022D027,2023-10352,NORTH RAMP RON PARKING RECONSTRUCTION - PHASE 2,2024-12-18,"PORTLAND INTERNATIONAL AIRPORT K&E Excavating, Inc. Kodiak Pacific Construction Lee Contractors LLC M.J. Hughes Construction, Inc. Nutter Corporation Engineer's Estimate",,PDX-RON Ph2 Bid Tab.xlsx,excel_bidtab
74617395428025,2021D017,2022-8514,RUNWAY 25 END RELOCATION AND SLURRY SEAL,2025-04-08,"TROUTDALE AIRPORT C.R. Contracting, LLC Granite Construction Company Engineer's Estimate",,TTD Runway 25 Bid Tab.xlsx,excel_bidtab
76616359021330,2021D007,2022-9477,SEA SCOUTS SITE,2023-01-30,PORTLAND INTERNATIONAL AIRPORT Fortis Construction Inc. Inline Commercial Construction Inc. Engineer's Estimate,,PDX_2021D007 Bid Tab.xlsx,excel_bidtab
90310574435136,2015D147,2016-6920,TAXIWAY B CENTER AND EXITS REHABILITATION,2017-01-19,"PORTLAND INTERNATIONAL AIRPORT Goodfella Bros., Inc. K&E Excavating, Inc. Kerr Contractors Oregon, Inc. Kodiak Pacific Construction Nutter Corp. Wildish Standard Paving Co.",,PDX_15D147BidTab.xlsx,excel_bidtab
105649754022759,2022D028,2023-10399,"TAXIWAYS A, K, T AND SOUTH RUNWAY",2026-01-20,"PORTLAND INTERNATIONAL AIRPORT Granite Construction Company K & E Excavating, Inc. Kerr Contractors Oregon LLC Lakeside Industries, Inc. Engineer's Estimate",,"PDX Taxways A, K, T Bid Tab.xlsx",excel_bidtab
108683441724331,2023D003,2024-10481,EGSE INFRASTRUCTURE INSTALLATION - PHASE 2,2024-03-26,"PORTLAND INTERNATIONAL AIRPORT Fortis Construction, Inc. Northeast Electric, LLC Engineer's Estimate",,PDX_2023D003.xlsx,excel_bidtab
116522259111558,2021D025,2022-9690,BERTH 503 REHABILITATION,2026-01-20,TERMINAL 5 Hamilton Construction Co. Stellar J Corporation Engineer's Estimate,,T5 Berth 503 Rehab Bid Tab.xlsx,excel_bidtab
117716242556720,2017D029,2018-7600,RUNWAY 10L-28R CIRCUIT REPLACEMENT,2018-04-17,"PORTLAND INTERNATIONAL AIRPORT Colvico, Inc. Vellutini Corporation dba Royal Electric Company Engineer's Estimate",,PDX_2017D029.xlsx,excel_bidtab
119086843025311,2024D016,2025-12724,BASIN 1 SUBAREA STORMWATER IMPROVEMENTS,2026-01-07,"PORTLAND INTERNATIONAL AIRPORT Apex Mechanical LLC Coffman Excavation Goodfellow Bros. LLC Interlaken, Inc. K&E Excavating, Inc. Kerr Contractors Oregon, LLC",,PDX_2024D016 - Bid Set Bid Tab.xlsx,excel_bidtab
136362472391999,2024D045,2024-10691,RESERVE RAMP JOINT AND CRACK SEAL,2025-03-19,"PORTLAND INTERNATIONAL AIRPORT Acme Concrete Paving, Inc. C.R. Contracting, LLC Pullman SST, Inc. Roger Langeliers Construction Co. Engineer's Estimate",,PDX_2024D045.xlsx,excel_bidtab
160655528747404,2017D013,2018-7876,TAXIWAY K REHABILITATION,2026-02-09,PORTLAND INTERNATIONAL AIRPORT Name of Contractor 1 Name of Contractor 2 Name of Contractor 3 Name of Contractor 4 Name of Contractor 5 Name of Contractor 6,,PDX_2017D013.xlsx,excel_bidtab
166065200063512,2016D18,2017-7319,AIRPORT WAY AND FRONTAGE ROAD REHABILITATION,2017-05-30,"PORTLAND INTERNATIONAL AIRPORT Granite Construction Company K&E Excavating, Inc. Kerr Contractors Oregon, Inc. Kodiak Pacific Construction Engineer's Estimate",,PDX_2016D018 Airport Way.xlsx,excel_bidtab
168984254519106,2015D142,2017-6981,RUNWAY 3-21 STORMWATER INFRASTRUCTURE AND,2017-05-25,"PORTLAND INTERNATIONAL AIRPORT Goodfellow Bros., Inc. K&E Excavating, Inc. Kerr Contractors Oregon, Inc. Kodiak Pacific Construction Nutter Corporation Engineer's Estimate",,PDX_2015D142 BidTab.xlsx,excel_bidtab
174039817627347,2015D006,2015-6576,COLWOOD PIPE AND OUTFALLS,2016-01-28,"PORTLAND INTERNATIONAL AIRPORT Emery & Sons James W. Fowler Co. K&E Excavating, Inc.",,PDX_2015D006.xlsx,excel_bidtab
174039817627347,2015D006,2015-6576,COLWOOD PIPE AND OUTFALLS,2016-01-28,"PORTLAND INTERNATIONAL AIRPORT Kerr Contractors, Oregon, Inc. MJ Hughes Construction, Inc. Moore Excavation, Inc.",,PDX_2015D006.xlsx,excel_bidtab
174039817627347,2015D006,2015-6576,COLWOOD PIPE AND OUTFALLS,2016-01-28,"PORTLAND INTERNATIONAL AIRPORT Nutter Corporation Rotshy, Inc. Tapani, Inc.",,PDX_2015D006.xlsx,excel_bidtab
174039817627347,2015D006,2015-6576,COLWOOD PIPE AND OUTFALLS,2016-01-28,"PORTLAND INTERNATIONAL AIRPORT Thompson Bros. Excavating, Inc. Weitman Excavation, LLC Wildish Standard Paving, Co.",,PDX_2015D006.xlsx,excel_bidtab
203439116038536,2023D028,2024-10569,AIR CARGO ROAD AND INTERSECTION IMPROVEMENTS,2025-02-09,"PORTLAND INTERNATIONAL AIRPORT Brix Paving Northwest, Inc. Dirt & Aggregate Interchange Kerr Contractors Oregon, LLC Knife River Corporation - Northwest Kodiak Pacific Construction Pacific Excavation, Inc.",,PDX_2023D028.xlsx,excel_bidtab
204200562926858,2023D025,2024-10566,SANITARY LIFT STATION REHABILITATION,2025-03-10,"PORTLAND INTERNATIONAL AIRPORT MJ Hughes Construction, Inc. Engineer's Estimate",,PDX Lift Station Bid Tab.xlsx,excel_bidtab
213805383148315,2020D022,2021-9127,TAXIWAY T REHABILITATION - EXIT B4 TO B5,2021-12-16,"PORTLAND INTERNATIONAL AIRPORT Granite Construction Company Kerr Contractors Oregon LLC Knife River Corporation - Northwest Lakeside Industries, Inc. Weitman Excavation Wildish Standard Paving Co.",,PDX_2020D022.xlsx,excel_bidtab
234626808992381,2023D018,2024-10519,RUNWAY AND TAXIWAY SEALS (RE-BID),2026-01-26,"HILLSBORO AIRPORT American Road Maintenance C.R. Contracting, LLC Specialized Pavement Marking, LLC Engineer's Estimate",,HIO Runway and Taxway Seals Bid Tab.xlsx,excel_bidtab
248266473955014,2016D015,2017-7254,BASIN 7 REGIONAL STORMWATER FACILITY,2017-05-25,"PORTLAND INTERNATIONAL AIRPORT Goodfellow Bros., Inc. James W. Fowler Co. K&E Excavating, Inc. Kodiak Pacific Construction McClure and Sons, Inc. Moore Excavation, Inc.",,PDX_2016D015 Basin 7.xlsx,excel_bidtab
271727070087654,2020D008,2021-8920,KENNEDY FEEDER AND KILLINGSWORTH EXTENSION,2021-06-04,"PORTLAND INTERNATIONAL AIRPORT Kiewit Infrastructure West Co. Magnum Power, LLC Northeast Electric, LLC Northstar Electrical Contractors, Inc. OEG, Inc. PHK Construction, LLC",,PDX_2020D008.xlsx,excel_bidtab
275274610743064,2018D029,2020-8113,NORTH RAMP RON PARKING RECONSTRUCTION,2020-01-14,"PORTLAND INTERNATIONAL AIRPORT Goodfellows Bros. LLC K&E Excavating, Inc. Kerr Contractors Oregon LLC Kodiak Pacific Construction Nutter Corporation Tapani, Inc.",,PDX-RON Bid Tab.xlsx,excel_bidtab
