pay_item_id,spec_extract,standard_code,standard_cat,item_code_raw,section_code_raw,alt_code,item_desc_raw,item_desc_canonical
1092,,,UNKNOWN,,,,Electrical Demo (Existing ORANG),Electrical Demo (Existing ORANG)
1093,,,UNKNOWN,,,,Electrical Feeder Conductor Assembly,Electrical Feeder Conductor Assembly
1094,,,UNKNOWN,,,,Electrical Feeder Conductor Termination and Testing,Electrical Feeder Conductor Termination and Testing
1095,,,UNKNOWN,,,,Electrical Feeder Installation in Vaults,Electrical Feeder Installation in Vaults
1096,,,UNKNOWN,,,,Electrical Modifications,Electrical Modifications
1097,,,UNKNOWN,,,,Embankment,Embankment
1098,,,UNKNOWN,,,,Encasement Over Existing Waterlin,Encasement Over Existing Waterlin
1099,,,UNKNOWN,,,,Escort,Escort
1100,,,UNKNOWN,,,,Fence Fabric Removal,Fence Fabric Removal
1101,,,UNKNOWN,,,,Fender Panel Rehabilitation,Fender Panel Rehabilitation
1102,,,UNKNOWN,,,,"Fill Material, Top Soil","Fill Material, Top Soil"
1103,,,UNKNOWN,,,,"Fill Material, Topsoil","Fill Material, Topsoil"
1104,,,UNKNOWN,,,,Fire Hydrant Assembly,Fire Hydrant Assembly
1105,,,UNKNOWN,,,,General Demolition,General Demolition
1106,,,UNKNOWN,,,,Geotextile,Geotextile
1107,,,UNKNOWN,,,,Geotextile Fabric,Geotextile Fabric
1108,,,UNKNOWN,,,,Guard Rail Removal and Replacement,Guard Rail Removal and Replacement
1109,,,UNKNOWN,,,,H-20 Traffic-Rated Electrical Vaults,H-20 Traffic-Rated Electrical Vaults
1110,,,UNKNOWN,,,,H-Frame Support,H-Frame Support
1111,,,UNKNOWN,,,,"HDPE Interduct (Comm) - 1 1/4""",HDPE Interduct (Comm) - 1 1/4
1112,,,UNKNOWN,,,,Hand Rail,Hand Rail
1113,,,UNKNOWN,,,,Hollow Core Deck Panel Replacement,Hollow Core Deck Panel Replacement
1114,,,UNKNOWN,,,,Inlet (Type PB),Inlet (Type PB)
1115,,,UNKNOWN,,,,Inlet Protection,Inlet Protection
1116,,,UNKNOWN,,,,Irrigation Replacement,Irrigation Replacement
1117,,,UNKNOWN,,,,Joint Repair,Joint Repair
1118,,,UNKNOWN,,,,Joint Repair at Panel Step,Joint Repair at Panel Step
1119,,,UNKNOWN,,,,Kennedy Feeder Pad-Mount Switch,Kennedy Feeder Pad-Mount Switch
1120,,,UNKNOWN,,,,Kennedy Feeder Point-of-Service Access Pad,Kennedy Feeder Point-of-Service Access Pad
1121,,,UNKNOWN,,,,Landscape Restoration,Landscape Restoration
1122,,,UNKNOWN,,,,Landside Utility Disconnections,Landside Utility Disconnections
1123,,,UNKNOWN,,,,Lead Paint Chip Removal,Lead Paint Chip Removal
1124,,,UNKNOWN,,,,"Level 3, 1/2-Inch Dense HMAC","Level 3, 1/2-Inch Dense HMAC"
1125,,,UNKNOWN,,,,"Level 3, 1/2-Inch-Dense HMAC","Level 3, 1/2-Inch-Dense HMAC"
1126,,,UNKNOWN,,,,"Level 3, 3/4-Inch Dense HMAC","Level 3, 3/4-Inch Dense HMAC"
1127,,,UNKNOWN,,,,Lighting,Lighting
1128,,,UNKNOWN,,,,"Loose Riprap, Class 50","Loose Riprap, Class 50"
1129,,,UNKNOWN,,,,Manhole and Catch Basin Adjustment,Manhole and Catch Basin Adjustment
1130,,,UNKNOWN,,,,McBride Slough Intake Structure,McBride Slough Intake Structure
1131,,,UNKNOWN,,,,Metalizing Repairs,Metalizing Repairs
1132,,,UNKNOWN,,,,Metalizing System at Edge Beams,Metalizing System at Edge Beams
1133,,,UNKNOWN,,,,Metered Switchgear Installation,Metered Switchgear Installation
1134,,,UNKNOWN,,,,Mini-Power Zone (10 KVA),Mini-Power Zone (10 KVA)
1135,,,UNKNOWN,,,,Miscellaneous Removals and Backfill,Miscellaneous Removals and Backfill
1136,,,UNKNOWN,,,,"Mobilization, Cleanup, and Demobilization","Mobilization, Cleanup, and Demobilization"
1137,,,UNKNOWN,,,,"Mobilization, Surveying, Cleanup, and Demobilization","Mobilization, Surveying, Cleanup, and Demobilization"
1138,,,UNKNOWN,,,,Modifications to Existing Wet Well,Modifications to Existing Wet Well
1139,,,UNKNOWN,,,,Modified Concrete Curb and Gutter,Modified Concrete Curb and Gutter
1140,,,UNKNOWN,,,,Monolithic Curb and Sidewalk,Monolithic Curb and Sidewalk
1141,,,UNKNOWN,,,,Mulch,Mulch
1142,,,UNKNOWN,,,,Offsite Haul and Disposal,Offsite Haul and Disposal
1143,,,UNKNOWN,,,,One-Year Landscape Maintenance,One-Year Landscape Maintenance
1144,,,UNKNOWN,,,,PVC Conduit (Comm) - 4 Inch,PVC Conduit (Comm) - 4 Inch
1145,,,UNKNOWN,,,,PVC Conduit (Power) - 2 Inch,PVC Conduit (Power) - 2 Inch
1146,,,UNKNOWN,,,,PVC Conduit (Power) - 3 Inch,PVC Conduit (Power) - 3 Inch
1147,,,UNKNOWN,,,,PVC Conduit (Power) - 4 Inch,PVC Conduit (Power) - 4 Inch
1148,,,UNKNOWN,,,,PVC Conduit (Power) - 6 Inch,PVC Conduit (Power) - 6 Inch
1149,,,UNKNOWN,,,,"Panelboard - 240/120V, 100A, 1-Phase, NEMA 3R","Panelboard - 240/120V, 100A, 1-Phase, NEMA 3R"
1150,,,UNKNOWN,,,,"Panelboard - 480Y/277V, 100A, 3-Phase, NEMA 3R","Panelboard - 480Y/277V, 100A, 3-Phase, NEMA 3R"
1151,,,UNKNOWN,,,,Pavement Marking,Pavement Marking
1152,,,UNKNOWN,,,,"Pavement Marking, Painted","Pavement Marking, Painted"
1153,,,UNKNOWN,,,,"Pavement Marking, Temporary","Pavement Marking, Temporary"
1154,,,UNKNOWN,,,,"Pavement Marking, Thermoplastic","Pavement Marking, Thermoplastic"
1155,,,UNKNOWN,,,,Pavement Markings,Pavement Markings
1156,,,UNKNOWN,,,,Pavement Removal,Pavement Removal
1157,,,UNKNOWN,,,,"Pavement Removal and Disposal, 9-Inch Depth","Pavement Removal and Disposal, 9-Inch Depth"
1158,,,UNKNOWN,,,,Pile Crack Repair,Pile Crack Repair
1159,,,UNKNOWN,,,,Pile Spall Repair,Pile Spall Repair
1160,,,UNKNOWN,,,,Pipe Zone and Bedding Material,Pipe Zone and Bedding Material
1161,,,UNKNOWN,,,,Portland Cement Concrete Pavement (9-Inch),Portland Cement Concrete Pavement (9-Inch)
1162,,,UNKNOWN,,,,Project Traffic Control,Project Traffic Control
1163,,,UNKNOWN,,,,Reinforced Concrete Pad,Reinforced Concrete Pad
1164,,,UNKNOWN,,,,Removal of Existing Lid from Stormwater Treatment Vault,Removal of Existing Lid from Stormwater Treatment Vault
1165,,,UNKNOWN,,,,"Removal of Existing Storm Pipe, Manholes, Pumps, Valves, Hangers, Vaults, and Brackets","Removal of Existing Storm Pipe, Manholes, Pumps, Valves, Hangers, Vaults, and Brackets"
1166,,,UNKNOWN,,,,Remove and Reinstall 12-Inch Ductile Iron Pipe,Remove and Reinstall 12-Inch Ductile Iron Pipe
1167,,,UNKNOWN,,,,Remove and Reinstall Catch Basin,Remove and Reinstall Catch Basin
1168,,,UNKNOWN,,,,Remove and Reinstall Chain Link Fence,Remove and Reinstall Chain Link Fence
1169,,,UNKNOWN,,,,Remove and Replace Compression Seal,Remove and Replace Compression Seal
1170,,,UNKNOWN,,,,Remove and Replace Embedded Anodes,Remove and Replace Embedded Anodes
1171,,,UNKNOWN,,,,Security Control Monitoring,Security Control Monitoring
1172,,,UNKNOWN,,,,Sediment Fence,Sediment Fence
1173,,,UNKNOWN,,,,Septic Tank and Drain Field Removal,Septic Tank and Drain Field Removal
1174,,,UNKNOWN,,,,Shoring,Shoring
1175,,,UNKNOWN,,,,Sidewalk,Sidewalk
1176,,,UNKNOWN,,,,Signage,Signage
1177,,,UNKNOWN,,,,Signal Modification,Signal Modification
1178,,,UNKNOWN,,,,Site Demolition,Site Demolition
1179,,,UNKNOWN,,,,Site Preparation,Site Preparation
1180,,,UNKNOWN,,,,Soffit and Vertical Crack Repair,Soffit and Vertical Crack Repair
1181,,,UNKNOWN,,,,Soffit and Vertical Face Delamination and Spall Repair,Soffit and Vertical Face Delamination and Spall Repair
1182,,,UNKNOWN,,,,Soffit and Vertical Face Delamination and Spall Repair with Anodes,Soffit and Vertical Face Delamination and Spall Repair with Anodes
1183,,,UNKNOWN,,,,Stabilized Construction Entrance,Stabilized Construction Entrance
1184,,,UNKNOWN,,,,Standard 8-Inch Concrete Curb,Standard 8-Inch Concrete Curb
1185,,,UNKNOWN,,,,Storm Culvert,Storm Culvert
1186,,,UNKNOWN,,,,Stormwater Flow Through Pollution Reduction Facility,Stormwater Flow Through Pollution Reduction Facility
1187,,,UNKNOWN,,,,Stormwater Pump Station,Stormwater Pump Station
1188,,,UNKNOWN,,,,Stormwater Treatment Vault Cover,Stormwater Treatment Vault Cover
1189,,,UNKNOWN,,,,Stormwater Treatment Vaults,Stormwater Treatment Vaults
1190,,,UNKNOWN,,,,Subdrains,Subdrains
1191,,,UNKNOWN,,,,Subgrade Preparation,Subgrade Preparation
1192,,,UNKNOWN,,,,Surfacings Removal,Surfacings Removal
1193,,,UNKNOWN,,,,Sweeper,Sweeper
1194,,,UNKNOWN,,,,Sweeper Section (012200),Sweeper Section (012200)
1195,,,UNKNOWN,,,,Tack Coat,Tack Coat
1196,,,UNKNOWN,,,,Temporary Erosion and Sediment Control,Temporary Erosion and Sediment Control
1197,,,UNKNOWN,,,,"Temporary Erosion, Sediment, and Pollution Control","Temporary Erosion, Sediment, and Pollution Control"
1198,,,UNKNOWN,,,,Temporary Traffic Control,Temporary Traffic Control
1199,,,UNKNOWN,,,,Traffic Control,Traffic Control
1200,,,UNKNOWN,,,,Tree and Plant Protection,Tree and Plant Protection
1201,,,UNKNOWN,,,,Trench Excavation,Trench Excavation
1202,,,UNKNOWN,,,,Trench Excavation and General Native Backfill,Trench Excavation and General Native Backfill
1203,,,UNKNOWN,,,,Trench Excavation and Select Backfill,Trench Excavation and Select Backfill
1204,,,UNKNOWN,,,,Trench Excavation and Select Native Backfill,Trench Excavation and Select Native Backfill
1205,,,UNKNOWN,,,,Trench Stabilization,Trench Stabilization
1206,,,UNKNOWN,,,,Trenchless Installation,Trenchless Installation
1207,,,UNKNOWN,,,,Trestle Cross-Brace Rehabilitation,Trestle Cross-Brace Rehabilitation
1208,,,UNKNOWN,,,,Two 6-Inch Conduits by Directional Drilling Method,Two 6-Inch Conduits by Directional Drilling Method
1209,,,UNKNOWN,,,,Unclassified Excavation (P-152),Unclassified Excavation (P-152)
1210,,,UNKNOWN,,,,Unsuitable Excavation and Disposal,Unsuitable Excavation and Disposal
1211,,,UNKNOWN,,,,Utility Adjustments to Grade,Utility Adjustments to Grade
1212,,,UNKNOWN,,,,"Utility Removal, Relocation, and Backfill","Utility Removal, Relocation, and Backfill"
1213,,,UNKNOWN,,,,Valley Gutter,Valley Gutter
1214,,,UNKNOWN,,,,Vault (Comm) - 444-LA,Vault (Comm) - 444-LA
1215,,,UNKNOWN,,,,Vault (Comm) - 444-LA (Traffic Rated),Vault (Comm) - 444-LA (Traffic Rated)
1216,,,UNKNOWN,,,,Vault (Power) - 575-PCORP,Vault (Power) - 575-PCORP
1217,,,UNKNOWN,,,,Vault (Power) - 575-TRANS-PCORP,Vault (Power) - 575-TRANS-PCORP
1218,,,UNKNOWN,,,,Vault (Power) - 712-SWITCH-PCORP,Vault (Power) - 712-SWITCH-PCORP
1219,,,UNKNOWN,,,,Vault (Power) - 776-TRANS-PCORP,Vault (Power) - 776-TRANS-PCORP
1220,,,UNKNOWN,,,,Vault (Power) - 776-TRANS-PCORP (Traffic Rated),Vault (Power) - 776-TRANS-PCORP (Traffic Rated)
1221,,,UNKNOWN,,,,Vehicle Detection Loops,Vehicle Detection Loops
1222,,,UNKNOWN,,,,Water Well Decommission,Water Well Decommission
1223,,,UNKNOWN,,,,Work Zone Traffic Control,Work Zone Traffic Control
1224,,,UNKNOWN,,,,XHHW Conductor - #10 AWG (Power),XHHW Conductor - #10 AWG (Power)
1225,,,UNKNOWN,,,,XHHW Conductor - #12 AWG (Power),XHHW Conductor - #12 AWG (Power)
1226,,,UNKNOWN,,,,XHHW Conductor - #3 AWG (Power),XHHW Conductor - #3 AWG (Power)
1227,,,UNKNOWN,,,,XHHW Conductor - #6 AWG (Power),XHHW Conductor - #6 AWG (Power)
1228,,,UNKNOWN,,,,XHHW Conductor - #8 AWG (Power),XHHW Conductor - #8 AWG (Power)
1229,012200,012200,PDX,,,334100,12-Inch STS (Sections 012200 and 334100),12-Inch STS (Sections 012200 and 334100)
1230,012200,012200,PDX,,,334100,120-Inch Manhole (Sections 012200 and 334100),120-Inch Manhole (Sections 012200 and 334100)
1231,012200,012200,PDX,,,334100,18-Inch STS (Sections 012200 and 334100),18-Inch STS (Sections 012200 and 334100)
1232,012200,012200,PDX,,,,3'HighBlueReflectiveMarkers (Section012200),3'HighBlueReflectiveMarkers (Section012200)
1233,012200,012200,PDX,,,334100,36-Inch STS (Sections 012200 and 334100),36-Inch STS (Sections 012200 and 334100)
1234,012200,012200,PDX,,,334100,48-Inch Manhole (Sections 012200 and 334100),48-Inch Manhole (Sections 012200 and 334100)
1235,012200,012200,PDX,,,334100,48-Inch STS (Sections 012200 and 334100),48-Inch STS (Sections 012200 and 334100)
1236,012200,012200,PDX,,,334100,72-Inch Manhole (Sections 012200 and 334100),72-Inch Manhole (Sections 012200 and 334100)
1237,012200,012200,PDX,,,334100,8-Inch STS (Sections 012200 and 334100),8-Inch STS (Sections 012200 and 334100)
1238,012200,012200,PDX,,012200,,Abandon Existing Monitoring Well (Section 012200),Abandon Existing Monitoring Well (Section 012200)
1239,012200,012200,PDX,,,334100,Abandon Existing Structure (Sections 012200 and 334100),Abandon Existing Structure (Sections 012200 and 334100)
1240,012200,012200,PDX,,,334100,Abandon and Plug Storm Pipe (Sections 012200 and 334100),Abandon and Plug Storm Pipe (Sections 012200 and 334100)
1241,012200,012200,PDX,,,321123,Aggregate Base Course (Sections 012200 and 321123),Aggregate Base Course (Sections 012200 and 321123)
1242,012200,012200,PDX,,,321200,Asphalt Concrete Pavement (Sections 012200 and 321200),Asphalt Concrete Pavement (Sections 012200 and 321200)
1243,012200,012200,PDX,,012200,,B6 Electrical (Section 012200),B6 Electrical (Section 012200)
1244,012200,012200,PDX,,012200,,B6 Replacement of Existing Lids and Hatches (Section 012200),B6 Replacement of Existing Lids and Hatches (Section 012200)
1245,012200,012200,PDX,,012200,,B6 Temporary Airfield Lighting Circuit Connection (Section 012200),B6 Temporary Airfield Lighting Circuit Connection (Section 012200)
1246,012200,012200,PDX,,012200,,B6 Valve Vault (SSVLT 1202) Concrete Repair (Section 012200),B6 Valve Vault (SSVLT 1202) Concrete Repair (Section 012200)
1247,012200,012200,PDX,,012200,,B6 Valve Vault (SSVLT 1202) Mechanical Rehabilitation (Section 012200),B6 Valve Vault (SSVLT 1202) Mechanical Rehabilitation (Section 012200)
1248,012200,012200,PDX,,012200,,B6 Wet Well (SSLS 950) Concrete Repair (Section 012200),B6 Wet Well (SSLS 950) Concrete Repair (Section 012200)
1249,012200,012200,PDX,,012200,,B6 Wet Well (SSLS 950) Mechanical Rehabilitation (Section 012200),B6 Wet Well (SSLS 950) Mechanical Rehabilitation (Section 012200)
1250,012200,012200,PDX,,,334100,Catch Basins/Inlets (Sections 012200 and 334100),Catch Basins/Inlets (Sections 012200 and 334100)
1251,012200,012200,PDX,,,312000,Clearing and Grubbing (Sections 012200 and 312000),Clearing and Grubbing (Sections 012200 and 312000)
1252,012200,012200,PDX,,,334100,Connection to Existing Drainage Structure (Sections 012200 and 334100),Connection to Existing Drainage Structure (Sections 012200 and 334100)
1253,012200,012200,PDX,,012200,,Construction Survey (Section 012200),Construction Survey (Section 012200)
1254,012200,012200,PDX,,012200,,Contaminated Soil Handling and Management (Section 012200),Contaminated Soil Handling and Management (Section 012200)
1255,012200,012200,PDX,,,026100,Contaminated Soil Removal and Haul (Sections 012200 and 026100),Contaminated Soil Removal and Haul (Sections 012200 and 026100)
1256,012200,012200,PDX,,012200,,D9 Electrical (Section 012200),D9 Electrical (Section 012200)
1257,012200,012200,PDX,,012200,,D9 Replacement of Existing Lids and Hatches (Section 012200),D9 Replacement of Existing Lids and Hatches (Section 012200)
1258,012200,012200,PDX,,012200,,D9 Valve Vault (STSVLT 863) Concrete Repair (Section 012200),D9 Valve Vault (STSVLT 863) Concrete Repair (Section 012200)
1259,012200,012200,PDX,,012200,,D9 Valve Vault (STSVLT 863) Mechanical Rehabilitation (Section 012200),D9 Valve Vault (STSVLT 863) Mechanical Rehabilitation (Section 012200)
1260,012200,012200,PDX,,012200,,D9 Wet Well (SSLS 953) Concrete Repair (Section 012200),D9 Wet Well (SSLS 953) Concrete Repair (Section 012200)
1261,012200,012200,PDX,,012200,,D9 Wet Well (SSLS 953) Mechanical Rehabilitation (Section 012200),D9 Wet Well (SSLS 953) Mechanical Rehabilitation (Section 012200)
1262,012200,012200,PDX,,012200,,Delineators (Section 012200),Delineators (Section 012200)
1263,012200,012200,PDX,,012200,,Dewatering (Section 012200),Dewatering (Section 012200)
1264,012200,012200,PDX,,,312000,"Embankment, Ditch (Sections 012200 and 312000)","Embankment, Ditch (Sections 012200 and 312000)"
1265,012200,012200,PDX,,012200,,Erosion and Sediment Control (Section 012200),Erosion and Sediment Control (Section 012200)
1266,012200,012200,PDX,,012200,,Escort (Section 012200),Escort (Section 012200)
1267,012200,012200,PDX,,,,Escort (Section012200),Escort (Section012200)
1268,012200,012200,PDX,,,334100,Extra Manhole Depth (120-Inch) (Sections 012200 and 334100),Extra Manhole Depth (120-Inch) (Sections 012200 and 334100)
1269,012200,012200,PDX,,,334100,Extra Manhole Depth (48-Inch) (Sections 012200 and 334100),Extra Manhole Depth (48-Inch) (Sections 012200 and 334100)
1270,012200,012200,PDX,,,334100,Extra Manhole Depth (72-Inch) (Sections 012200 and 334100),Extra Manhole Depth (72-Inch) (Sections 012200 and 334100)
1271,012200,012200,PDX,,,,"Fill Material, Topsoil (Sections 012200, 312000, and 329113)","Fill Material, Topsoil (Sections 012200, 312000, and 329113)"
1272,012200,012200,PDX,,,024113,General Demolition (Sections 012200 and 024113),General Demolition (Sections 012200 and 024113)
1273,012200,012200,PDX,,012200,,"Mobilization, Cleanup, and Demobilization (Section 012200)","Mobilization, Cleanup, and Demobilization (Section 012200)"
1274,012200,012200,PDX,,012200,,"Mobilization, Surveying, Cleanup, and Demobilization (Section 012200)","Mobilization, Surveying, Cleanup, and Demobilization (Section 012200)"
1275,012200,012200,PDX,,012200,,"PCC Crack Repair, Original (Section 012200)","PCC Crack Repair, Original (Section 012200)"
1276,012200,012200,PDX,,012200,,"PCC Crack Repair, Renewal (Section 012200)","PCC Crack Repair, Renewal (Section 012200)"
1277,012200,012200,PDX,,012200,,"PCC Spall Panel Repair, 0-1 SF (Section 012200)","PCC Spall Panel Repair, 0-1 SF (Section 012200)"
1278,012200,012200,PDX,,012200,,"PCC Spall Panel Repair, 1-5 SF (Section 012200)","PCC Spall Panel Repair, 1-5 SF (Section 012200)"
1279,012200,012200,PDX,,012200,,"PCC Spall Panel Repair, 5-15 SF (Section 012200)","PCC Spall Panel Repair, 5-15 SF (Section 012200)"
1280,012200,012200,PDX,,,024113,"Pavement Removal and Disposal, 6-inch Depth (Sections 012200 and 024113)","Pavement Removal and Disposal, 6-inch Depth (Sections 012200 and 024113)"
1281,012200,012200,PDX,,,321300,Portland Cement Concrete Pavement (10-Inch Thick) (Sections 012200 and 321300),Portland Cement Concrete Pavement (10-Inch Thick) (Sections 012200 and 321300)
