pay_item_id,spec_extract,standard_code,standard_cat,item_code_raw,section_code_raw,alt_code,item_desc_raw,item_desc_canonical
1001,,,UNKNOWN,,,,#REF!,#REF!
1002,,,UNKNOWN,,,,0,0
1003,,,UNKNOWN,,,,108-Inch Manhole,108-Inch Manhole
1004,,,UNKNOWN,,,,12-Inch DIP Water Pipe,12-Inch DIP Water Pipe
1005,,,UNKNOWN,,,,12-Inch Ductile Iron Sewer Pipe,12-Inch Ductile Iron Sewer Pipe
1006,,,UNKNOWN,,,,12-Inch Storm Sewer Pipe,12-Inch Storm Sewer Pipe
1007,,,UNKNOWN,,,,120-Inch Manhole,120-Inch Manhole
1008,,,UNKNOWN,,,,15-Inch Storm Sewer Pipe,15-Inch Storm Sewer Pipe
1009,,,UNKNOWN,,,,16-Inch Butterfly Valve,16-Inch Butterfly Valve
1010,,,UNKNOWN,,,,16-Inch DIP Water Pipe,16-Inch DIP Water Pipe
1011,,,UNKNOWN,,,,16-Inch Reduced Pressure Detector Assembly and Enclosure,16-Inch Reduced Pressure Detector Assembly and Enclosure
1012,,,UNKNOWN,,,,2-Inch Air Release Valve Assembly,2-Inch Air Release Valve Assembly
1013,,,UNKNOWN,,,,2-Inch Gate Valve,2-Inch Gate Valve
1014,,,UNKNOWN,,,,2-Inch Water Meter,2-Inch Water Meter
1015,,,UNKNOWN,,,,2-Inch Water Pipe,2-Inch Water Pipe
1016,,,UNKNOWN,,,,21-Inch Storm Sewer Pipe,21-Inch Storm Sewer Pipe
1017,,,UNKNOWN,,,,21-Inch Storm Sewer Pipe (RCP),21-Inch Storm Sewer Pipe (RCP)
1018,,,UNKNOWN,,,,24-Inch Storm Sewer (Force Main) Pipe,24-Inch Storm Sewer (Force Main) Pipe
1019,,,UNKNOWN,,,,24-Inch Storm Sewer Pipe,24-Inch Storm Sewer Pipe
1020,,,UNKNOWN,,,,3-Inch DR9 Pex Water Pipe,3-Inch DR9 Pex Water Pipe
1021,,,UNKNOWN,,,,3-Inch Gate Valve,3-Inch Gate Valve
1022,,,UNKNOWN,,,,4-Inch DIP Water Pipe,4-Inch DIP Water Pipe
1023,,,UNKNOWN,,,,4-Inch Gate Valve,4-Inch Gate Valve
1024,,,UNKNOWN,,,,4-Inch Reduced Pressure Backflow Assembly and Enclosure,4-Inch Reduced Pressure Backflow Assembly and Enclosure
1025,,,UNKNOWN,,,,4-Inch Water Pipe,4-Inch Water Pipe
1026,,,UNKNOWN,,,,48-Inch Manhole,48-Inch Manhole
1027,,,UNKNOWN,,,,6-Foot Chain-Link Slatted Fence Fabric,6-Foot Chain-Link Slatted Fence Fabric
1028,,,UNKNOWN,,,,6-Inch Gate Valve,6-Inch Gate Valve
1029,,,UNKNOWN,,,,6-Inch Water Pipe,6-Inch Water Pipe
1030,,,UNKNOWN,,,,60-Inch Manhole,60-Inch Manhole
1031,,,UNKNOWN,,,,72-Inch Corrugated Metal Riser,72-Inch Corrugated Metal Riser
1032,,,UNKNOWN,,,,72-Inch Manhole,72-Inch Manhole
1033,,,UNKNOWN,,,,72-Inch Sewer Pipe,72-Inch Sewer Pipe
1034,,,UNKNOWN,,,,8-Inch Gate Valve,8-Inch Gate Valve
1035,,,UNKNOWN,,,,Adjustment of Existing Structures (H-20 Rated Vaults),Adjustment of Existing Structures (H-20 Rated Vaults)
1036,,,UNKNOWN,,,,Aggregate Base Course,Aggregate Base Course
1037,,,UNKNOWN,,,,Aggregate Removal and Disposal,Aggregate Removal and Disposal
1038,,,UNKNOWN,,,,Aircraft-Rated Electrical Vaults,Aircraft-Rated Electrical Vaults
1039,,,UNKNOWN,,,,Airfield Fire Water Disconnection,Airfield Fire Water Disconnection
1040,,,UNKNOWN,,,,Area Seeding,Area Seeding
1041,,,UNKNOWN,,,,Asphalt Concrerte Surface Course,Asphalt Concrerte Surface Course
1042,,,UNKNOWN,,,,Asphalt Grinding Removal and Disposal,Asphalt Grinding Removal and Disposal
1043,,,UNKNOWN,,,,Asphalt Sawcut,Asphalt Sawcut
1044,,,UNKNOWN,,,,Barge and Access Equipment,Barge and Access Equipment
1045,,,UNKNOWN,,,,Bedding and Pipe Zone Material,Bedding and Pipe Zone Material
1046,,,UNKNOWN,,,,Blackout and Temporary Pavement Marking,Blackout and Temporary Pavement Marking
1047,,,UNKNOWN,,,,Bollard,Bollard
1048,,,UNKNOWN,,,,Bollards,Bollards
1049,,,UNKNOWN,,,,Borrow Excavation (P-152),Borrow Excavation (P-152)
1050,,,UNKNOWN,,,,Building Removal and Backfill,Building Removal and Backfill
1051,,,UNKNOWN,,,,Cast-In-Place Concrete Curb,Cast-In-Place Concrete Curb
1052,,,UNKNOWN,,,,Catch Basin,Catch Basin
1053,,,UNKNOWN,,,,Central Water Meter Vault and Manifold,Central Water Meter Vault and Manifold
1054,,,UNKNOWN,,,,Clearing and Grubbing,Clearing and Grubbing
1055,,,UNKNOWN,,,,Clearing and Seeding,Clearing and Seeding
1056,,,UNKNOWN,,,,Cold Plane Pavement Removal (0-3 Inch Maximum),Cold Plane Pavement Removal (0-3 Inch Maximum)
1057,,,UNKNOWN,,,,Cold Plane Pavement Removal (3-5 Inch Maximum),Cold Plane Pavement Removal (3-5 Inch Maximum)
1058,,,UNKNOWN,,,,"Cold Plane Pavement Removal and Disposal, 3-Inch Depth","Cold Plane Pavement Removal and Disposal, 3-Inch Depth"
1059,,,UNKNOWN,,,,Columbia Slough Outfall Structure,Columbia Slough Outfall Structure
1060,,,UNKNOWN,,,,Common Excavation,Common Excavation
1061,,,UNKNOWN,,,,Compacted Bedding Material,Compacted Bedding Material
1062,,,UNKNOWN,,,,Concrete Curb,Concrete Curb
1063,,,UNKNOWN,,,,Concrete Curb Removal,Concrete Curb Removal
1064,,,UNKNOWN,,,,Concrete Pad Demolition and Repair,Concrete Pad Demolition and Repair
1065,,,UNKNOWN,,,,Concrete Removal and Backfill,Concrete Removal and Backfill
1066,,,UNKNOWN,,,,Concrete Sidewalk,Concrete Sidewalk
1067,,,UNKNOWN,,,,Concrete Walks,Concrete Walks
1068,,,UNKNOWN,,,,Concrete Wall Removal,Concrete Wall Removal
1069,,,UNKNOWN,,,,Concrete Winch House Removal and Backfill,Concrete Winch House Removal and Backfill
1070,,,UNKNOWN,,,,Connection to Existing Utility,Connection to Existing Utility
1071,,,UNKNOWN,,,,Construction Survey,Construction Survey
1072,,,UNKNOWN,,,,Construction Survey (Item GP-50),Construction Survey (Item GP-50)
1073,,,UNKNOWN,,,,Containment,Containment
1074,,,UNKNOWN,,,,Contaminated Soil Excavation and Disposal,Contaminated Soil Excavation and Disposal
1075,,,UNKNOWN,,,,Contaminated Soil Excavation and Placement,Contaminated Soil Excavation and Placement
1076,,,UNKNOWN,,,,Contaminated Soil Sediment Excavation and Disposal,Contaminated Soil Sediment Excavation and Disposal
1077,,,UNKNOWN,,,,Crack Seal,Crack Seal
1078,,,UNKNOWN,,,,Curb Removal,Curb Removal
1079,,,UNKNOWN,,,,Deck Crack Repair,Deck Crack Repair
1080,,,UNKNOWN,,,,Deck Delamination and Spall Repair,Deck Delamination and Spall Repair
1081,,,UNKNOWN,,,,Deck Delamination and Spall Repair with Anodes,Deck Delamination and Spall Repair with Anodes
1082,,,UNKNOWN,,,,Deck Surface Repair,Deck Surface Repair
1083,,,UNKNOWN,,,,Deck Surface Repair with Cathodic Protection,Deck Surface Repair with Cathodic Protection
1084,,,UNKNOWN,,,,Deck Topping Repair,Deck Topping Repair
1085,,,UNKNOWN,,,,Deck Topping Replacement,Deck Topping Replacement
1086,,,UNKNOWN,,,,"Demarcation Panel with Receptacles, Heater, and T-Stat","Demarcation Panel with Receptacles, Heater, and T-Stat"
1087,,,UNKNOWN,,,,Dewatering,Dewatering
1088,,,UNKNOWN,,,,Ditch Protection,Ditch Protection
1089,,,UNKNOWN,,,,Electric Utility Meter Base - 200A Direct,Electric Utility Meter Base - 200A Direct
1090,,,UNKNOWN,,,,Electrical,Electrical
1091,,,UNKNOWN,,,,Electrical Bedding Material,Electrical Bedding Material
